BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2013;010000024;010780054;M100H;4;;0.8;0;0
BLOCS_P;2013;010000024;010780054;M1030;6;3;3.37;1;1
BLOCS_P;2013;010000024;010780054;M200H;16;3;6.07;0;1
BLOCS_P;2013;010000024;010780054;N2200;17;4;14.69;;
BLOCS_P;2013;010000024;010780054;N2310;18;6;20.01;;
BLOCS_P;2013;010000024;010780054;N2320;13;5;16.84;;
BLOCS_P;2013;010000024;010780054;N2510;11;2;12.42;;
BLOCS_P;2013;010000024;010780054;N4160;1;;1;;
BLOCS_P;2013;010000024;010780054;NAUT;3;3;4.8;;
BLOCS_P;2013;010000024;010780054;N9999;62;20;68.76;;
BLOCS_P;2013;010005239;010008407;M1030;2;0;1.5;;
BLOCS_P;2013;010005239;010008407;M200H;6;;2.6;;
BLOCS_P;2013;010005239;010008407;N2200;7;2;7.57;;
BLOCS_P;2013;010005239;010008407;N2310;7;1;6.89;;
BLOCS_P;2013;010005239;010008407;N2320;2;0;2;;
BLOCS_P;2013;010005239;010008407;N2510;1;0;1;;
BLOCS_P;2013;010005239;010008407;N4160;1;0;;;
BLOCS_P;2013;010005239;010008407;NAUT;3;0;2.99;;
BLOCS_P;2013;010005239;010008407;N9999;20;3;20.45;;
BLOCS_P;2013;010007300;010007292;N2200;;3;2.5;;
BLOCS_P;2013;010007300;010007292;N2310;;1;0.54;;
BLOCS_P;2013;010007300;010007292;NAUT;;1;0.46;;
BLOCS_P;2013;010007300;010007292;N9999;;5;3.5;;
BLOCS_P;2013;010780195;010000156;M100H;10;1;10.5;0;1
BLOCS_P;2013;010780195;010000156;M1030;9;1;9.5;0;1
BLOCS_P;2013;010780195;010000156;M200H;13;12;20;0;1
BLOCS_P;2013;010780195;010000156;N2200;22;7;25.45;0;1
BLOCS_P;2013;010780195;010000156;N2310;4;1;4.7;0;1
BLOCS_P;2013;010780195;010000156;N4130;6;0;6;0;1
BLOCS_P;2013;010780195;010000156;N4160;1;;1;0;0
BLOCS_P;2013;010780195;010000156;NAUT;11;1;11.65;0;0
BLOCS_P;2013;010780195;010000156;N9999;43;9;47.8;;
BLOCS_P;2013;010780203;010006450;M100H;3;10;;;0
BLOCS_P;2013;010780203;010006450;M1030;2;2;;;1
BLOCS_P;2013;010780203;010006450;M200H;9;13;;;1
BLOCS_P;2013;010780203;010006450;N2200;5;6;7;;1
BLOCS_P;2013;010780203;010006450;N2310;2;2;3.29;;0
BLOCS_P;2013;010780203;010006450;N2320;1;2;2.79;;1
BLOCS_P;2013;010780203;010006450;N2510;2;;2;;
BLOCS_P;2013;010780203;010006450;N4160;1;;1;;
BLOCS_P;2013;010780203;010006450;N9999;10;10;15.08;;
BLOCS_P;2013;020000162;020000063;M100H;0;3;0.5;0;0
BLOCS_P;2013;020000162;020000063;M1030;6;1;6.8;1;0
BLOCS_P;2013;020000162;020000063;M200H;16;4;17.6;0;1
BLOCS_P;2013;020000162;020000063;N2200;16;10;23.36;1;0
BLOCS_P;2013;020000162;020000063;N2310;19;8;24.34;1;0
