BOR;AN;FI;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2013;130780521;130786049;2;24;24;113;4;202;202;435;;;;;0;;0;37
BRULES;2013;130783236;130786049;16;261;15;4309;;0;0;0;1;0;;568;0;;174;12
BRULES;2013;310016977;310781406;3;450;444;2110;;0;0;0;0;0;;25;0;2230;0;43
BRULES;2013;310783055;310781406;6;71;2;1980;6;106;4;952;1;0;1;485;0;;137;5
BRULES;2013;330781360;330781196;16;222;37;4301;12;814;108;3318;1;;;;38;3024;211;47
BRULES;2013;340785161;340780477;6;34;6;425;6;250;40;2080;1;1;;619;11;3147;161;26
BRULES;2013;370004467;370000481;10;164;3;3081;0;0;0;0;1;1;1;2138;0;1293;116;3
BRULES;2013;440000271;440000289;6;95;4;1445;13;396;13;3667;1;;0;636;10;;283;7
BRULES;2013;570026682;570005165;11;141;1;3361;;0;0;0;1;0;1;2342;0;1614;127;1
BRULES;2013;590796975;590780193;12;169;15;3320;4;644;68;14;0;1;1;178;96;4360;251;35
BRULES;2013;690783154;690781810;12;384;120;5260;0;0;0;0;1;1;0;1658;1;3750;208;82
BRULES;2013;690805361;690805353;8;323;90;5096;7;29;1;95;1;1;1;559;0;1785;213;88
BRULES;2013;750100075;750712184;15;251;10;4403;5;192;13;1800;1;1;1;3503;0;4138;265;11
BRULES;2013;750100109;750712184;10;244;244;3071;16;635;634;3406;1;0;0;962;8;4874;0;515
BRULES;2013;830100574;750821092;3;54;2;582;4;220;14;1719;1;1;1;2463;59;2260;398;13
BRULES;2013;920120011;750821092;8;97;9;2687;8;162;14;2451;1;0;0;387;0;1156;161;16
BRULES;2013;970100442;970100228;4;112;14;505;;0;0;0;0;0;0;;3;;58;7
BRULES;2013;970400024;970408589;6;63;15;1750;1;357;212;0;1;1;1;449;29;950;50;49
BRULES;2013;980500011;980500003;;0;0;0;1;321;234;1;0;0;0;;24;1364;13;29
