BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2013;130780521;130786049;M1030;2;0;0.7;;
BRULES_P;2013;130780521;130786049;M2040;0;1;0.06;;
BRULES_P;2013;130780521;130786049;MAUT;;1;0.5;;
BRULES_P;2013;130780521;130786049;N2120;;1;0.13;;
BRULES_P;2013;130780521;130786049;N2200;10;6;5.42;;
BRULES_P;2013;130780521;130786049;N2300;6;;2;;
BRULES_P;2013;130780521;130786049;N2500;;2;3.19;;
BRULES_P;2013;130780521;130786049;M9999;2;2;1.26;;
BRULES_P;2013;130783236;130786049;M1030;7;0;2.11;0;0
BRULES_P;2013;130783236;130786049;M2040;1;0;0.5;0;0
BRULES_P;2013;130783236;130786049;N2120;1;;1;;
BRULES_P;2013;130783236;130786049;N2200;32;6;36.8;;
BRULES_P;2013;130783236;130786049;N2300;4;;4;;
BRULES_P;2013;130783236;130786049;NAUT;8;;8;;
BRULES_P;2013;130783236;130786049;M9999;8;0;2.61;;
BRULES_P;2013;310016977;310781406;M1030;;;;0;1
BRULES_P;2013;310016977;310781406;M2040;4;;;0;1
BRULES_P;2013;310016977;310781406;M3020;;1;;;
BRULES_P;2013;310016977;310781406;N2120;;1;0.25;;
BRULES_P;2013;310016977;310781406;N2200;3;;3;;
BRULES_P;2013;310016977;310781406;N2300;2;2;3.3;;
BRULES_P;2013;310016977;310781406;N2410;;;1;;
BRULES_P;2013;310016977;310781406;N2500;;4;3.7;;
BRULES_P;2013;310016977;310781406;N2710;;1;0.1;;
BRULES_P;2013;310016977;310781406;NAUT;1;;0.2;;
BRULES_P;2013;310016977;310781406;M9999;4;1;;;
BRULES_P;2013;310783055;310781406;M1030;5;1;5.4;1;
BRULES_P;2013;310783055;310781406;M2040;2;1;0.2;0;
BRULES_P;2013;310783055;310781406;N2120;;1;0.8;;
BRULES_P;2013;310783055;310781406;N2200;5;1;5.31;;
BRULES_P;2013;310783055;310781406;N2300;16;1;16.5;;
BRULES_P;2013;310783055;310781406;N2410;;;1;;
BRULES_P;2013;310783055;310781406;N2500;;3;12.68;;
BRULES_P;2013;310783055;310781406;N2710;;1;0.1;;
BRULES_P;2013;310783055;310781406;NAUT;1;;0.5;;
BRULES_P;2013;310783055;310781406;M9999;7;2;5.6;;
BRULES_P;2013;330781360;330781196;M1030;5;;5;1;
BRULES_P;2013;330781360;330781196;M2040;8;5;8.5;1;1
BRULES_P;2013;330781360;330781196;N2120;1;;1;;
BRULES_P;2013;330781360;330781196;N2200;29;12;38.06;;
BRULES_P;2013;330781360;330781196;N2300;;1;0.99;;
BRULES_P;2013;330781360;330781196;N2500;;30;29.17;;
BRULES_P;2013;330781360;330781196;N2710;;1;0.81;;
BRULES_P;2013;330781360;330781196;M9999;13;5;13.5;;
BRULES_P;2013;340785161;340780477;M1030;3;;1.31;;
BRULES_P;2013;340785161;340780477;M1180;;1;0.1;;
BRULES_P;2013;340785161;340780477;M2040;2;;0.55;;
BRULES_P;2013;340785161;340780477;N2120;1;;1;;
BRULES_P;2013;340785161;340780477;N2300;19;2;22.15;;
BRULES_P;2013;340785161;340780477;N2500;;20;18.3;;
BRULES_P;2013;340785161;340780477;N2710;;1;0.1;;
BRULES_P;2013;340785161;340780477;NAUT;1;1;1.8;;
BRULES_P;2013;340785161;340780477;M9999;5;1;1.96;;
BRULES_P;2013;370004467;370000481;M1030;2;;2;1;
BRULES_P;2013;370004467;370000481;M2040;2;;2.46;0;1
BRULES_P;2013;370004467;370000481;N2120;1;0;1;;
BRULES_P;2013;370004467;370000481;N2200;27;8;32.07;;
BRULES_P;2013;370004467;370000481;N2500;;0;1.08;;
BRULES_P;2013;370004467;370000481;NAUT;11;0;11;;
BRULES_P;2013;370004467;370000481;M9999;4;;4.46;;
BRULES_P;2013;440000271;440000289;M1030;3;;1.28;0;1
BRULES_P;2013;440000271;440000289;M2040;7;;1.82;0;1
BRULES_P;2013;440000271;440000289;N2120;0;0;0.75;;
BRULES_P;2013;440000271;440000289;N2300;11;2;26.16;;
BRULES_P;2013;440000271;440000289;N2410;;2;1.5;;
BRULES_P;2013;440000271;440000289;N2500;;12;19.48;;
BRULES_P;2013;440000271;440000289;N2710;;1;0.46;;
BRULES_P;2013;440000271;440000289;NAUT;3;0;3.03;;
BRULES_P;2013;440000271;440000289;M9999;10;;3.1;;
BRULES_P;2013;570026682;570005165;M1030;4;;4;1;0
BRULES_P;2013;570026682;570005165;M2040;2;;2;0;1
BRULES_P;2013;570026682;570005165;N2120;1;;0.75;;
BRULES_P;2013;570026682;570005165;N2200;1;;1;;
BRULES_P;2013;570026682;570005165;N2300;16;5;20.58;;
BRULES_P;2013;570026682;570005165;N2500;;15;14.67;;
BRULES_P;2013;570026682;570005165;NAUT;1;1;1.36;;
BRULES_P;2013;570026682;570005165;M9999;6;;6;;
BRULES_P;2013;590796975;590780193;M1030;3;;3.08;1;1
BRULES_P;2013;590796975;590780193;M2040;;;0.1;0;1
BRULES_P;2013;590796975;590780193;MAUT;;;0.1;;
BRULES_P;2013;590796975;590780193;N2120;1;;1.06;;
BRULES_P;2013;590796975;590780193;N2200;0;1;1.69;;
BRULES_P;2013;590796975;590780193;N2300;11;22;32.81;;
BRULES_P;2013;590796975;590780193;N2410;;1;1.17;;
BRULES_P;2013;590796975;590780193;N2500;;27;25.63;;
BRULES_P;2013;590796975;590780193;N2710;;2;0.6;;
BRULES_P;2013;590796975;590780193;NAUT;;3;3;;
BRULES_P;2013;590796975;590780193;M9999;3;;3.28;;
BRULES_P;2013;690783154;690781810;M1030;3;;2.49;1;0
BRULES_P;2013;690783154;690781810;M1180;;1;0.23;;
BRULES_P;2013;690783154;690781810;M2040;;;0.55;0;1
BRULES_P;2013;690783154;690781810;MAUT;;1;2.86;;
BRULES_P;2013;690783154;690781810;N2120;1;;1;;
BRULES_P;2013;690783154;690781810;N2200;30;4;32.21;;
BRULES_P;2013;690783154;690781810;N2300;2;;1.92;;
BRULES_P;2013;690783154;690781810;N2410;;;2.49;;
BRULES_P;2013;690783154;690781810;N2500;;;27.62;;
BRULES_P;2013;690783154;690781810;NAUT;3;;3.02;;
BRULES_P;2013;690783154;690781810;M9999;3;2;6.13;;
BRULES_P;2013;690805361;690805353;M1030;2;1;1;1;1
BRULES_P;2013;690805361;690805353;M2040;2;4;2.2;0;1
BRULES_P;2013;690805361;690805353;MAUT;;3;2.38;;
BRULES_P;2013;690805361;690805353;N2120;1;;1;;
BRULES_P;2013;690805361;690805353;N2200;12;1;1.2;;
BRULES_P;2013;690805361;690805353;N2300;29;3;32.36;;
BRULES_P;2013;690805361;690805353;N2410;;3;2.5;;
BRULES_P;2013;690805361;690805353;N2500;;11;11.51;;
BRULES_P;2013;690805361;690805353;NAUT;3;1;0.81;;
BRULES_P;2013;690805361;690805353;M9999;4;8;5.58;;
BRULES_P;2013;750100075;750712184;M1030;9;;5.75;;1
BRULES_P;2013;750100075;750712184;M2040;1;5;3.1;0;1
BRULES_P;2013;750100075;750712184;N2120;2;;1;;
BRULES_P;2013;750100075;750712184;N2200;1;;1;;
BRULES_P;2013;750100075;750712184;N2300;36;4;38;;
BRULES_P;2013;750100075;750712184;N2500;;34;28.04;;
BRULES_P;2013;750100075;750712184;N2710;;2;0.49;;
BRULES_P;2013;750100075;750712184;NAUT;3;;2.86;;
BRULES_P;2013;750100075;750712184;M9999;10;5;8.85;;
BRULES_P;2013;750100109;750712184;M1030;2;0;2;1;0
BRULES_P;2013;750100109;750712184;M2040;3;4;3.5;0;0
BRULES_P;2013;750100109;750712184;MAUT;;1;1;;
BRULES_P;2013;750100109;750712184;N2120;0;2;1;;
BRULES_P;2013;750100109;750712184;N2200;2;1;2.9;;
BRULES_P;2013;750100109;750712184;N2300;27;6;31.5;;
BRULES_P;2013;750100109;750712184;N2410;;1;0.5;;
BRULES_P;2013;750100109;750712184;N2500;;3;22.4;;
BRULES_P;2013;750100109;750712184;N2710;;1;0.5;;
BRULES_P;2013;750100109;750712184;NAUT;1;2;2;;
BRULES_P;2013;750100109;750712184;M9999;5;5;6.5;;
BRULES_P;2013;830100574;750821092;M1030;1;;1;1;0
BRULES_P;2013;830100574;750821092;M2040;1;1;1.25;1;1
BRULES_P;2013;830100574;750821092;N2120;1;;0.5;;
BRULES_P;2013;830100574;750821092;N2200;1;;1;;
BRULES_P;2013;830100574;750821092;N2300;11;1;11.25;;
BRULES_P;2013;830100574;750821092;N2500;;;5.25;;
BRULES_P;2013;830100574;750821092;M9999;2;1;2.25;;
BRULES_P;2013;920120011;750821092;M1030;5;;4.5;1;1
BRULES_P;2013;920120011;750821092;M2040;6;;0.8;0;0
BRULES_P;2013;920120011;750821092;N2120;1;;1;;
BRULES_P;2013;920120011;750821092;N2200;4;;4;;
BRULES_P;2013;920120011;750821092;N2300;27;;27;;
BRULES_P;2013;920120011;750821092;N2410;;1;1;;
BRULES_P;2013;920120011;750821092;N2500;;13;12.4;;
BRULES_P;2013;920120011;750821092;N2710;;1;0.3;;
BRULES_P;2013;920120011;750821092;NAUT;10;;8.4;;
BRULES_P;2013;920120011;750821092;M9999;11;;5.3;;
BRULES_P;2013;970100442;970100228;M1030;2;;1.2;0;0
BRULES_P;2013;970100442;970100228;MAUT;;;2;;
BRULES_P;2013;970100442;970100228;N2120;1;;0.5;;
BRULES_P;2013;970100442;970100228;N2300;3;;3.83;;
BRULES_P;2013;970100442;970100228;N2500;;;4;;
BRULES_P;2013;970100442;970100228;NAUT;;;0.96;;
BRULES_P;2013;970100442;970100228;M9999;2;;3.2;;
BRULES_P;2013;970400024;970408589;M1030;3;;2;0;1
BRULES_P;2013;970400024;970408589;M2040;1;;0.6;0;0
BRULES_P;2013;970400024;970408589;N2120;1;;1;;
BRULES_P;2013;970400024;970408589;N2200;4;;4;;
BRULES_P;2013;970400024;970408589;N2300;18;1;18.4;;
BRULES_P;2013;970400024;970408589;N2410;;;1;;
BRULES_P;2013;970400024;970408589;N2500;;;14;;
BRULES_P;2013;970400024;970408589;N2710;;;1;;
BRULES_P;2013;970400024;970408589;NAUT;1;;1;;
BRULES_P;2013;970400024;970408589;M9999;4;;2.6;;
BRULES_P;2013;980500011;980500003;N2120;;1;0.1;;
BRULES_P;2013;980500011;980500003;N2300;10;;6.83;;
BRULES_P;2013;980500011;980500003;N2500;;5;4.59;;
BRULES_P;2013;980500011;980500003;NAUT;;7;2.79;;
BRULES_P;2013;980500011;980500003;N9999;10;13;14.31;;
