BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2013;010000024;010780054;1;1;1;23540;22738;45168;1;;;;5121;209;4787;212;708;42;0;0;2;0;0;832;17033;90;0;1;885;1;2;5;6;;3;0;;;11;;3;2.15;5;12.58;;5.98;7;15;;;408;6069;0;0;0;1;0;0;2332;0;0;0;3;;;;3.08;;9;4;;;6;12;5;;;2;15.57;8.17;;;6.81
CANCERO;2013;010000032;010780062;1;0;0;574;415;976;1;;;;505;;406;;74;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;010000065;010780096;1;0;0;19;1;278;0;690783220;;;17;;0;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;010005239;010008407;1;0;0;70;30;371;0;010000024;;;26;;25;;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;010780195;010000156;1;0;1;3655;3005;5243;1;;;;2774;0;2721;0;322;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;0;2857;0;0;0;0;0;0;0;0;0;0;;;1;1;0.2;0.2;2;;;;;1;;1;;;2.8;;0.5;;
CANCERO;2013;010780203;010006450;1;0;1;213;132;687;0;690023411;;;55;0;0;0;9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;0;37;0;0;0;0;0;0;0;0;0;0;;;2;1;0.5;1;;;;;;;;;;;;;;;
CANCERO;2013;020000089;020000022;1;0;0;19;19;164;0;020000162;;;21;2;0;2;15;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;020000162;020000063;1;1;1;25563;24161;44101;1;;;;8729;0;7625;0;877;0;7;0;2;0;0;793;15750;160;0;0;759;0;3;3;11;0;17;0;0;0;0;0;9;3;3;10.5;0;16.26;21;30;0;30;805;3199;0;4862;0;1;0;0;5556;0;0;0;5;3;0;0;4.3;;26;14;2;0;0;1;5;0;0;0;21.04;14.68;2;0;0
CANCERO;2013;020000394;020000253;1;0;0;1166;927;2088;1;;;;979;0;925;0;115;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;020000519;020000261;1;0;1;3169;2885;2328;1;;;;2895;;2859;;357;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;8;;;457;2930;0;0;0;0;0;0;2278;0;0;0;2;;;;2;;11;8;;;8;1;1;;;;11.5;8.8;;;8
