BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2013;010000024;010780054;1;1;0;266;1209;286;37;0;249;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;010780195;010000156;1;;1;711;2124;798;128;0;670;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;020000162;020000063;1;0;1;565;2310;660;89;0;571;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;020000519;020000261;1;1;1;104;437;106;106;0;0;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2013;030000061;030780092;1;1;;286;1475;296;206;0;90;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2013;030000087;030780118;1;1;1;1049;2267;1092;71;0;1021;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;060000510;060780954;1;1;1;618;2949;728;306;0;422;0;0;0;;;0;0;;0;;45;0;0
CHIRCAR;2013;060000544;060780988;1;2;1;663;2169;710;220;0;490;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;060780715;060000361;1;0;3;1426;4412;1492;504;0;988;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;060785003;060785011;1;2;2;965;3864;1137;652;0;485;1;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2013;060785219;060001468;1;1;;611;2129;1138;1138;0;0;0;0;0;;;0;0;;0;;35;0;0
CHIRCAR;2013;060794013;060790797;1;3;3;1576;4175;4429;846;0;3583;1;0;0;2;2;0;566;50;469;24;;3000;4339
CHIRCAR;2013;080000425;080000615;1;0;1;76;497;105;105;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;100000090;100000017;1;1;1;596;2471;649;170;0;479;0;0;0;;;0;0;;0;0;40;0;0
CHIRCAR;2013;110000023;110780061;1;;1;378;1816;405;109;0;296;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;120000039;120780044;1;2;1;822;3738;939;343;0;596;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130000409;130041916;1;2;2;1059;3646;1209;447;0;762;1;0;0;2;2;0;0;174;0;;24;0;0
CHIRCAR;2013;130002827;130789274;1;1;0;71;292;76;75;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130002835;130789316;1;1;0;76;380;81;81;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
CHIRCAR;2013;130037922;130037823;1;;;0;0;0;0;0;0;1;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130042096;130042062;1;1;1;1062;3756;1224;187;0;1037;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130780521;130786049;1;2;1;1909;5204;2169;650;0;1519;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2013;130781479;130000599;1;3;2;779;2766;854;138;0;716;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130782147;130000979;1;0;1;689;2931;910;18;0;892;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;130783293;130786049;1;4;2;1826;6978;2088;900;3;1185;1;0;0;;3;2;1119;;979;46;103;1355;11443
CHIRCAR;2013;130784051;130037823;1;3;3;1219;4882;1396;575;0;821;1;0;0;4;5;0;0;5;0;22;34;966;5258
CHIRCAR;2013;130784713;130038847;1;2;1;1128;5477;1307;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;130785652;130014228;1;2;1;1393;5335;1652;977;0;675;1;0;0;2;2;0;919;331;792;22;52;973;7664
CHIRCAR;2013;130804297;130786049;1;1;0;143;623;153;8;145;0;0;1;1;;;0;0;;0;0;0;0;0
CHIRCAR;2013;140000209;140000100;1;4;2;2111;4904;2289;661;2;1626;1;0;1;2;2;9;738;;635;8;42;1622;3234
CHIRCAR;2013;140017237;140003278;1;2;1;2226;6036;2398;497;0;1901;1;0;0;2;2;0;612;;534;12;40;635;3812
CHIRCAR;2013;150000040;150780096;1;1;0;312;1091;344;65;0;279;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;160000253;160000451;1;1;1;1257;3857;1307;239;0;1068;0;0;0;;;0;0;;0;0;60;0;0
CHIRCAR;2013;170000087;170023279;1;1;1;1918;6034;2137;682;0;1455;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;170000103;170780175;1;;0;149;777;155;143;0;12;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;180000010;180000028;1;2;2;1159;4461;1302;193;0;1109;0;0;0;0;0;0;0;0;0;0;51;0;0
CHIRCAR;2013;190000018;190000042;1;1;1;695;2283;779;125;0;654;0;0;0;0;0;0;0;0;0;0;45;0;0
CHIRCAR;2013;190000026;190000059;1;;;149;501;154;77;0;77;0;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2013;190000091;190000075;1;0;0;0;0;21;21;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;210780979;210000295;1;;2;1289;3164;1364;222;0;1142;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;210987558;210780581;1;3;2;1842;7135;2052;699;14;1339;1;0;0;2;3;10;1118;;741;22;50;0;0
CHIRCAR;2013;220000012;220000020;1;2;2;1077;3838;1188;394;0;794;0;0;0;;;0;0;;0;0;;0;0
