BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2013;010000024;010780054;M103X;1;;0.1;;
CHIRCAR_P;2013;010000024;010780054;M1040;2;1;1.05;;
CHIRCAR_P;2013;010000024;010780054;N2200;;;0.18;;
CHIRCAR_P;2013;010000024;010780054;N2510;;3;0.65;;
CHIRCAR_P;2013;010000024;010780054;N4130;;5;1.33;;
CHIRCAR_P;2013;010000024;010780054;MEDCH;3;1;1.15;;
CHIRCAR_P;2013;010780195;010000156;M103X;9;1;2;0;1
CHIRCAR_P;2013;010780195;010000156;M1040;7;;7;0;1
CHIRCAR_P;2013;010780195;010000156;N2120;1;;0.5;;
CHIRCAR_P;2013;010780195;010000156;N2310;4;1;1;;
CHIRCAR_P;2013;010780195;010000156;N4130;6;0;6;;
CHIRCAR_P;2013;010780195;010000156;NAUT;2;;1;;
CHIRCAR_P;2013;010780195;010000156;MEDCH;16;1;9;;
CHIRCAR_P;2013;020000162;020000063;M103X;1;0;0.75;1;0
CHIRCAR_P;2013;020000162;020000063;M1040;2;0;0.8;0;1
CHIRCAR_P;2013;020000162;020000063;N2120;1;0;0.2;;
CHIRCAR_P;2013;020000162;020000063;N2200;2;3;2;;
CHIRCAR_P;2013;020000162;020000063;MEDCH;3;0;1.55;;
CHIRCAR_P;2013;020000519;020000261;M103X;3;;0.4;1;1
CHIRCAR_P;2013;020000519;020000261;M1040;3;1;0.4;1;1
CHIRCAR_P;2013;020000519;020000261;N2120;;;0.06;;
CHIRCAR_P;2013;020000519;020000261;N2200;;;0.4;;
CHIRCAR_P;2013;020000519;020000261;N2310;;;0.3;;
CHIRCAR_P;2013;020000519;020000261;N2320;;;0.25;;
CHIRCAR_P;2013;020000519;020000261;N2510;;;0.3;;
CHIRCAR_P;2013;020000519;020000261;N4130;;;0.1;;
CHIRCAR_P;2013;020000519;020000261;MEDCH;6;1;0.8;;
CHIRCAR_P;2013;030000061;030780092;M1040;1;1;0.55;1;0
CHIRCAR_P;2013;030000061;030780092;MEDCH;1;1;0.55;;
CHIRCAR_P;2013;030000087;030780118;M103X;9;3;10.35;0;1
CHIRCAR_P;2013;030000087;030780118;M1040;7;3;8.3;0;1
CHIRCAR_P;2013;030000087;030780118;M1160;5;0;5;0;1
CHIRCAR_P;2013;030000087;030780118;N2120;0;1;0.15;;
CHIRCAR_P;2013;030000087;030780118;N2200;0;7;1.89;;
CHIRCAR_P;2013;030000087;030780118;N2510;1;0;0.17;;
CHIRCAR_P;2013;030000087;030780118;N4130;0;8;2.05;;
CHIRCAR_P;2013;030000087;030780118;MEDCH;21;6;23.65;;
CHIRCAR_P;2013;060000510;060780954;M1040;8;5;8.5;1;1
CHIRCAR_P;2013;060000510;060780954;M1160;2;;0.2;0;1
CHIRCAR_P;2013;060000510;060780954;N2200;;1;0.07;;
CHIRCAR_P;2013;060000510;060780954;N4130;;1;0.07;;
CHIRCAR_P;2013;060000510;060780954;MEDCH;10;5;8.7;;
CHIRCAR_P;2013;060000544;060780988;M1040;1;;1;0;1
CHIRCAR_P;2013;060000544;060780988;N2120;1;;0.25;;
CHIRCAR_P;2013;060000544;060780988;N2200;5;;0.99;;
CHIRCAR_P;2013;060000544;060780988;N4130;3;3;0.89;;
CHIRCAR_P;2013;060000544;060780988;NAUT;1;;0.1;;
CHIRCAR_P;2013;060000544;060780988;MEDCH;1;;1;;
CHIRCAR_P;2013;060780715;060000361;M103X;;7;1.4;;
CHIRCAR_P;2013;060780715;060000361;M1040;4;30;10;1;1
CHIRCAR_P;2013;060780715;060000361;M1160;;13;2.6;;1
CHIRCAR_P;2013;060780715;060000361;N2120;;1;0.8;;
CHIRCAR_P;2013;060780715;060000361;N2200;10;2;11.2;;
CHIRCAR_P;2013;060780715;060000361;N2320;2;;2;;
CHIRCAR_P;2013;060780715;060000361;N2510;12;2;13.2;;
CHIRCAR_P;2013;060780715;060000361;N4130;4;;4;;
CHIRCAR_P;2013;060780715;060000361;MEDCH;4;50;14;;
CHIRCAR_P;2013;060785003;060785011;M1040;12;7;6.64;0;1
CHIRCAR_P;2013;060785003;060785011;MAUT;0;1;0.1;0;1
CHIRCAR_P;2013;060785003;060785011;N2120;3;;0.73;;
CHIRCAR_P;2013;060785003;060785011;N2200;15;3;14.91;;
CHIRCAR_P;2013;060785003;060785011;N2510;12;2;12.66;;
CHIRCAR_P;2013;060785003;060785011;N4130;1;2;2.72;;
CHIRCAR_P;2013;060785003;060785011;NAUT;9;2;6.3;;
CHIRCAR_P;2013;060785003;060785011;MEDCH;12;8;6.74;;
CHIRCAR_P;2013;060785219;060001468;M103X;;10;0.2;0;1
CHIRCAR_P;2013;060785219;060001468;M1040;1;3;2;0;1
CHIRCAR_P;2013;060785219;060001468;M1160;;1;0.1;0;1
CHIRCAR_P;2013;060785219;060001468;N2120;;1;0.2;;
CHIRCAR_P;2013;060785219;060001468;N2200;1;1;1.8;;
CHIRCAR_P;2013;060785219;060001468;N4130;;2;0.8;;
CHIRCAR_P;2013;060785219;060001468;NAUT;2;1;2.5;;
CHIRCAR_P;2013;060785219;060001468;MEDCH;1;14;2.3;;
CHIRCAR_P;2013;060794013;060790797;M103X;6;;6;1;1
CHIRCAR_P;2013;060794013;060790797;M1040;9;2;9.55;0;1
CHIRCAR_P;2013;060794013;060790797;M104H;;;;;1
CHIRCAR_P;2013;060794013;060790797;M2140;3;;3;0;1
CHIRCAR_P;2013;060794013;060790797;N2120;;1;0.28;;
CHIRCAR_P;2013;060794013;060790797;N2200;6;15;9.53;;
CHIRCAR_P;2013;060794013;060790797;N2310;3;;3;;
CHIRCAR_P;2013;060794013;060790797;N2510;;1;0.29;;
CHIRCAR_P;2013;060794013;060790797;MEDCH;18;2;18.55;;
CHIRCAR_P;2013;080000425;080000615;M1040;;2;0.25;0;0
CHIRCAR_P;2013;080000425;080000615;MEDCH;;2;0.25;;
CHIRCAR_P;2013;100000090;100000017;M1040;4;1;0.93;0;1
CHIRCAR_P;2013;100000090;100000017;N2200;4;1;1.75;;
CHIRCAR_P;2013;100000090;100000017;N4130;1;;1;;
CHIRCAR_P;2013;100000090;100000017;MEDCH;4;1;0.93;;
CHIRCAR_P;2013;110000023;110780061;M1040;4;;1;0;1
CHIRCAR_P;2013;110000023;110780061;N2120;;1;0.36;;
CHIRCAR_P;2013;110000023;110780061;N2200;4;2;3;;
CHIRCAR_P;2013;110000023;110780061;N4130;6;;1.5;;
CHIRCAR_P;2013;110000023;110780061;NAUT;3;;0.9;;
CHIRCAR_P;2013;110000023;110780061;MEDCH;4;;1;;
CHIRCAR_P;2013;120000039;120780044;M1040;7;8;2.9;0;0
CHIRCAR_P;2013;120000039;120780044;N2200;27;;9.48;;
CHIRCAR_P;2013;120000039;120780044;N2510;13;;3.13;;
CHIRCAR_P;2013;120000039;120780044;N4130;4;;2;;
CHIRCAR_P;2013;120000039;120780044;MEDCH;7;8;2.9;;
CHIRCAR_P;2013;130000409;130041916;M1040;7;2;3.55;;
CHIRCAR_P;2013;130000409;130041916;N2120;;;0.06;;
CHIRCAR_P;2013;130000409;130041916;N2200;5;6;9.13;;
CHIRCAR_P;2013;130000409;130041916;N4130;3;1;3.8;;
CHIRCAR_P;2013;130000409;130041916;MEDCH;7;2;3.55;;
CHIRCAR_P;2013;130002827;130789274;MAUT;;1;0.1;;
CHIRCAR_P;2013;130002827;130789274;MEDCH;;1;0.1;;
CHIRCAR_P;2013;130002835;130789316;M1040;0;5;0.1;1;0
CHIRCAR_P;2013;130002835;130789316;N2200;0;3;0.1;;
CHIRCAR_P;2013;130002835;130789316;N2510;0;3;0.06;;
CHIRCAR_P;2013;130002835;130789316;MEDCH;0;5;0.1;;
CHIRCAR_P;2013;130042096;130042062;M103X;6;;6;;
CHIRCAR_P;2013;130042096;130042062;M1040;8;;8;;
CHIRCAR_P;2013;130042096;130042062;N2200;5;1;5.77;;
CHIRCAR_P;2013;130042096;130042062;N4130;3;;2.77;;
CHIRCAR_P;2013;130042096;130042062;NAUT;2;;2;;
CHIRCAR_P;2013;130042096;130042062;MEDCH;14;;14;;
CHIRCAR_P;2013;130780521;130786049;M1040;5;;4.2;1;1
CHIRCAR_P;2013;130780521;130786049;N2120;1;;1;;
CHIRCAR_P;2013;130780521;130786049;N2200;16;;15.42;;
CHIRCAR_P;2013;130780521;130786049;N2510;13;1;13.46;;
CHIRCAR_P;2013;130780521;130786049;NAUT;9;0;6.78;;
CHIRCAR_P;2013;130780521;130786049;MEDCH;5;;4.2;;
CHIRCAR_P;2013;130781479;130000599;M103X;;15;6;1;1
CHIRCAR_P;2013;130781479;130000599;M1040;;32;32;1;1
CHIRCAR_P;2013;130781479;130000599;N2120;1;1;1.3;;
CHIRCAR_P;2013;130781479;130000599;N2200;17;;15;;
CHIRCAR_P;2013;130781479;130000599;N2320;17;;16;;
CHIRCAR_P;2013;130781479;130000599;N4130;1;;1;;
CHIRCAR_P;2013;130781479;130000599;MEDCH;;47;38;;
CHIRCAR_P;2013;130782147;130000979;M103X;4;4;6;1;0
CHIRCAR_P;2013;130782147;130000979;M1040;2;2;3;1;1
CHIRCAR_P;2013;130782147;130000979;M1160;0;5;2.5;0;1
CHIRCAR_P;2013;130782147;130000979;N2120;;1;0.5;;
CHIRCAR_P;2013;130782147;130000979;N2200;1;1;1.5;;
CHIRCAR_P;2013;130782147;130000979;N4130;;4;2;;
CHIRCAR_P;2013;130782147;130000979;NAUT;;1;0.5;;
CHIRCAR_P;2013;130782147;130000979;MEDCH;6;11;11.5;;
CHIRCAR_P;2013;130783293;130786049;N2120;2;0;2;;
CHIRCAR_P;2013;130783293;130786049;N2200;20;6;23.06;;
CHIRCAR_P;2013;130783293;130786049;N2310;5;0;5;;
CHIRCAR_P;2013;130783293;130786049;N2510;11;5;13.78;;
CHIRCAR_P;2013;130783293;130786049;NAUT;9;2;9.72;;
CHIRCAR_P;2013;130783293;130786049;N9999;47;13;53.56;;
CHIRCAR_P;2013;130784051;130037823;M103X;6;;6;1;0
CHIRCAR_P;2013;130784051;130037823;M1040;12;3;15;1;
CHIRCAR_P;2013;130784051;130037823;M104H;4;;4;1;0
CHIRCAR_P;2013;130784051;130037823;M2140;5;;5;0;1
CHIRCAR_P;2013;130784051;130037823;N2120;7;;7;;
CHIRCAR_P;2013;130784051;130037823;N2200;15;1;15.66;;
CHIRCAR_P;2013;130784051;130037823;N2320;11;2;12.4;;
CHIRCAR_P;2013;130784051;130037823;N2510;8;2;9;;
CHIRCAR_P;2013;130784051;130037823;N4130;5;;5;;
CHIRCAR_P;2013;130784051;130037823;MEDCH;27;3;30;;
CHIRCAR_P;2013;130784713;130038847;M103X;1;8;5;0;1
CHIRCAR_P;2013;130784713;130038847;M1040;1;2;2.5;0;1
CHIRCAR_P;2013;130784713;130038847;M1160;1;1;1.5;0;1
CHIRCAR_P;2013;130784713;130038847;N2120;1;;1;;
CHIRCAR_P;2013;130784713;130038847;N2200;3;;3;;
CHIRCAR_P;2013;130784713;130038847;N4130;3;;3;;
CHIRCAR_P;2013;130784713;130038847;NAUT;2;1;2.75;;
CHIRCAR_P;2013;130784713;130038847;MEDCH;3;11;9;;
CHIRCAR_P;2013;130785652;130014228;M103X;12;28;23.4;1;0
CHIRCAR_P;2013;130785652;130014228;M1040;10;19;13.7;1;0
CHIRCAR_P;2013;130785652;130014228;M104H;;;;1;0
CHIRCAR_P;2013;130785652;130014228;M1140;;;;1;0
