BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2013;010000024;010780054;112AX;;;;3;3;377;;;;
DIALYSE;2013;010000024;010780054;112BA;;;;16;60;9226;;;;
DIALYSE;2013;010000024;010780054;1130X;;;;14;34;4811;;;;
DIALYSE;2013;010000024;010780054;1140X;;;;12;;1069;;;;
DIALYSE;2013;010000024;010780054;1150A;;;;1;1;240;;;;
DIALYSE;2013;010000024;010780054;121AA;;;;;2;;;238;;
DIALYSE;2013;010000024;010780054;121CA;;;;4;5;;;183;;
DIALYSE;2013;010000024;010780054;122AX;;;;2;0;;;7;;
DIALYSE;2013;010000024;010780054;122BA;;;;5;2;;;19;;
DIALYSE;2013;010000024;010780054;TOT;0;;;;;;1;;38;7
DIALYSE;2013;010006526;690796552;1130X;;;;8;7;755;;;;
DIALYSE;2013;010006526;690796552;1140X;;;;;4;467;;;;
DIALYSE;2013;010006526;690796552;TOT;1;1;11;;;;;;4;0
DIALYSE;2013;010006526;690796552;VACAN;;;;;;35;;;;
DIALYSE;2013;010780294;690000278;112AX;;;;1;1;20;;;;
DIALYSE;2013;010780294;690000278;112BA;;;;14;43;7531;;;;
DIALYSE;2013;010780294;690000278;1130X;;;;8;8;1378;;;;
DIALYSE;2013;010780294;690000278;1140X;;;;8;6;917;;;;
DIALYSE;2013;010789006;670005834;112AX;;;;3;3;377;;;;
DIALYSE;2013;010789006;670005834;1130X;;;;12;35;4811;;;;
DIALYSE;2013;010789006;670005834;1140X;;;;6;9;1069;;;;
DIALYSE;2013;010789006;670005834;1150A;;;;1;1;209;;;;
DIALYSE;2013;010789006;670005834;121AA;;;;;5;;;243;;
DIALYSE;2013;010789006;670005834;121CA;;;;5;5;;;188;;
DIALYSE;2013;010789006;670005834;TOT;0;;;;;;2;;;
DIALYSE;2013;020000162;020000063;112BA;;;;30;112;17600;;;;
DIALYSE;2013;020000162;020000063;TOT;0;;;;;;2;;58;2
DIALYSE;2013;020000394;020000253;112AX;;;;2;0;12;;;;
DIALYSE;2013;020000394;020000253;112BA;;;;10;120;5795;;;;
DIALYSE;2013;020000394;020000253;TOT;0;;;;;;1;;21;0
DIALYSE;2013;020000519;020000261;112AX;;;;1;1;1;;;;
DIALYSE;2013;020000519;020000261;112BA;;;;12;62;9087;;;;
DIALYSE;2013;020000519;020000261;1140X;;;;17;15;;;;;
DIALYSE;2013;020000519;020000261;121AA;;;;;3;;;;;
DIALYSE;2013;020000519;020000261;122AX;;;;2;3;;;3;;
DIALYSE;2013;020000519;020000261;122BA;;;;1;1;;;55;;
DIALYSE;2013;020000519;020000261;TOT;0;;;;;;1;;26;4
DIALYSE;2013;020000519;020000261;VACAN;;;;;1;;;;;
DIALYSE;2013;020001772;590799995;1130X;;;;7;20;3411;;;;
DIALYSE;2013;020001772;590799995;1140X;;;;7;5;926;;;;
DIALYSE;2013;020001913;590799995;1140X;;;;7;18;1945;;;;
DIALYSE;2013;020006441;590799995;1130X;;;;9;13;1673;;;;
DIALYSE;2013;020006441;590799995;1140X;;;;7;5;800;;;;
DIALYSE;2013;020012613;590799995;1140X;;;;6;4;635;;;;
DIALYSE;2013;020012860;590799995;1130X;;;;9;48;6469;;;;
DIALYSE;2013;020012860;590799995;1140X;;;;9;11;2453;;;;
DIALYSE;2013;030000061;030780092;112BA;;;;13;38;5798;;;;
DIALYSE;2013;030000061;030780092;TOT;0;;;;;;1;;9;
DIALYSE;2013;030000079;030780100;112BA;;;;10;41;5923;;;;
DIALYSE;2013;030000079;030780100;122BA;;;;2;1;;;169;;
DIALYSE;2013;030000079;030780100;TOT;0;;;;;;1;;33;3
DIALYSE;2013;030000087;030780118;112BA;;;;15;37;7136;;;;
DIALYSE;2013;030000087;030780118;1130X;;;;4;12;2108;;;;
DIALYSE;2013;030000087;030780118;1140X;;;;6;12;1586;;;;
DIALYSE;2013;030000087;030780118;121AA;;;;;3;;;2808;;
DIALYSE;2013;030000087;030780118;121CA;;;;;5;;;2407;;
DIALYSE;2013;030000087;030780118;122AX;;;;;;;;345;;
DIALYSE;2013;030000087;030780118;122BA;;;;;5;;;406;;
DIALYSE;2013;030000087;030780118;TOT;0;;;;;;;;28;16
DIALYSE;2013;030003669;630000990;112AX;;;;1;2;364;;;;
DIALYSE;2013;030003669;630000990;1130X;;;;9;21;3346;;;;
DIALYSE;2013;030003669;630000990;1140X;;;;6;14;2172;;;;
DIALYSE;2013;030003669;630000990;121AA;;;;;1;;;284;;
DIALYSE;2013;030003669;630000990;121CA;;;;1;6;;;93;;
DIALYSE;2013;030003669;630000990;TOT;0;;;;;;;;15;3
DIALYSE;2013;030003719;630000990;112AX;;;;1;0;93;;;;
DIALYSE;2013;030003719;630000990;1140X;;;;8;10;1609;;;;
DIALYSE;2013;030003719;630000990;TOT;0;;;;;;;;3;0
DIALYSE;2013;030003768;630000990;1130X;;;;4;12;2254;;;;
DIALYSE;2013;030003768;630000990;1140X;;;;6;12;1440;;;;
DIALYSE;2013;030003768;630000990;121AA;;;;;24;;;1206;;
DIALYSE;2013;030003768;630000990;121CA;;;;22;22;;;879;;
DIALYSE;2013;030003768;630000990;TOT;0;;;;;;;;28;19
DIALYSE;2013;040003113;330029208;1130X;;;;8;1;399;;;;
DIALYSE;2013;040003113;330029208;1140X;;;;8;0;268;;;;
DIALYSE;2013;040784860;330029208;112AX;;;;1;0;13;;;;
DIALYSE;2013;040784860;330029208;112BA;;;;28;63;10292;;;;
DIALYSE;2013;040784860;330029208;1130X;;;;28;15;2135;;;;
DIALYSE;2013;040784860;330029208;1140X;;;;7;8;1390;;;;
DIALYSE;2013;040784860;330029208;TOT;1;2;5;;;;;;;
DIALYSE;2013;040787541;330029208;1130X;;;;7;4;216;;;;
DIALYSE;2013;040787541;330029208;1140X;;;;7;6;935;;;;
DIALYSE;2013;050000231;050000116;112BA;;;;8;29;3953;;;;
DIALYSE;2013;050000231;050000116;TOT;0;;;;;;;;4;
DIALYSE;2013;050000348;050002948;112AX;;;;1;1;18;;;;
DIALYSE;2013;050000348;050002948;112BA;;;;11;490;5807;;;;
DIALYSE;2013;050000348;050002948;112BE;;;;1;1;258;;;;
DIALYSE;2013;050000348;050002948;TOT;0;;;;;;1;;13;2
DIALYSE;2013;050000348;050002948;VACAN;;;;;3;155;;;;
DIALYSE;2013;050003359;380793802;1130X;;;;3;2;276;;;;
DIALYSE;2013;050003359;380793802;1140X;;;;3;4;708;;;;
