BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2013;010000024;010780054;M1110;3;1;1;0;1
DIALYSE_P;2013;010000024;010780054;N2500;2;5;5.97;;
DIALYSE_P;2013;010000024;010780054;NAUT;2;;2.08;;
DIALYSE_P;2013;010000024;010780054;NCINF;15;5;18.65;;
DIALYSE_P;2013;010000024;010780054;N9999;22;11;27.7;;
DIALYSE_P;2013;010006526;690796552;M1110;1;;0.25;0;1
DIALYSE_P;2013;010006526;690796552;NCINF;0;4;2.2;;
DIALYSE_P;2013;010006526;690796552;N9999;1;4;2.45;;
DIALYSE_P;2013;010780294;690000278;M1110;2;;2;;
DIALYSE_P;2013;010780294;690000278;N2500;4;;4;;
DIALYSE_P;2013;010780294;690000278;NAUT;1;;1;;
DIALYSE_P;2013;010780294;690000278;NCINF;10;;10;;
DIALYSE_P;2013;010780294;690000278;N9999;17;;17;;
DIALYSE_P;2013;010789006;670005834;M1110;1;3;1.3;0;0
DIALYSE_P;2013;010789006;670005834;NAUT;1;;1;;
DIALYSE_P;2013;010789006;670005834;NCINF;7;2;8;;
DIALYSE_P;2013;010789006;670005834;N9999;9;5;10.3;;
DIALYSE_P;2013;020000162;020000063;M1110;0;5;2.5;0;1
DIALYSE_P;2013;020000162;020000063;N2500;0;0;0.13;;
DIALYSE_P;2013;020000162;020000063;NAUT;12;4;13.95;;
DIALYSE_P;2013;020000162;020000063;NCINF;29;6;33.68;;
DIALYSE_P;2013;020000162;020000063;N9999;41;15;50.26;;
DIALYSE_P;2013;020000394;020000253;M1110;2;0;2;0;1
DIALYSE_P;2013;020000394;020000253;N2500;2;1;2.88;;
DIALYSE_P;2013;020000394;020000253;NAUT;4;3;5.53;;
DIALYSE_P;2013;020000394;020000253;NCINF;12;0;11.42;;
DIALYSE_P;2013;020000394;020000253;N9999;20;4;21.83;;
DIALYSE_P;2013;020000519;020000261;M1110;4;2;5.12;1;1
DIALYSE_P;2013;020000519;020000261;N2500;2;;2;;
DIALYSE_P;2013;020000519;020000261;N4100;2;;2;;
DIALYSE_P;2013;020000519;020000261;NAUT;4;;4;;
DIALYSE_P;2013;020000519;020000261;NCINF;16;8;23.2;;
DIALYSE_P;2013;020000519;020000261;N9999;28;10;36.32;;
DIALYSE_P;2013;020001772;590799995;M1110;;3;0.9;0;0
DIALYSE_P;2013;020001772;590799995;NCINF;;3;3;;
DIALYSE_P;2013;020001772;590799995;N9999;;6;3.9;;
DIALYSE_P;2013;020001913;590799995;M1110;;5;1.5;0;0
DIALYSE_P;2013;020001913;590799995;NCINF;;3;1;;
DIALYSE_P;2013;020001913;590799995;N9999;;8;2.5;;
DIALYSE_P;2013;020006441;590799995;M1110;;4;1.2;0;0
DIALYSE_P;2013;020006441;590799995;NCINF;;4;1;;
DIALYSE_P;2013;020006441;590799995;N9999;;8;2.2;;
DIALYSE_P;2013;020012613;590799995;M1110;;4;1.2;0;0
DIALYSE_P;2013;020012613;590799995;NCINF;;1;0.5;;
DIALYSE_P;2013;020012613;590799995;N9999;;5;1.7;;
DIALYSE_P;2013;020012860;590799995;M1110;;3;0.9;0;0
DIALYSE_P;2013;020012860;590799995;NCINF;;18;4;;
DIALYSE_P;2013;020012860;590799995;N9999;;21;4.9;;
DIALYSE_P;2013;030000061;030780092;M1110;3;;1.86;0;1
DIALYSE_P;2013;030000061;030780092;N2500;4;;4;;
DIALYSE_P;2013;030000061;030780092;NAUT;;1;0.5;;
DIALYSE_P;2013;030000061;030780092;NCINF;10;8;13;;
DIALYSE_P;2013;030000061;030780092;N9999;17;9;19.36;;
DIALYSE_P;2013;030000079;030780100;M1110;1;;0.5;0;1
DIALYSE_P;2013;030000079;030780100;N2500;5;1;6.47;;
DIALYSE_P;2013;030000079;030780100;NAUT;5;;4.05;;
DIALYSE_P;2013;030000079;030780100;NCINF;10;3;11.15;;
DIALYSE_P;2013;030000079;030780100;N9999;21;4;22.17;;
DIALYSE_P;2013;030000087;030780118;M1110;2;1;2.8;0;1
DIALYSE_P;2013;030000087;030780118;N2500;0;9;3.06;;
DIALYSE_P;2013;030000087;030780118;NAUT;1;3;1.63;;
DIALYSE_P;2013;030000087;030780118;NCINF;1;25;13.45;;
DIALYSE_P;2013;030000087;030780118;N9999;4;38;20.94;;
DIALYSE_P;2013;030003669;630000990;M1110;;3;1;1;1
DIALYSE_P;2013;030003669;630000990;NCINF;7;5;9.6;;
DIALYSE_P;2013;030003669;630000990;N9999;7;8;10.6;;
DIALYSE_P;2013;030003719;630000990;M1110;;2;0.25;1;1
DIALYSE_P;2013;030003719;630000990;NCINF;;3;2.4;;
DIALYSE_P;2013;030003719;630000990;N9999;;5;2.65;;
DIALYSE_P;2013;030003768;630000990;M1110;;2;1;1;1
DIALYSE_P;2013;030003768;630000990;NCINF;;9;6.8;;
DIALYSE_P;2013;030003768;630000990;N9999;;11;7.8;;
DIALYSE_P;2013;040003113;330029208;M1110;1;;1;0;1
DIALYSE_P;2013;040003113;330029208;NAUT;;1;0.26;;
DIALYSE_P;2013;040003113;330029208;NCINF;1;;1;;
DIALYSE_P;2013;040003113;330029208;N9999;2;1;2.26;;
DIALYSE_P;2013;040784860;330029208;M1110;3;;3;0;1
DIALYSE_P;2013;040784860;330029208;N2500;5;1;5.8;;
DIALYSE_P;2013;040784860;330029208;N4100;2;3;3.7;;
DIALYSE_P;2013;040784860;330029208;NAUT;5;2;5.76;;
DIALYSE_P;2013;040784860;330029208;NCINF;17;3;19.1;;
DIALYSE_P;2013;040784860;330029208;N9999;32;9;37.36;;
DIALYSE_P;2013;040787541;330029208;M1110;1;;1;;1
DIALYSE_P;2013;040787541;330029208;NCINF;1;;1;;
DIALYSE_P;2013;040787541;330029208;N9999;2;;2;;
DIALYSE_P;2013;050000231;050000116;M1110;2;;2;0;1
DIALYSE_P;2013;050000231;050000116;N2500;2;1;2.83;;
DIALYSE_P;2013;050000231;050000116;NAUT;;1;0.6;;
DIALYSE_P;2013;050000231;050000116;NCINF;3;5;6.9;;
DIALYSE_P;2013;050000231;050000116;N9999;7;7;12.33;;
DIALYSE_P;2013;050000348;050002948;M1110;2;0;0.9;;
DIALYSE_P;2013;050000348;050002948;N2500;4;5;5.53;;
DIALYSE_P;2013;050000348;050002948;NAUT;1;0;1;;
DIALYSE_P;2013;050000348;050002948;NCINF;9;2;8.25;;
DIALYSE_P;2013;050000348;050002948;N9999;16;7;15.68;;
DIALYSE_P;2013;050003359;380793802;M1110;;1;0.15;;
DIALYSE_P;2013;050003359;380793802;N9999;;1;0.15;;
DIALYSE_P;2013;050006022;380793802;M1110;;2;0.36;;1
DIALYSE_P;2013;050006022;380793802;NCINF;3;0;2.28;;
DIALYSE_P;2013;050006022;380793802;N9999;3;2;2.64;;
DIALYSE_P;2013;060000544;060780988;M1110;3;;2.4;0;0
DIALYSE_P;2013;060000544;060780988;N2500;3;0;3.27;;
DIALYSE_P;2013;060000544;060780988;NAUT;4;0;4.12;;
DIALYSE_P;2013;060000544;060780988;NCINF;12;1;11.85;;
DIALYSE_P;2013;060000544;060780988;N9999;22;1;21.64;;
DIALYSE_P;2013;060010949;060790540;M1110;2;;0.64;0;1
DIALYSE_P;2013;060010949;060790540;N4100;1;;0.32;;
DIALYSE_P;2013;060010949;060790540;NAUT;6;;1.73;;
DIALYSE_P;2013;060010949;060790540;NCINF;19;;6.54;;
DIALYSE_P;2013;060010949;060790540;N9999;28;;9.23;;
DIALYSE_P;2013;060019676;060790540;M1110;;4;0.45;0;1
DIALYSE_P;2013;060019676;060790540;N4100;3;;0.32;;
DIALYSE_P;2013;060019676;060790540;NAUT;5;;0.17;;
DIALYSE_P;2013;060019676;060790540;NCINF;1;3;1.7;;
DIALYSE_P;2013;060019676;060790540;N9999;9;7;2.64;;
DIALYSE_P;2013;060019684;060790540;M1110;;1;0.15;0;1
DIALYSE_P;2013;060019684;060790540;N4100;3;;0.17;;
DIALYSE_P;2013;060019684;060790540;NAUT;5;;0.17;;
DIALYSE_P;2013;060019684;060790540;NCINF;2;;1.6;;
DIALYSE_P;2013;060019684;060790540;N9999;10;1;2.09;;
DIALYSE_P;2013;060021276;060790540;M1110;2;1;2.15;0;1
DIALYSE_P;2013;060021276;060790540;N2500;3;;3;;
DIALYSE_P;2013;060021276;060790540;N4100;4;;1.95;;
DIALYSE_P;2013;060021276;060790540;NAUT;5;;2.42;;
DIALYSE_P;2013;060021276;060790540;NCINF;12;3;13.4;;
DIALYSE_P;2013;060021276;060790540;N9999;26;4;22.92;;
DIALYSE_P;2013;060021631;060017019;M1110;0;0;0.15;;
DIALYSE_P;2013;060021631;060017019;N4100;0;0;0.1;;
DIALYSE_P;2013;060021631;060017019;NCINF;0;0;0.5;;
DIALYSE_P;2013;060021631;060017019;N9999;0;0;0.75;;
DIALYSE_P;2013;060022845;060790797;M1110;5;;5;;
DIALYSE_P;2013;060022845;060790797;N9999;5;;5;;
DIALYSE_P;2013;060785003;060785011;M1110;4;1;2.31;0;1
DIALYSE_P;2013;060785003;060785011;N2500;13;1;12.99;;
DIALYSE_P;2013;060785003;060785011;N4100;1;;1;;
DIALYSE_P;2013;060785003;060785011;NAUT;5;1;5;;
DIALYSE_P;2013;060785003;060785011;NCINF;20;1;21.2;;
DIALYSE_P;2013;060785003;060785011;N9999;43;4;42.5;;
DIALYSE_P;2013;060789195;060785011;M1110;1;1;0.46;0;0
DIALYSE_P;2013;060789195;060785011;N9999;1;1;0.46;;
DIALYSE_P;2013;060791860;060790797;M1110;5;;5;1;1
DIALYSE_P;2013;060791860;060790797;N2500;4;0;4;;
DIALYSE_P;2013;060791860;060790797;N4100;5;1;4.27;;
DIALYSE_P;2013;060791860;060790797;NAUT;20;3;18.35;;
DIALYSE_P;2013;060791860;060790797;NCINF;34;16;37.42;;
DIALYSE_P;2013;060791860;060790797;N9999;68;20;69.04;;
DIALYSE_P;2013;060792090;060790540;M1110;1;;0.08;0;0
DIALYSE_P;2013;060792090;060790540;N4100;3;;0.78;;
DIALYSE_P;2013;060792090;060790540;NAUT;5;;0.21;;
DIALYSE_P;2013;060792090;060790540;NCINF;2;;1.3;;
DIALYSE_P;2013;060792090;060790540;N9999;11;;2.37;;
DIALYSE_P;2013;060792736;060790540;M1110;1;;0.05;0;1
DIALYSE_P;2013;060792736;060790540;N4100;3;;0.48;;
DIALYSE_P;2013;060792736;060790540;NAUT;5;;0.54;;
DIALYSE_P;2013;060792736;060790540;NCINF;4;2;4.73;;
DIALYSE_P;2013;060792736;060790540;N9999;13;2;5.8;;
DIALYSE_P;2013;060792850;060790797;M1110;5;;5;0;1
DIALYSE_P;2013;060792850;060790797;N9999;5;;5;;
DIALYSE_P;2013;060792900;060790797;M1110;4;;4;1;1
DIALYSE_P;2013;060792900;060790797;N9999;4;;4;;
DIALYSE_P;2013;060792926;060022951;M1110;2;;2;0;1
DIALYSE_P;2013;060792926;060022951;N4100;1;1;1;;
DIALYSE_P;2013;060792926;060022951;NCINF;19;4;19.87;;
DIALYSE_P;2013;060792926;060022951;N9999;22;5;22.87;;
DIALYSE_P;2013;060801016;060790540;M1110;;3;0.24;0;1
DIALYSE_P;2013;060801016;060790540;N4100;4;;0.31;;
DIALYSE_P;2013;060801016;060790540;NAUT;5;;0.3;;
DIALYSE_P;2013;060801016;060790540;NCINF;4;;2.7;;
DIALYSE_P;2013;060801016;060790540;N9999;13;3;3.55;;
DIALYSE_P;2013;070000179;070780358;M1110;4;0;3.73;0;1
DIALYSE_P;2013;070000179;070780358;N2500;2;8;8.72;;
DIALYSE_P;2013;070000179;070780358;NAUT;5;4;3.5;;
DIALYSE_P;2013;070000179;070780358;NCINF;13;13;20.59;;
DIALYSE_P;2013;070000179;070780358;N9999;24;25;36.54;;
DIALYSE_P;2013;070004726;380793802;M1110;1;1;1.5;;1
DIALYSE_P;2013;070004726;380793802;N4100;1;0;1;;
DIALYSE_P;2013;070004726;380793802;NAUT;6;4;6.28;;
DIALYSE_P;2013;070004726;380793802;NCINF;9;6;13.64;;
DIALYSE_P;2013;070004726;380793802;N9999;17;11;22.42;;
DIALYSE_P;2013;070786231;690796552;M1110;1;;0.11;0;1
DIALYSE_P;2013;070786231;690796552;NCINF;0;3;1.68;;
DIALYSE_P;2013;070786231;690796552;N9999;1;3;1.79;;
DIALYSE_P;2013;070786249;690796552;M1110;;4;0.27;0;1
DIALYSE_P;2013;070786249;690796552;NCINF;0;2;1.29;;
DIALYSE_P;2013;070786249;690796552;N9999;0;6;1.56;;
DIALYSE_P;2013;080000425;080000615;M1110;4;;1.1;0;1
DIALYSE_P;2013;080000425;080000615;N2500;14;3;16.57;;
DIALYSE_P;2013;080000425;080000615;NAUT;;1;0.75;;
DIALYSE_P;2013;080000425;080000615;NCINF;22;6;27.14;;
DIALYSE_P;2013;080000425;080000615;N9999;40;10;45.56;;
DIALYSE_P;2013;080005846;510000953;NCINF;1;1;1.62;;
DIALYSE_P;2013;080005846;510000953;N9999;1;1;1.62;;
DIALYSE_P;2013;080006034;510000953;NCINF;;3;1.75;;
DIALYSE_P;2013;080006034;510000953;N9999;;3;1.75;;
DIALYSE_P;2013;080008568;510000953;N2500;1;;0.73;;
DIALYSE_P;2013;080008568;510000953;NCINF;5;;4.35;;
DIALYSE_P;2013;080008568;510000953;N9999;6;;5.08;;
DIALYSE_P;2013;090000175;090781774;M1110;5;0;1.85;0;1
DIALYSE_P;2013;090000175;090781774;N2500;5;3;5.2;;
DIALYSE_P;2013;090000175;090781774;NAUT;2;;1.46;;
DIALYSE_P;2013;090000175;090781774;NCINF;8;5;10.6;;
DIALYSE_P;2013;090000175;090781774;N9999;20;8;19.11;;
DIALYSE_P;2013;090002833;310000633;M1110;;;;;1
DIALYSE_P;2013;090002833;310000633;NCINF;;8;2.5;;
DIALYSE_P;2013;090002833;310000633;N9999;;8;2.5;;
DIALYSE_P;2013;090784125;310000633;M1110;;;;;1
DIALYSE_P;2013;090784125;310000633;NCINF;;2;0.5;;
