BOR;AN;FI;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2013;010000024;010780054;M9999;3;;2;
HAD_P;2013;010000024;010780054;MAUT;2;;1.2;
HAD_P;2013;010000024;010780054;Mcoor;1;;0.8;
HAD_P;2013;010000024;010780054;N2120;;1;0.93;
HAD_P;2013;010000024;010780054;N2210;5;3;7.4;
HAD_P;2013;010000024;010780054;N2710;;1;0.3;
HAD_P;2013;010000024;010780054;N3120;;1;0.45;
HAD_P;2013;010000024;010780054;N9999;6;8;11.15;
HAD_P;2013;010000024;010780054;NAUT;1;2;2.07;
HAD_P;2013;010000024;010780054;M9999;3;;2;
HAD_P;2013;010005379;690006598;M3050;;1;0.5;
HAD_P;2013;010005379;690006598;M9999;;2;1.5;
HAD_P;2013;010005379;690006598;Mcoor;;1;1;
HAD_P;2013;010005379;690006598;N2120;1;;1;
HAD_P;2013;010005379;690006598;N2210;;0;0;147
HAD_P;2013;010005379;690006598;N2710;;1;0.6;
HAD_P;2013;010005379;690006598;N3120;1;;1;
HAD_P;2013;010005379;690006598;N9999;8;2;9.1;147
HAD_P;2013;010005379;690006598;NAUT;2;1;2.5;
HAD_P;2013;010005379;690006598;Ncoor;4;;4;
HAD_P;2013;010005379;690006598;M9999;;2;1.5;
HAD_P;2013;020000089;020000022;M9999;;1;0.35;
HAD_P;2013;020000089;020000022;Mcoor;;1;0.35;
HAD_P;2013;020000089;020000022;N2510;10;;10;
HAD_P;2013;020000089;020000022;N9999;11;;11;
HAD_P;2013;020000089;020000022;Ncoor;1;;1;
HAD_P;2013;020000089;020000022;M9999;;1;0.35;
HAD_P;2013;020000105;020000055;M9999;;1;0.25;
HAD_P;2013;020000105;020000055;Mcoor;;1;0.25;
HAD_P;2013;020000105;020000055;N2510;4;6;7.53;
HAD_P;2013;020000105;020000055;N3120;;1;0.3;
HAD_P;2013;020000105;020000055;N9999;5;8;9.23;
HAD_P;2013;020000105;020000055;Ncoor;1;1;1.4;
HAD_P;2013;020000105;020000055;M9999;;1;0.25;
HAD_P;2013;020004297;020005179;M9999;;2;0.4;
HAD_P;2013;020004297;020005179;Mcoor;;2;0.4;
HAD_P;2013;020004297;020005179;N2120;1;;1;
HAD_P;2013;020004297;020005179;N2210;5;;5;
HAD_P;2013;020004297;020005179;N2510;9;1;9.53;
HAD_P;2013;020004297;020005179;N2710;;1;0.5;
HAD_P;2013;020004297;020005179;N3120;;1;0.5;
HAD_P;2013;020004297;020005179;N9999;17;6;19.69;
HAD_P;2013;020004297;020005179;NAUT;1;3;2.16;
HAD_P;2013;020004297;020005179;Ncoor;1;;1;
HAD_P;2013;020004297;020005179;M9999;;2;0.4;
HAD_P;2013;020010898;750721334;M9999;0;1;0.3;0
HAD_P;2013;020010898;750721334;Mcoor;0;1;0.3;
HAD_P;2013;020010898;750721334;N2120;0;1;0.2;
HAD_P;2013;020010898;750721334;N2510;1;3;1.9;
HAD_P;2013;020010898;750721334;N2710;0;1;0.75;0
HAD_P;2013;020010898;750721334;N9999;1;6;3.1;0
HAD_P;2013;020010898;750721334;Ncoor;0;1;0.25;
HAD_P;2013;020010898;750721334;M9999;0;1;0.3;
HAD_P;2013;020011698;020006318;M9999;;2;0.4;
HAD_P;2013;020011698;020006318;Mcoor;;2;0.4;
HAD_P;2013;020011698;020006318;N2120;1;;1;
HAD_P;2013;020011698;020006318;N2210;5;;5;
HAD_P;2013;020011698;020006318;N2510;3;2;4.6;
HAD_P;2013;020011698;020006318;N9999;12;2;13.6;
HAD_P;2013;020011698;020006318;NAUT;3;;3;
HAD_P;2013;020011698;020006318;M9999;;2;0.4;
HAD_P;2013;020014767;590805065;M9999;;1;0.2;
HAD_P;2013;020014767;590805065;Mcoor;;1;0.2;
HAD_P;2013;020014767;590805065;N2210;;;;119
HAD_P;2013;020014767;590805065;N2410;;;;42
HAD_P;2013;020014767;590805065;N2510;13;4;15;
HAD_P;2013;020014767;590805065;N2710;;;;1
HAD_P;2013;020014767;590805065;N9999;16;5;18.9;174
HAD_P;2013;020014767;590805065;NAUT;2;1;2.9;12
HAD_P;2013;020014767;590805065;Ncoor;1;;1;
HAD_P;2013;020014767;590805065;M9999;;1;0.2;
HAD_P;2013;030000061;030780092;M9999;1;;0.18;
HAD_P;2013;030000061;030780092;MAUT;;;0.08;
HAD_P;2013;030000061;030780092;Mcoor;1;;0.1;
HAD_P;2013;030000061;030780092;N2120;;1;0.5;
HAD_P;2013;030000061;030780092;N2210;7;;6.25;
HAD_P;2013;030000061;030780092;N2510;2;;2;
HAD_P;2013;030000061;030780092;N9999;9;1;8.75;
HAD_P;2013;030000061;030780092;M9999;1;;0.18;
HAD_P;2013;030000079;030780100;M3050;1;;0.2;
HAD_P;2013;030000079;030780100;M9999;2;;1.2;
HAD_P;2013;030000079;030780100;Mcoor;1;;1;
HAD_P;2013;030000079;030780100;N2120;1;;0.51;
HAD_P;2013;030000079;030780100;N2210;8;1;8.9;
HAD_P;2013;030000079;030780100;N9999;11;1;11.41;
HAD_P;2013;030000079;030780100;NAUT;2;;2;
HAD_P;2013;030000079;030780100;M9999;2;;1.2;
HAD_P;2013;030000087;030780118;M9999;1;0;1;
HAD_P;2013;030000087;030780118;Mcoor;1;0;1;
HAD_P;2013;030000087;030780118;N2120;1;0;1.07;
HAD_P;2013;030000087;030780118;N2210;4;1;4.8;
HAD_P;2013;030000087;030780118;N2510;3;0;3;
HAD_P;2013;030000087;030780118;N9999;8;3;10.69;
HAD_P;2013;030000087;030780118;NAUT;0;2;1.82;
HAD_P;2013;030000087;030780118;M9999;1;0;1;
HAD_P;2013;050007368;050007343;M3050;;1;0.2;
HAD_P;2013;050007368;050007343;M9999;1;2;1.8;108
HAD_P;2013;050007368;050007343;MAUT;;;;108
HAD_P;2013;050007368;050007343;Mcoor;1;1;1.6;
HAD_P;2013;050007368;050007343;N2120;1;;1;
HAD_P;2013;050007368;050007343;N2210;;;;416
HAD_P;2013;050007368;050007343;N2410;;;;220
HAD_P;2013;050007368;050007343;N2460;;;;1
HAD_P;2013;050007368;050007343;N2510;3;;3;
HAD_P;2013;050007368;050007343;N2710;;1;0.25;1
HAD_P;2013;050007368;050007343;N3120;;2;0.5;
HAD_P;2013;050007368;050007343;N9999;10;4;11.55;640
HAD_P;2013;050007368;050007343;NAUT;2;1;2.8;2
HAD_P;2013;050007368;050007343;Ncoor;4;;4;
HAD_P;2013;050007368;050007343;M9999;1;2;1.8;108
HAD_P;2013;060000478;060780897;M9999;1;0;0.1;
HAD_P;2013;060000478;060780897;Mcoor;1;0;0.1;
HAD_P;2013;060000478;060780897;N2120;1;0;0.12;
HAD_P;2013;060000478;060780897;N2210;6;0;6.11;
HAD_P;2013;060000478;060780897;N2510;6;0;6;
HAD_P;2013;060000478;060780897;N9999;13;0;12.23;
HAD_P;2013;060000478;060780897;M9999;1;0;0.1;
HAD_P;2013;060000544;060780988;M9999;;1;0.5;
HAD_P;2013;060000544;060780988;Mcoor;;1;0.5;
HAD_P;2013;060000544;060780988;N2120;1;1;0.88;
HAD_P;2013;060000544;060780988;N2210;5;4;8.01;0
HAD_P;2013;060000544;060780988;N2510;7;1;7.89;
HAD_P;2013;060000544;060780988;N2710;0;1;0.5;
HAD_P;2013;060000544;060780988;N9999;13;8;18.03;0
HAD_P;2013;060000544;060780988;NAUT;;1;0.75;
HAD_P;2013;060000544;060780988;M9999;;1;0.5;
HAD_P;2013;060006558;060798865;M3050;;1;0.08;
HAD_P;2013;060006558;060798865;M9999;;2;0.58;
HAD_P;2013;060006558;060798865;Mcoor;;1;0.5;
HAD_P;2013;060006558;060798865;N2120;1;;1;
HAD_P;2013;060006558;060798865;N2210;10;;10;
HAD_P;2013;060006558;060798865;N2510;9;;9;
HAD_P;2013;060006558;060798865;N2710;;1;0.5;
HAD_P;2013;060006558;060798865;N3120;;1;0.3;
HAD_P;2013;060006558;060798865;N9999;22;8;24.48;
HAD_P;2013;060006558;060798865;NAUT;1;6;2.68;
HAD_P;2013;060006558;060798865;Ncoor;1;;1;
HAD_P;2013;060006558;060798865;M9999;;2;0.58;
HAD_P;2013;060785243;060001484;M9999;2;1;2.34;
HAD_P;2013;060785243;060001484;Mcoor;2;1;2.34;
HAD_P;2013;060785243;060001484;N2120;;1;0.97;
HAD_P;2013;060785243;060001484;N2210;41;11;46.81;20
HAD_P;2013;060785243;060001484;N2410;3;;3;188
HAD_P;2013;060785243;060001484;N2510;28;13;38.42;
HAD_P;2013;060785243;060001484;N2710;1;;1;
HAD_P;2013;060785243;060001484;N3120;1;1;1.97;
HAD_P;2013;060785243;060001484;N9999;98;35;121.11;240
HAD_P;2013;060785243;060001484;NAUT;19;8;23.04;32
HAD_P;2013;060785243;060001484;Ncoor;5;1;5.9;
HAD_P;2013;060785243;060001484;M9999;2;1;2.34;
HAD_P;2013;070000609;070005566;M9999;1;0;1;
HAD_P;2013;070000609;070005566;Mcoor;1;0;1;
HAD_P;2013;070000609;070005566;N2120;1;0;1;
