BOR;AN;FI;GRP;FI_EJ;REG;DEP;TSANT;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARM
IDB;2013;010002236;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200223;CMP ENFANTS SAINTE-MADELEINE;C.P.A. HOPITAL STE-MADELEINE;17;AV;DE LA VICTOIRE;CENTRE DE GUIDANCE;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010002244;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200678;CATTP ADULTES BOURG-EN-BRESSE;;19;R;DES MARGUERITES;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010002251;35;010783009;82;01;82S0000003;61;3;292;PLU10;6;1;;0;0;77554456200850;HOPITAL DE JOUR - MONTREVEL-EN-BRESSE;;;PL;DE LA RESISTANCE;;;01340;MONTREVEL EN BRESSE;01093;;
IDB;2013;010006286;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200660;CATTP ADULTES AMBERIEU-EN-BUGEY;;;R;A. BERARD;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2013;010006385;35;010783009;82;01;82S0000001;61;3;425;PLU10;6;1;;0;0;77554456200751;CATTP ENFANTS ST-MAURICE-DE-BEYNOST;;2;R;HONORE DE BALZAC;;;01700;ST MAURICE DE BEYNOST;01376;;
IDB;2013;010006476;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200652;CMP ADULTES TREVOUX;;;ALL;DE L'ESME;;;01600;TREVOUX;01427;;
IDB;2013;010007847;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456201064;CATTP ADULTES TREVOUX;;;ALL;DE L'ESME;;;01600;TREVOUX;01427;;
IDB;2013;010007854;35;010783009;82;01;82S0000002;61;3;425;PLU10;6;1;;0;0;77554456200777;CATTP ADULTES ESPLANADE;;;PAS;DE L'ESPLANADE;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2013;010007862;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200835;CATTP ENFANTS SAINTE-MADELEINE;;13;AV;DE LA VICTOIRE;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010007870;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200785;CMP ADULTES PERS AGEES BOURG-EN-BRESSE;PERSONNES AGEES;15;BD;DE BROU;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010007896;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456200363;CMP ENFANTS FERNEY-VOLTAIRE;;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2013;010007904;35;010783009;82;01;82S0000001;61;3;292;PLU10;6;1;;0;0;;HOPITAL DE JOUR - MONTLUEL;;;;;;;01120;MONTLUEL;01262;;
IDB;2013;010007912;35;010783009;82;01;82S0000003;61;3;292;PLU10;6;1;;0;0;;HOPITAL DE JOUR - TREVOUX;;;;;;;01600;TREVOUX;01427;;
IDB;2013;010007920;35;010783009;82;01;82S0000003;61;3;292;PLU10;6;1;;0;0;77554456201031;HOPITAL DE JOUR - AMBERIEU-EN-BUGEY;;31;R;DES PLATTES;HOPITAL DE JOUR DE CLERAMBAULT;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2013;010007987;02;;82;01;;11;;355;;1;0;;1;1;;CH PUBLIC HAUTEVILLE;;;;;;BP 41;01110;HAUTEVILLE LOMPNES;01185;;
IDB;2013;010008050;35;010783009;82;01;82S0000002;61;3;425;PLU10;6;1;;0;0;77554456201098;CATTP ADULTES FERNEY-VOLTAIRE;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2013;010008092;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200876;CMP ENFANTS FEILLENS;;179;R;DE LA MOLANDIERE;;;01570;FEILLENS;01159;;
IDB;2013;010008217;35;010783009;82;01;82S0000003;61;3;292;PLU10;6;1;;0;0;77554456200900;HOPITAL DE JOUR BOURG -LE BASTION-;;4;R;DALLEMAGNE;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010008225;35;010783009;82;01;82S0000002;61;3;412;PLU10;6;1;;0;0;;APPARTEMENT THERAPEUTIQUE;;;;;;;01300;BELLEY;01034;;
IDB;2013;010008233;35;010783009;82;01;82S0000003;61;3;412;PLU10;6;1;;0;0;77554456200215;APPARTEMENT THERAPEUTIQUE;;;;;;;01160;PONT D AIN;01304;;
IDB;2013;010008407;02;;82;01;;14;;355;;1;0;;1;1;;CH DU HAUT BUGEY;;;;DE VEYZIAT;;BP 818;01108;OYONNAX CEDEX;01283;0474731001;
IDB;2013;010008993;35;010783009;82;01;82S0000003;61;3;292;PLU10;6;1;;0;0;;HJ ENFANTS BG EN BRESSE LA PASSERELLE;;;R;DES ENFANTS D'IZIEU;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010009124;35;010783009;82;01;82S0000003;61;3;412;PLU10;6;9;;0;0;;AT OYONNAX;;;;;;;01100;OYONNAX;01283;;
IDB;2013;010009132;02;;82;01;;14;;355;;1;0;;2;1;;CENTRE HOSPITALIER  PONT-DE-VEYLE;;;;PIERRE GOUJON;;BP 68;01290;PONT DE VEYLE;01306;0385362350;
