BOR;AN;FI;RS;RSCOM;FI_EJ;GRP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;NAT;SIR;REG;DEP;TSANT;COM;NOMCOM;ARM;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3
ID;2013;010000024;CH FLEYRIAT;;010780054;04;13;1;355;PUB2;1;0;;0;26010004500012;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;010780054;2;1;900;RTE;DE PARIS;BP 401 VIRIAT;01012;BOURG EN BRESSE CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010000032;CH DOCTEUR RECAMIER BELLEY;;010780062;04;13;1;355;PUB2;1;0;;0;26010003700019;82;01;82S0000002;01034;BELLEY;;0;;5;010780062;1;1;52;Rue;Georges Girerd;BP 139;01300;BELLEY;;;;;;;;;;;;;;;;;;;260100037;26010003700019;;;0;0;;;;;;;;;
ID;2013;010000065;CH MONTPENSIER TREVOUX;;010780096;04;13;1;355;PUB2;1;0;;0;26010028400017;82;01;82S0000003;01427;TREVOUX;;0;;6;010780096;1;2;14;R;DE L'HOPITAL;CS 70615;01606;TREVOUX CEDEX;;;;;;;;;;;;;;;;;;;;26010028400017;;;0;0;;;;;;;;;
ID;2013;010000081;CENTRE HOSPITALIER DU PAYS DE GEX;;010780112;04;13;1;106;PUB2;1;0;;0;26010010200011;82;01;82S0000002;01173;GEX;;0;;6;010780112;1;1;160;R;MARC PANISSOD;BP 437;01174;GEX CEDEX;;;;;;;;;;;;;;;;;;;;26010010200011;;;0;0;;;;;;;;;
ID;2013;010000099;CH DE MEXIMIEUX;;010780120;04;13;1;106;PUB2;1;0;;0;26010013600019;82;01;82S0000003;01244;MEXIMIEUX;;0;;6;010780120;1;1;13;AV;DU DOCTEUR BOYER;B.P. 79;01800;MEXIMIEUX;;;;;010786150;EHPAD;010788263;SSIAD;;;;;;;;;;;260100136;26010013600019;;;0;0;;;;;;;;;
ID;2013;010000107;CH DE PONT DE VAUX;;010780138;04;13;1;106;PUB2;1;0;;0;26010020100052;82;01;82S0000003;01305;PONT-DE-VAUX;;;;6;010780138;1;1;;CHE;DES NIVRES;BP 55;01190;PONT DE VAUX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010000115;CENTRE HOSPITALIER  PONT-DE-VEYLE;;010009132;04;13;1;355;PUB2;1;0;;0;20003004700019;82;01;82S0000003;01306;PONT-DE-VEYLE;;0;;6;010009132;2;1;;Rue;PIERRE GOUJON;BP 68;01290;PONT DE VEYLE;;;;;;;;;;;;;;;;;;;200030047;20003004700019;20003004700076;;;0;;;;;;;;;
ID;2013;010000131;CENTRE HOSPITALIER  THOISSEY;;010009132;04;13;1;355;PUB2;1;0;;0;20003004700076;82;01;82S0000003;01420;THOISSEY;;0;;6;010009132;2;1;11;Rue;DE L'HOPITAL;;01140;THOISSEY;;;;;;;;;;;;;;;;;;;200030047;20003004700019;20003004700076;;0;0;;;;;;;;;
ID;2013;010000180;CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200044;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;010007987;1;2;;;;BP 41;01110;HAUTEVILLE LOMPNES;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;;0;;;;;;;;;
ID;2013;010000198;CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200051;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;010007987;1;2;;;;BP 41;01110;HAUTEVILLE LOMPNES;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;;0;;;;;;;;;
ID;2013;010000214;CH PUBLIC HAUTEVILLE UNITÉ ALBARINE;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200028;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;010007987;1;2;;;;BP 41;01110;HAUTEVILLE LOMPNES;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;0;0;;;;;;;;;
ID;2013;010000495;C.P.A. BOURG EN BRESSE;;010783009;15;61;3;292;PNL3;6;1;1;0;77554456200108;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;;1;1;;AV;DE MARBOZ;;01012;BOURG EN BRESSE;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;
ID;2013;010002129;CLINIQUE DE REEDUCATION LES ARBELLES;SA MEDICA FRANCE;920000395;09;73;2;109;PLU10;0;4;5;0;34117411801162;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;;1;1;554;R;LEOPOLD LE HON;LES ARBELLES;01000;BOURG EN BRESSE;;0;;;;;;;;;;;;;;;;;341174118;34117411801162;;;0;0;;;;;;;;;
ID;2013;010005239;CH DU HAUT BUGEY SITE GEOVREISSET;;010008407;04;14;1;355;PUB2;1;0;;0;26011021800088;82;01;82S0000003;01283;OYONNAX;;0;;6;010008407;1;2;1;RTE;DE VEYZIAT;CS20100;01117;OYONNAX CEDEX;;;;;010005189;GIE IMAGERIE MEDICALE HAUT BUGEY;;;;;;;;;;;;;;26011021800112;;;;0;;;;;;;;;
ID;2013;010005379;HAD AMBERIEU EN BUGEY;;690006598;09;47;3;127;PNL10;7;4;5;0;44453276600011;82;01;82S0000003;01004;AMBERIEU-EN-BUGEY;;0;;6;;1;1;;;EN PRAGNAT NORD;;01506;AMBERIEU EN BUGEY;;0;;;;;;;;;;;;;;;;;;42048101200045;;;;0;;;;;;;;;
ID;2013;010006526;UNITE D'AUTODIALYSE OYONNAX AURAL;CENTRE HOSPITALIER DU HAUT BUGEY;690796552;07;60;3;146;PNL5;6;4;1;0;30690522500406;82;01;82S0000003;01283;OYONNAX;;0;;5;690796552;1;1;2;RTE;DE VEYZIAT;;01100;OYONNAX;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010007300;CLINIQUE AMBULATOIRE CENDANEG;SARL CENDANEG;010007292;09;72;2;128;PLU4;0;4;5;0;42111199800033;82;01;82S0000002;01313;PREVESSIN-MOENS;;0;;6;;2;1;180;R;DU NANT;;01280;PREVESSIN MOENS;CENTRE MEDICAL EUROPA;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010009314;SSR HÔTEL DIEU;;010780054;04;13;1;355;PUB2;1;0;;0;26010004500012;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;010780054;2;1;47;BD;DE BROU;;01000;BOURG EN BRESSE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010009702;ESLD RÉSIDENCE ÉMILE PÉLICAND;;010780054;04;13;1;362;PUB9;1;0;;0;26010004500012;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;010780054;2;1;10;AV;LOUIS JOURDAN;;01000;BOURG EN BRESSE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010780195;CLINIQUE CONVERT - BOURG-EN-BRESSE;;010000156;09;73;2;365;PLU4;0;4;5;0;77220148900022;82;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;;2;1;62;AV;DE JASSERON;BP 132;01001;BOURG EN BRESSE;;1;484349360;RAMSAY SANTE;;SCM IRM DE L'AIN;;LABORATOIRE BRETIN PERNORD;;LABORATOIRE LALANDE;;SCM DR LOUIS BALLY ET ASS;690031653;SELARL DUPIN GONNOD MEHIER;;CENTRE CINESE;;;772201489;;;;;0;;;;;;;;;
ID;2013;010780203;CLINIQUE MUTUALISTE AMBERIEU EN BUGEY;EN PRAGNAT NORD;010006450;09;47;3;365;PNL4;7;4;5;0;42048101200045;82;01;82S0000003;01004;AMBERIEU-EN-BUGEY;;0;;5;;2;1;;;;BP 611;01506;AMBERIEU EN BUGEY CEDEX;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
