BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2013;010000024;010780054;IRM;2;2;1963;25;;6759;8;0
IMAGES;2013;010000024;010780054;MAMM;1;;;;;;;
IMAGES;2013;010000024;010780054;RADIO;3;3;24667;463;;25464;470;1
IMAGES;2013;010000024;010780054;SCAN;1;1;7303;170;;5771;126;1
IMAGES;2013;010000024;010780054;VASC;2;2;462;;;32;;1
IMAGES;2013;010000032;010780062;MAMM;1;1;;;;328;;
IMAGES;2013;010000032;010780062;RADIO;3;3;3048;;;10784;113;1
IMAGES;2013;010000032;010780062;SCAN;1;1;1291;0;0;3281;10;1
IMAGES;2013;010000065;010780096;RADIO;1;;;;;;;0
IMAGES;2013;010000198;010007987;RADIO;1;1;701;;607;65;;1
IMAGES;2013;010000214;010007987;RADIO;1;1;1312;235;53;694;0;1
IMAGES;2013;010005239;010008407;RADIO;3;3;3225;;;20354;464;0
IMAGES;2013;010005239;010008407;SCAN;1;1;1142;;;4525;21;0
IMAGES;2013;010780195;010000156;IRM;1;0;197;2;;17;0;
IMAGES;2013;010780195;010000156;RADIO;3;0;7938;;;4955;;
IMAGES;2013;010780195;010000156;SCAN;1;0;1835;;;489;3;
IMAGES;2013;010780195;010000156;VASC;1;1;1286;;;;;
IMAGES;2013;010780278;010783009;RADIO;2;2;634;314;;;;0
IMAGES;2013;020000089;020000022;RADIO;1;1;1355;;;3232;;0
IMAGES;2013;020000097;020000048;RADIO;2;2;34;0;0;26;;0
IMAGES;2013;020000105;020000055;RADIO;1;1;441;0;0;1041;0;0
IMAGES;2013;020000162;020000063;IRM;1;1;2452;0;0;4334;11;0
IMAGES;2013;020000162;020000063;LITHO;1;1;147;0;0;0;0;1
IMAGES;2013;020000162;020000063;MAMM;1;1;;;;265;;
IMAGES;2013;020000162;020000063;RADIO;5;5;22650;0;0;22405;421;0
IMAGES;2013;020000162;020000063;SCAN;1;1;11867;0;0;10250;173;0
IMAGES;2013;020000162;020000063;VASC;2;2;2679;0;0;289;19;1
IMAGES;2013;020000303;750814030;RADIO;2;2;312;;;;;0
IMAGES;2013;020000360;020014742;LITHO;;;;;;;;1
IMAGES;2013;020000360;020014742;RADIO;3;;;;;;;
IMAGES;2013;020000394;020000253;MAMM;1;1;;;;137;;
IMAGES;2013;020000394;020000253;RADIO;4;4;8027;;;16881;;0
IMAGES;2013;020000394;020000253;SCAN;1;1;3234;;;5648;57;0
IMAGES;2013;020000519;020000261;IRM;1;1;327;;;2820;2;0
IMAGES;2013;020000519;020000261;MAMM;1;1;;;;2371;;
IMAGES;2013;020000519;020000261;RADIO;4;4;13180;;;24578;995;1
IMAGES;2013;020000519;020000261;SCAN;2;2;3482;;;10779;46;1
IMAGES;2013;020000535;020000287;RADIO;3;3;10877;;;9984;455;0
IMAGES;2013;020000535;020000287;SCAN;1;1;5484;;;7394;36;0
IMAGES;2013;020000915;020003620;RADIO;1;1;1792;0;0;0;0;0
IMAGES;2013;020001061;020004404;IRM;1;1;282;;32;2229;;0
IMAGES;2013;020001061;020004404;RADIO;2;2;13788;;6;13325;575;0
IMAGES;2013;020001061;020004404;SCAN;1;1;3766;;132;2159;30;0
IMAGES;2013;020001087;020004495;MAMM;1;1;;;;;;
IMAGES;2013;020001087;020004495;RADIO;3;3;743;;;8573;;0
IMAGES;2013;020001087;020004495;SCAN;1;1;2261;;;12196;199;0
IMAGES;2013;020010047;020001632;CAM;2;;;;;;;
IMAGES;2013;020010047;020001632;IRM;1;;;;;;;
IMAGES;2013;020010047;020001632;MAMM;1;;;;;;;
IMAGES;2013;020010047;020001632;RADIO;3;;;;;;;
IMAGES;2013;020010047;020001632;SCAN;1;;;;;;;
IMAGES;2013;020010047;020001632;TOMO;1;;;;;;;
IMAGES;2013;020010047;020001632;dtIRM2;1;;;;;;;
IMAGES;2013;030000061;030780092;IRM;1;0;;;;;;
IMAGES;2013;030000061;030780092;MAMM;2;2;;;;1521;;
IMAGES;2013;030000061;030780092;RADIO;6;6;19344;263;;27438;;1
IMAGES;2013;030000061;030780092;SCAN;1;1;9369;120;;9216;;1
IMAGES;2013;030000061;030780092;VASC;1;1;;;;;;1
IMAGES;2013;030000079;030780100;CAM;1;1;558;11;77;3853;0;0
IMAGES;2013;030000079;030780100;IRM;1;1;514;8;10;4818;0;0
IMAGES;2013;030000079;030780100;MAMM;1;1;;;;1124;;
IMAGES;2013;030000079;030780100;RADIO;4;4;14639;72;434;23599;264;0
IMAGES;2013;030000079;030780100;SCAN;1;1;7117;42;160;6372;67;0
IMAGES;2013;030000087;030780118;IRM;1;1;507;;;;;0
IMAGES;2013;030000087;030780118;MAMM;1;1;;;;1620;;
IMAGES;2013;030000087;030780118;RADIO;5;5;16883;0;0;25325;7800;1
IMAGES;2013;030000087;030780118;SCAN;1;1;4709;;;;;1
IMAGES;2013;030000087;030780118;VASC;2;2;56;0;0;0;4;1
IMAGES;2013;030780548;030000194;LITHO;1;;;;;;;1
IMAGES;2013;030780548;030000194;RADIO;1;;;;;;;0
IMAGES;2013;030780548;030000194;SCAN;1;;;;;;;0
IMAGES;2013;030780548;030000194;VASC;1;;;;;;;1
IMAGES;2013;040000093;040780215;IRM;1;1;453;;;354;0;0
IMAGES;2013;040000093;040780215;RADIO;2;2;10492;;;12142;356;1
IMAGES;2013;040000093;040780215;SCAN;1;1;5457;;;1506;85;1
IMAGES;2013;040000093;040780215;dtIRM1;;;86;;;225;;0
IMAGES;2013;040000135;050002948;RADIO;2;2;1156;;;11047;;
IMAGES;2013;040000135;050002948;SCAN;1;1;1146;;853;5283;;
IMAGES;2013;040000911;040788879;RADIO;3;3;4316;0;0;11770;0;0
IMAGES;2013;040000911;040788879;SCAN;1;1;3378;0;0;6521;64;0
IMAGES;2013;050000231;050000116;RADIO;3;3;1055;120;;2408;90;0
IMAGES;2013;050000231;050000116;SCAN;1;1;1966;149;296;5467;5;1
IMAGES;2013;050000256;050000124;RADIO;2;2;48420;;;294066;;0
IMAGES;2013;050000348;050002948;IRM;1;1;259;;2345;6560;;0
IMAGES;2013;050000348;050002948;MAMM;1;1;;;;1135;;
IMAGES;2013;050000348;050002948;RADIO;4;4;8890;;;24527;;1
IMAGES;2013;050000348;050002948;SCAN;1;1;5187;;708;8891;;1
IMAGES;2013;060000296;060780640;RADIO;1;1;138;;;;;
IMAGES;2013;060000296;060780640;VASC;1;1;776;;;;;
IMAGES;2013;060000478;060780897;IRM;1;1;3489;;;;;
IMAGES;2013;060000478;060780897;LITHO;1;1;254;;;;;
IMAGES;2013;060000478;060780897;MAMM;1;1;;;;1616;;
IMAGES;2013;060000478;060780897;RADIO;5;5;34864;;;;;
IMAGES;2013;060000478;060780897;SCAN;1;1;9546;;;;;
IMAGES;2013;060000486;060780905;RADIO;1;1;248;193;;667;0;0
IMAGES;2013;060000510;060780954;IRM;1;1;485;;0;4350;0;0
IMAGES;2013;060000510;060780954;MAMM;1;1;;;;630;;
IMAGES;2013;060000510;060780954;RADIO;4;4;18867;0;0;20451;678;1
IMAGES;2013;060000510;060780954;SCAN;1;1;5800;0;0;12016;193;1
IMAGES;2013;060000510;060780954;VASC;1;1;1243;0;0;0;16;1
IMAGES;2013;060000528;060780962;CAM;2;2;1085;;;5294;;0
IMAGES;2013;060000528;060780962;IRM;1;1;224;;;2228;;1
IMAGES;2013;060000528;060780962;MAMM;2;2;;;;;;
IMAGES;2013;060000528;060780962;RADIO;1;1;3460;;;2140;;1
IMAGES;2013;060000528;060780962;SCAN;1;1;4304;;;7670;;1
IMAGES;2013;060000528;060780962;TOMO;1;1;131;;;2879;;0
IMAGES;2013;060000544;060780988;IRM;1;1;1943;;8024;3869;;0
IMAGES;2013;060000544;060780988;RADIO;4;4;23342;217;;24246;622;
IMAGES;2013;060000544;060780988;SCAN;2;2;10985;91;;11107;318;
IMAGES;2013;060000544;060780988;VASC;1;1;963;;;;;1
IMAGES;2013;060001450;060785011;IRM;1;1;928;39;1;6386;20;0
IMAGES;2013;060001450;060785011;RADIO;4;4;12316;982;4;47148;1146;0
IMAGES;2013;060001450;060785011;SCAN;1;1;4901;596;0;16053;921;0
IMAGES;2013;060001450;060785011;VASC;1;1;29;2;0;15;0;0
IMAGES;2013;060002102;060791761;MAMM;1;1;;;;753;;
IMAGES;2013;060002102;060791761;RADIO;2;2;2606;;224;14995;241;0
IMAGES;2013;060002102;060791761;SCAN;1;1;1392;;29;5124;31;0
IMAGES;2013;060019288;060017019;IRM;1;1;255;;;904;;
IMAGES;2013;060019288;060017019;RADIO;4;4;2814;;;10990;0;
IMAGES;2013;060019288;060017019;SCAN;1;1;333;;;294;;
IMAGES;2013;060780442;060000213;RADIO;2;2;1933;;;;;0
IMAGES;2013;060780459;010783009;RADIO;1;1;834;;;;;0
IMAGES;2013;060780491;060790797;CAM;3;;;;;;;
IMAGES;2013;060780491;060790797;IRM;1;;;;;;;
IMAGES;2013;060780491;060790797;MAMM;1;;;;;;;
IMAGES;2013;060780491;060790797;RADIO;1;;;;;;;
IMAGES;2013;060780491;060790797;SCAN;1;;;;;;;
IMAGES;2013;060780491;060790797;VASC;1;;;;;;;
IMAGES;2013;060780517;060000239;IRM;1;;;;;;;
IMAGES;2013;060780517;060000239;LITHO;1;;;;;;;
IMAGES;2013;060780517;060000239;SCAN;1;;;;;;;
IMAGES;2013;060780590;060000270;MAMM;1;;;;;;;
IMAGES;2013;060780590;060000270;RADIO;2;;;;;;;
IMAGES;2013;060780715;060000361;IRM;1;1;165;;;11637;0;0
IMAGES;2013;060780715;060000361;RADIO;3;3;10655;;;20493;0;1
IMAGES;2013;060780715;060000361;SCAN;1;1;3487;;;15755;12;1
IMAGES;2013;060780715;060000361;VASC;3;3;2759;;;;1;1
IMAGES;2013;060780723;060004959;RADIO;2;2;3542;;;37868;73;1
IMAGES;2013;060780723;060004959;SCAN;1;1;942;;;15745;8;1
IMAGES;2013;060780723;060004959;VASC;1;1;500;;;;;1
IMAGES;2013;060780947;060800174;RADIO;4;4;2684;;;10557;;
IMAGES;2013;060780996;630786754;RADIO;1;1;759;;;;;0
IMAGES;2013;060781200;060000635;LITHO;1;1;201;;;;;1
IMAGES;2013;060781200;060000635;RADIO;5;5;2128;;;4542;;0
IMAGES;2013;060785003;060785011;IRM;1;1;1429;328;0;5318;34;0
IMAGES;2013;060785003;060785011;LITHO;1;1;115;2;;;0;0
IMAGES;2013;060785003;060785011;RADIO;4;4;14530;436;1;3001;97;0
IMAGES;2013;060785003;060785011;SCAN;1;1;3223;1658;3;6661;54;1
IMAGES;2013;060785003;060785011;VASC;1;1;1;1;0;1;0;0
IMAGES;2013;060788957;060785011;RADIO;1;1;2948;5;0;68;1;0
IMAGES;2013;060789195;060785011;CAM;1;1;1577;173;22;1804;15;0
IMAGES;2013;060789195;060785011;IRM;1;1;1014;29;50;4857;25;0
IMAGES;2013;060789195;060785011;RADIO;5;5;15623;41;1033;5581;182;0
IMAGES;2013;060789195;060785011;SCAN;2;2;8870;115;62;10035;65;1
IMAGES;2013;060789195;060785011;TOMO;1;1;102;27;10;1914;11;0
IMAGES;2013;060789195;060785011;VASC;1;1;1517;47;9;223;20;0
