BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2013;010000024;010780054;M1160;5;3;5.52;0;1;0;0
IMAGES_P;2013;010000024;010780054;N4130;9;19;20.95;;;;
IMAGES_P;2013;010000024;010780054;NAUT;4;9;10.56;;;;
IMAGES_P;2013;010000065;010780096;M1160;;1;0.58;0;0;0;0
IMAGES_P;2013;010000065;010780096;N4130;;2;0.9;0;0;;
IMAGES_P;2013;010000198;010007987;N4130;0;1;0.8;0;0;;
IMAGES_P;2013;010000214;010007987;N4130;1;3;3.2;0;0;;
IMAGES_P;2013;010005239;010008407;M1160;2;2;2.79;0;1;0;0
IMAGES_P;2013;010005239;010008407;N4130;5;4;7.89;0;1;;
IMAGES_P;2013;010005239;010008407;N4160;1;;1;;;;
IMAGES_P;2013;010005239;010008407;NAUT;3;;2.99;;;;
IMAGES_P;2013;010780195;010000156;M1160;13;;13;0;1;1;1
IMAGES_P;2013;010780195;010000156;N4130;21;;21;0;1;;
IMAGES_P;2013;010780195;010000156;N4160;1;;1;;;;
IMAGES_P;2013;010780195;010000156;NAUT;20;;20;;;;
IMAGES_P;2013;010780278;010783009;N4130;;5;0.5;0;0;;
IMAGES_P;2013;020000089;020000022;M1160;2;;2;0;0;0;0
IMAGES_P;2013;020000089;020000022;N4130;1;1;1.8;0;0;;
IMAGES_P;2013;020000089;020000022;NAUT;2;;1.57;;;;
IMAGES_P;2013;020000105;020000055;M1160;;1;0.42;0;0;;
IMAGES_P;2013;020000105;020000055;N4130;1;;1;0;0;;
IMAGES_P;2013;020000162;020000063;M1160;1;9;3.2;1;1;1;1
IMAGES_P;2013;020000162;020000063;N4130;20;3;21.75;1;0;;
IMAGES_P;2013;020000162;020000063;N4160;2;0;1.45;;;;
IMAGES_P;2013;020000162;020000063;NAUT;23;8;24.07;;;;
IMAGES_P;2013;020000303;750814030;M1160;;1;0.1;0;0;0;0
IMAGES_P;2013;020000303;750814030;N4130;1;2;2.51;0;0;;
IMAGES_P;2013;020000303;750814030;NAUT;1;;1;;;;
IMAGES_P;2013;020000394;020000253;M1160;3;1;4.57;0;1;0;0
IMAGES_P;2013;020000394;020000253;N4130;11;5;13.83;1;0;;
IMAGES_P;2013;020000394;020000253;NAUT;5;4;7.95;;;;
IMAGES_P;2013;020000519;020000261;M1160;4;2;4.5;0;1;0;0
IMAGES_P;2013;020000519;020000261;N4130;14;3;16.4;1;1;;
IMAGES_P;2013;020000519;020000261;N4160;2;;2;;;;
IMAGES_P;2013;020000519;020000261;NAUT;11;3;12.4;;;;
IMAGES_P;2013;020000535;020000287;M1160;;5;2.9;0;1;1;0
IMAGES_P;2013;020000535;020000287;N4130;6;5;9.66;1;0;;
IMAGES_P;2013;020000535;020000287;N4160;1;;1.1;;;;
IMAGES_P;2013;020000535;020000287;NAUT;4;7;9.08;;;;
IMAGES_P;2013;020000915;020003620;N4130;;1;0.8;0;0;;
IMAGES_P;2013;020001061;020004404;M1160;3;3;4.45;0;1;0;0
IMAGES_P;2013;020001061;020004404;N4130;15;;14.25;0;1;;
IMAGES_P;2013;020001061;020004404;N4160;1;;0.67;;;;
IMAGES_P;2013;020001061;020004404;NAUT;11;1;9.46;;;;
IMAGES_P;2013;020001087;020004495;M1160;0;4;1.21;1;1;0;0
IMAGES_P;2013;020001087;020004495;N4130;6;0;6;1;0;;
IMAGES_P;2013;020001087;020004495;NAUT;4;0;3.88;;;;
IMAGES_P;2013;030000061;030780092;M1160;3;1;4.41;1;1;0;0
IMAGES_P;2013;030000061;030780092;N4130;13;7;17.35;1;0;;
IMAGES_P;2013;030000061;030780092;N4160;;1;0.8;;;;
IMAGES_P;2013;030000061;030780092;NAUT;4;1;4.36;;;;
IMAGES_P;2013;030000079;030780100;M1160;1;2;1.75;0;1;0;0
IMAGES_P;2013;030000079;030780100;M1210;1;1;1.25;0;0;;
IMAGES_P;2013;030000079;030780100;N4130;19;3;22.2;0;1;;
IMAGES_P;2013;030000079;030780100;N4160;1;;1;;;;
IMAGES_P;2013;030000079;030780100;NAUT;8;6;11.62;;;;
IMAGES_P;2013;030000087;030780118;M1160;5;0;5;0;1;0;0
IMAGES_P;2013;030000087;030780118;N4130;11;15;23.09;;1;;
IMAGES_P;2013;030000087;030780118;N4160;1;0;1;;;;
IMAGES_P;2013;030000087;030780118;NAUT;4;4;7.84;;;;
IMAGES_P;2013;040000093;040780215;M1160;;5;5;1;0;;
IMAGES_P;2013;040000093;040780215;N4130;;;;1;0;;
IMAGES_P;2013;040000093;040780215;NAUT;6;2;7.26;;;;
IMAGES_P;2013;040000135;050002948;M1160;6;0;2.06;;;;
IMAGES_P;2013;040000135;050002948;N4130;11;1;10.71;;;;
IMAGES_P;2013;040000135;050002948;N4160;1;0;0.8;;;;
IMAGES_P;2013;040000135;050002948;NAUT;5;2;5.02;;;;
IMAGES_P;2013;040000911;040788879;M1160;1;1;1.5;;1;;
IMAGES_P;2013;040000911;040788879;N4130;7;4;10.58;1;;;
IMAGES_P;2013;040000911;040788879;N4160;1;;1;;;;
IMAGES_P;2013;040000911;040788879;NAUT;1;;1;;;;
IMAGES_P;2013;050000231;050000116;M1160;;3;1.5;0;1;0;0
IMAGES_P;2013;050000231;050000116;N4130;11;1;10.8;1;0;;
IMAGES_P;2013;050000231;050000116;N4160;1;;1;;;;
IMAGES_P;2013;050000231;050000116;NAUT;6;1;5.8;;;;
IMAGES_P;2013;050000256;050000124;M1160;1;1;0.7;0;0;0;0
IMAGES_P;2013;050000256;050000124;N4130;;5;3.17;;1;;
IMAGES_P;2013;050000256;050000124;NAUT;4;;3.47;;;;
IMAGES_P;2013;050000348;050002948;M1160;7;0;5.94;;;;
IMAGES_P;2013;050000348;050002948;N4130;15;15;22.11;;;;
IMAGES_P;2013;050000348;050002948;N4160;2;0;1.28;;;;
IMAGES_P;2013;050000348;050002948;NAUT;18;0;16.68;;;;
IMAGES_P;2013;060000296;060780640;M1160;3;1;0.03;0;1;;
IMAGES_P;2013;060000478;060780897;M1160;12;4;18.49;0;1;;
IMAGES_P;2013;060000478;060780897;N4130;12;1;12.74;;;;
IMAGES_P;2013;060000478;060780897;N4160;1;0;0.25;;;;
IMAGES_P;2013;060000478;060780897;NAUT;5;2;6.98;;;;
IMAGES_P;2013;060000486;060780905;N4130;1;1;1.15;0;0;;
IMAGES_P;2013;060000510;060780954;M1160;5;;5;0;1;;
IMAGES_P;2013;060000510;060780954;N4130;30;3;32.18;1;0;;
IMAGES_P;2013;060000510;060780954;NAUT;26;2;27.52;;;;
IMAGES_P;2013;060000528;060780962;M1160;5;5;4.78;0;0;0;0
IMAGES_P;2013;060000528;060780962;M1210;6;1;6.74;0;0;;
IMAGES_P;2013;060000528;060780962;N4130;;;;0;1;;
IMAGES_P;2013;060000544;060780988;M1160;5;2;5.3;0;1;;
IMAGES_P;2013;060000544;060780988;N4130;26;8;24.49;;0;;
IMAGES_P;2013;060000544;060780988;N4160;4;;1.16;;;;
IMAGES_P;2013;060000544;060780988;NAUT;10;2;10.06;;;;
IMAGES_P;2013;060001450;060785011;M1160;6;2;6.76;0;1;;
IMAGES_P;2013;060001450;060785011;N4130;41;14;50.28;0;1;;
IMAGES_P;2013;060001450;060785011;NAUT;26;4;29.35;;;;
IMAGES_P;2013;060002102;060791761;M1160;2;2;2.9;0;1;0;0
IMAGES_P;2013;060002102;060791761;N4130;10;;10;1;0;;
IMAGES_P;2013;060002102;060791761;N4160;1;;1;;;;
IMAGES_P;2013;060002102;060791761;NAUT;2;;2;;;;
IMAGES_P;2013;060019288;060017019;M1160;0;0;2.32;;;;
IMAGES_P;2013;060019288;060017019;N4130;0;0;5.03;;;;
IMAGES_P;2013;060019288;060017019;N4160;0;0;0.25;;;;
IMAGES_P;2013;060019288;060017019;NAUT;0;0;1.75;;;;
IMAGES_P;2013;060780442;060000213;M1160;;1;0.2;0;0;0;0
IMAGES_P;2013;060780442;060000213;N4130;1;;1;0;0;;
IMAGES_P;2013;060780459;010783009;N4130;;1;0.1;0;0;;
IMAGES_P;2013;060780715;060000361;M1160;;13;2.6;0;1;0;0
IMAGES_P;2013;060780715;060000361;N4130;19;;19;0;1;;
IMAGES_P;2013;060780715;060000361;NAUT;7;;7;;;;
IMAGES_P;2013;060780723;060004959;M1160;2;4;4;0;1;0;0
IMAGES_P;2013;060780723;060004959;N4130;8;2;9;0;1;;
IMAGES_P;2013;060780723;060004959;N4160;1;;1;;;;
IMAGES_P;2013;060780723;060004959;NAUT;5;1;5.5;;;;
IMAGES_P;2013;060780947;060800174;M1160;3;7;3.05;;;;
IMAGES_P;2013;060780947;060800174;N4130;8;4;4.3;;;;
IMAGES_P;2013;060780947;060800174;N4160;1;;0.25;;;;
IMAGES_P;2013;060780947;060800174;NAUT;4;1;2.24;;;;
IMAGES_P;2013;060780996;630786754;M1160;0;1;0.25;0;0;0;0
IMAGES_P;2013;060780996;630786754;N4130;1;;1;0;0;;
IMAGES_P;2013;060781200;060000635;M1160;;12;1;;;;
IMAGES_P;2013;060781200;060000635;N4130;;3;2.33;;1;;
IMAGES_P;2013;060785003;060785011;M1160;4;6;5.23;0;1;;
IMAGES_P;2013;060785003;060785011;N4130;19;3;20.86;1;0;;
IMAGES_P;2013;060785003;060785011;NAUT;19;2;20.19;;;;
IMAGES_P;2013;060788957;060785011;N4130;2;1;2.08;0;0;;
IMAGES_P;2013;060788957;060785011;NAUT;1;0;1;;;;
IMAGES_P;2013;060789195;060785011;M1160;9;4;7.23;0;1;;
IMAGES_P;2013;060789195;060785011;M1210;2;0;2.65;;;;
IMAGES_P;2013;060789195;060785011;N4130;31;11;38.31;0;0;;
IMAGES_P;2013;060789195;060785011;NAUT;49;2;49.3;;;;
IMAGES_P;2013;060789674;130037815;N4130;0;3;1.5;0;0;;
IMAGES_P;2013;060791811;750826638;M1160;1;;1;;;;
IMAGES_P;2013;060791811;750826638;N4130;;3;2.06;0;1;;
IMAGES_P;2013;060794013;060790797;N4130;;4;3.8;0;1;;
IMAGES_P;2013;060794013;060790797;N4160;;1;0.92;;;;
IMAGES_P;2013;060794013;060790797;NAUT;8;1;8.28;;;;
IMAGES_P;2013;060798881;060798873;M1160;;6;1.2;0;0;;
IMAGES_P;2013;060798881;060798873;N4130;;1;0.1;0;0;;
IMAGES_P;2013;060800174;;M1160;0;31;1.45;;;;
IMAGES_P;2013;060800174;;N4130;13;;10.77;;;;
IMAGES_P;2013;060800174;;N4160;1;;0.5;;;;
IMAGES_P;2013;060800174;;NAUT;10;1;9.08;;;;
IMAGES_P;2013;070000013;070002878;M1160;1;;2.2;0;1;0;0
IMAGES_P;2013;070000013;070002878;N4130;6;2;6.46;;;;
IMAGES_P;2013;070000013;070002878;N4160;1;;1;;;;
IMAGES_P;2013;070000013;070002878;NAUT;5;1;5.53;;;;
IMAGES_P;2013;070000070;070780150;N4130;;1;0.5;0;0;;
IMAGES_P;2013;070000179;070780358;M1160;4;0;4;0;1;0;0
IMAGES_P;2013;070000179;070780358;N4130;11;9;16.46;0;1;;
IMAGES_P;2013;070000179;070780358;N4160;0;1;0.6;;;;
IMAGES_P;2013;070000179;070780358;NAUT;4;6;7.64;;;;
IMAGES_P;2013;070000195;070780374;M1160;0;1;0.5;0;0;0;0
IMAGES_P;2013;070000609;070005566;M1160;8;0;7.48;;;;
IMAGES_P;2013;070000609;070005566;N4130;12;6;15.64;;;;
IMAGES_P;2013;070000609;070005566;N4160;1;0;1;;;;
IMAGES_P;2013;070000609;070005566;NAUT;7;3;6.56;;;;
IMAGES_P;2013;070780424;070000245;M1160;4;;4;;;;
IMAGES_P;2013;080000110;080000037;M1160;2;0;2;0;1;0;0
IMAGES_P;2013;080000110;080000037;N4130;8;3;10.1;1;0;;
IMAGES_P;2013;080000110;080000037;NAUT;6;;6;;;;
IMAGES_P;2013;080000219;080001969;M1160;;1;0.13;1;0;0;0
IMAGES_P;2013;080000219;080001969;N4130;;7;3.13;1;0;;
IMAGES_P;2013;080000219;080001969;NAUT;1;;1;;;;
IMAGES_P;2013;080000276;080001969;M1160;;1;0.13;1;0;0;0
IMAGES_P;2013;080000276;080001969;N4130;;3;2.5;1;0;;
IMAGES_P;2013;080000276;080001969;NAUT;;1;0.26;;;;
IMAGES_P;2013;080000284;080000060;N4130;1;;1.03;0;0;;
IMAGES_P;2013;080000425;080000615;M1160;10;1;8.9;0;1;0;1
IMAGES_P;2013;080000425;080000615;M1210;2;;2;0;0;;
IMAGES_P;2013;080000425;080000615;N4130;28;14;40;0;0;;
IMAGES_P;2013;080000425;080000615;N4160;2;;2;;;;
IMAGES_P;2013;080000425;080000615;NAUT;16;3;18.11;;;;
IMAGES_P;2013;090000019;090180019;M1160;;2;0.3;0;0;0;0
IMAGES_P;2013;090000019;090180019;N4130;;1;0.24;0;0;;
IMAGES_P;2013;090000175;090781774;M1160;4;2;5.34;0;1;0;1
IMAGES_P;2013;090000175;090781774;N4130;19;12;28.79;1;0;;
IMAGES_P;2013;090000175;090781774;N4160;1;;1;;;;
IMAGES_P;2013;090000175;090781774;NAUT;8;2;9.16;;;;
IMAGES_P;2013;090000183;090781816;M1160;2;1;2.13;0;;0;0
IMAGES_P;2013;090000183;090781816;N4130;7;3;9.15;0;1;;
IMAGES_P;2013;090000183;090781816;NAUT;1;;1;;;;
IMAGES_P;2013;090001629;090780107;N4130;4;;3.3;0;1;;
IMAGES_P;2013;090001629;090780107;NAUT;1;;0.18;;;;
IMAGES_P;2013;100000090;100000017;M1160;9;;8.88;0;1;0;1
IMAGES_P;2013;100000090;100000017;M1210;2;;2;0;0;;
IMAGES_P;2013;100000090;100000017;N4130;26;14;35.53;0;1;;
IMAGES_P;2013;100000090;100000017;N4160;1;;1;;;;
IMAGES_P;2013;100000090;100000017;NAUT;13;4;14.53;;;;
IMAGES_P;2013;100000124;100009075;N4130;;;;0;1;;
IMAGES_P;2013;100000199;100006279;M1160;0;3;1;0;0;0;0
IMAGES_P;2013;100000199;100006279;N4130;3;3;4.34;0;0;;
IMAGES_P;2013;100000199;100006279;NAUT;5;1;4.34;;;;
IMAGES_P;2013;100002351;100000561;M1160;4;;4;0;1;0;0
IMAGES_P;2013;100002351;100000561;N4130;10;;10;0;1;;
IMAGES_P;2013;100002351;100000561;N4160;1;;1;;;;
IMAGES_P;2013;100002351;100000561;NAUT;10;1;10.5;;;;
IMAGES_P;2013;110000023;110780061;M1160;4;2;3.87;0;1;0;0
IMAGES_P;2013;110000023;110780061;M1210;3;;1.98;0;0;;
IMAGES_P;2013;110000023;110780061;N4130;33;7;33.89;1;0;;
IMAGES_P;2013;110000023;110780061;N4160;3;;2.5;;;;
IMAGES_P;2013;110000023;110780061;NAUT;21;2;19;;;;
IMAGES_P;2013;110000049;110780087;M1160;2;3;2.63;0;1;0;0
IMAGES_P;2013;110000049;110780087;N4130;5;;5.24;0;1;;
IMAGES_P;2013;110000049;110780087;N4160;;;0.13;;;;
IMAGES_P;2013;110000049;110780087;NAUT;2;1;1.9;;;;
IMAGES_P;2013;110000056;110780137;M1160;4;3;4.4;0;1;0;0
IMAGES_P;2013;110000056;110780137;N4130;13;9;20;1;1;;
IMAGES_P;2013;110000056;110780137;N4160;1;;1;;;;
IMAGES_P;2013;110000056;110780137;NAUT;7;2;6.4;;;;
IMAGES_P;2013;110000189;110780707;N4130;;1;0.5;0;0;;
IMAGES_P;2013;110000247;110780772;M1160;;0;0.11;0;0;0;0
IMAGES_P;2013;110000247;110780772;N4130;0;;0.16;0;0;;
IMAGES_P;2013;110000247;110780772;NAUT;0;;0.02;;;;
IMAGES_P;2013;110786324;;N4130;;1;0.17;;;;
IMAGES_P;2013;120000039;120780044;M1160;3;3;3.64;0;1;;
IMAGES_P;2013;120000039;120780044;M1210;1;2;1;0;0;;
IMAGES_P;2013;120000039;120780044;N4130;34;2;30.43;0;1;;
IMAGES_P;2013;120000039;120780044;N4160;1;;1.39;;;;
IMAGES_P;2013;120000039;120780044;NAUT;7;4;14.87;;;;
IMAGES_P;2013;120000054;120780069;M1160;3;0;2.26;0;;0;0
IMAGES_P;2013;120000054;120780069;N4130;12;2;13.72;0;1;;
IMAGES_P;2013;120000054;120780069;NAUT;3;3;5.67;;;;
IMAGES_P;2013;120000070;120780085;M1160;1;2;2.4;;;0;0
IMAGES_P;2013;120000070;120780085;N4130;8;1;8.8;0;1;;
IMAGES_P;2013;120000070;120780085;N4160;1;;1;;;;
IMAGES_P;2013;120000070;120780085;NAUT;2;1;2.5;;;;
IMAGES_P;2013;120000088;120780093;N4130;;1;0.5;0;0;;
IMAGES_P;2013;120000096;120780101;N4130;;1;0.86;0;0;;
IMAGES_P;2013;120004569;120004528;M1160;2;3;3.73;0;1;;
IMAGES_P;2013;120004569;120004528;N4130;10;2;11.36;0;1;;
IMAGES_P;2013;120004569;120004528;N4160;1;;1;;;;
IMAGES_P;2013;120004569;120004528;NAUT;3;2;4.71;;;;
IMAGES_P;2013;120004668;120004619;M1160;1;;1.05;0;1;0;0
IMAGES_P;2013;120004668;120004619;N4130;3;4;6.32;0;1;;
IMAGES_P;2013;120004668;120004619;NAUT;6;;6.04;;;;
IMAGES_P;2013;130000409;130041916;M1160;7;3;7.86;0;1;;
IMAGES_P;2013;130000409;130041916;M1210;2;1;2.5;0;0;;
IMAGES_P;2013;130000409;130041916;N4130;27;17;37.58;0;0;;
IMAGES_P;2013;130000409;130041916;N4160;1;0;1.44;;;;
IMAGES_P;2013;130000409;130041916;NAUT;25;0;22.31;;;;
IMAGES_P;2013;130000433;130781131;M1160;;1;0.1;0;0;0;0
IMAGES_P;2013;130000433;130781131;N4130;1;;0.8;0;0;;
IMAGES_P;2013;130000516;130781339;M1160;1;1;1.6;;;;
IMAGES_P;2013;130000516;130781339;N4130;2;;2;;;;
IMAGES_P;2013;130000565;130781446;M1160;3;2;3.3;;1;0;
IMAGES_P;2013;130000565;130781446;N4130;10;5;14.71;0;1;;
IMAGES_P;2013;130000565;130781446;N4160;1;;1;;;;
IMAGES_P;2013;130000565;130781446;NAUT;4;7;9.86;;;;
IMAGES_P;2013;130001225;130782634;M1160;4;3;3.14;;;;
IMAGES_P;2013;130001225;130782634;N4130;11;7;15.53;;;;
IMAGES_P;2013;130001225;130782634;N4160;1;0;1;;;;
IMAGES_P;2013;130001225;130782634;NAUT;4;1;3.5;;;;
IMAGES_P;2013;130001258;130028228;N4130;;1;0.2;;;;
IMAGES_P;2013;130001647;130784127;M1160;6;3;7.08;0;1;1;
IMAGES_P;2013;130001647;130784127;M1210;5;;3.5;0;0;;
IMAGES_P;2013;130001647;130784127;N4130;29;3;30.09;;1;;
IMAGES_P;2013;130001647;130784127;N4160;1;;1;;;;
IMAGES_P;2013;130001647;130784127;NAUT;16;3;19.67;;;;
IMAGES_P;2013;130002215;130785512;M1160;;4;1.9;0;1;0;0
IMAGES_P;2013;130002215;130785512;N4130;10;;10;1;0;;
IMAGES_P;2013;130002215;130785512;N4160;0;1;0.5;;;;
IMAGES_P;2013;130002215;130785512;NAUT;5;;5;;;;
IMAGES_P;2013;130002827;130789274;M1160;;23;4.5;1;;;
IMAGES_P;2013;130002827;130789274;N4130;18;4;21.11;1;;;
IMAGES_P;2013;130002827;130789274;NAUT;11;3;12.9;;;;
IMAGES_P;2013;130002835;130789316;M1160;5;1;5.56;0;1;0;0
IMAGES_P;2013;130002835;130789316;N4130;15;11;23.92;1;0;;
IMAGES_P;2013;130002835;130789316;N4160;1;0;1;;;;
IMAGES_P;2013;130002835;130789316;NAUT;6;6;9.47;;;;
IMAGES_P;2013;130037922;130037823;M1160;5;;5;0;1;0;0
IMAGES_P;2013;130037922;130037823;M1210;3;;3;0;0;;
IMAGES_P;2013;130037922;130037823;N4130;18;;18;0;0;;
IMAGES_P;2013;130037922;130037823;N4160;1;;1;;;;
IMAGES_P;2013;130037922;130037823;NAUT;25;;25;;;;
IMAGES_P;2013;130042096;130042062;N4130;2;;1.77;;;;
IMAGES_P;2013;130042096;130042062;N4160;1;;1;;;;
IMAGES_P;2013;130042526;310021399;N4130;;1;0.26;0;0;;
IMAGES_P;2013;130042526;310021399;NAUT;2;;2;;;;
IMAGES_P;2013;130043664;130002157;M1160;;;;0;1;;
IMAGES_P;2013;130043664;130002157;N4130;13;;12.65;;;;
IMAGES_P;2013;130043664;130002157;N4160;2;;2;;;;
IMAGES_P;2013;130043664;130002157;NAUT;14;;13.73;;;;
IMAGES_P;2013;130780075;310021332;N4130;;1;0.26;0;0;;
IMAGES_P;2013;130780521;130786049;M1160;8;5;5.36;1;0;1;0
IMAGES_P;2013;130780521;130786049;N4130;75;3;76.27;;1;;
IMAGES_P;2013;130780521;130786049;N4160;3;0;2.65;;;;
IMAGES_P;2013;130780521;130786049;NAUT;33;9;32.78;;;;
IMAGES_P;2013;130781438;130000557;N4130;0;1;0.22;0;0;;
IMAGES_P;2013;130781479;130000599;M1160;;20;20;0;1;0;0
IMAGES_P;2013;130781479;130000599;M1210;;3;3;0;1;;
IMAGES_P;2013;130781479;130000599;N4130;8;;8;0;1;;
IMAGES_P;2013;130781479;130000599;N4160;2;;2;;;;
IMAGES_P;2013;130781479;130000599;NAUT;5;;5;;;;
IMAGES_P;2013;130782147;130000979;M1160;3;;3;0;1;;
IMAGES_P;2013;130782147;130000979;N4130;7;;7;1;0;;
IMAGES_P;2013;130782147;130000979;NAUT;6;;6;;;;
IMAGES_P;2013;130782162;130000987;M1160;1;5;1;;1;0;0
IMAGES_P;2013;130782162;130000987;N4130;;4;3;;1;;
IMAGES_P;2013;130782162;130000987;N4160;1;;1;;;;
IMAGES_P;2013;130783236;130786049;M1160;5;4;3.8;1;0;1;0
IMAGES_P;2013;130783236;130786049;N4130;47;5;51.24;;;;
IMAGES_P;2013;130783236;130786049;N4160;2;;2;;;;
IMAGES_P;2013;130783236;130786049;NAUT;23;1;23.25;;;;
IMAGES_P;2013;130783293;130786049;M1160;18;12;11.71;1;1;0;0
IMAGES_P;2013;130783293;130786049;M1210;6;0;2.23;0;0;;
IMAGES_P;2013;130783293;130786049;N4130;89;10;94.47;0;1;;
IMAGES_P;2013;130783293;130786049;N4160;6;0;5.55;;;;
IMAGES_P;2013;130783293;130786049;NAUT;60;9;65.59;;;;
IMAGES_P;2013;130783327;130001415;M1160;;15;3;0;1;;
IMAGES_P;2013;130783327;130001415;N4130;5;;5;0;1;;
IMAGES_P;2013;130783327;130001415;N4160;1;;1;;;;
IMAGES_P;2013;130783327;130001415;NAUT;3;;3;;;;
IMAGES_P;2013;130783665;130043722;M1160;;2;0.37;0;1;0;0
IMAGES_P;2013;130783665;130043722;N4130;3;;3;0;;;
IMAGES_P;2013;130783665;130043722;NAUT;2;;2;;;;
IMAGES_P;2013;130783723;130001456;M1160;;3;1.25;0;1;0;0
IMAGES_P;2013;130783723;130001456;N4130;2;0;2;0;1;;
IMAGES_P;2013;130783723;130001456;N4160;1;0;0.94;;;;
IMAGES_P;2013;130784051;130037823;M1160;7;7;9.8;1;1;;
