BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;010000024;010780054;1;0;0;1;0;0;1;0;0;;;;0;0;0;0;0;1;1;0;1;1;;4.62;1
INFOMED;2013;010000032;010780062;0;0;1;;;;0;0;1;;;;0;0;0;0;0;1;1;0;1;0;;3.8;0
INFOMED;2013;010000081;010780112;;;;;;;0;1;0;;;;0;0;1;1;1;1;1;0;0;1;740000237;0.2;0
INFOMED;2013;010000099;010780120;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;;0.5;1
INFOMED;2013;010000107;010780138;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;1;;0.3;0.1
INFOMED;2013;010000115;010009132;0;1;0;0;0;0;0;1;0;0;0;0;0;;0;1;1;0;;;0;1;690038476;0.4;0
INFOMED;2013;010000131;010009132;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;690038476;0.4;0
INFOMED;2013;010000180;010007987;;;;;;;1;0;0;;;;0;0;0;0;0;1;1;1;1;;010000024;0.2;0.01
INFOMED;2013;010000198;010007987;;;;;;;1;0;0;;;;0;0;0;0;0;1;1;1;1;1;010000024;0.3;0.01
INFOMED;2013;010000214;010007987;0;0;1;;;;0;1;0;;;;0;0;0;0;0;1;1;1;1;1;010000024;1;0.08
INFOMED;2013;010000495;010783009;0;0;0;0;0;0;0;0;0;1;;;0;0;0;0;0;1;1;1;0;0;;3;1
INFOMED;2013;010002129;920000395;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;;0.4;0.2
INFOMED;2013;010005239;010008407;;1;;;;;;1;;;;;0;0;0;0;0;1;0;0;1;0;;2.15;1.03
INFOMED;2013;010006526;690796552;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2013;010780195;010000156;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;;2.8;0.2
INFOMED;2013;010780203;010006450;0;0;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;;1.5;0.1
INFOMED;2013;010780294;690000278;1;;;;;;;;;1;;;1;1;1;1;1;1;0;0;0;1;690780499;;0.03
INFOMED;2013;010780310;010000222;;;;;;;0;1;0;;;;0;0;0;0;0;0;;;0;0;;0.5;0
INFOMED;2013;010780328;010000222;;;;;;;0;1;0;;;;0;0;0;0;0;0;;;0;;;0.5;
INFOMED;2013;010780476;750005068;;;;;;;0;0;1;;;;0;0;0;0;0;1;0;0;0;0;;0.5;0.1
INFOMED;2013;010780492;360000707;;;;;;;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;;0.8;0.16
INFOMED;2013;010780799;750721334;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.2
INFOMED;2013;020000089;020000022;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.1;1.6
INFOMED;2013;020000097;020000048;1;;;;;;1;;;;;;0;0;0;0;0;0;;;1;1;;;0.3
INFOMED;2013;020000105;020000055;0;0;1;0;0;1;0;0;1;0;;0;0;0;0;0;0;0;;;0;0;;0;0.2
INFOMED;2013;020000162;020000063;0;1;0;;;;0;1;0;0;1;0;0;0;0;0;0;0;;;0;0;;6;1.8
INFOMED;2013;020000303;750814030;;;;;;;1;0;0;;;;0;0;0;0;0;1;1;0;0;0;;2.85;0.4
INFOMED;2013;020000311;020000550;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;1;
INFOMED;2013;020000360;020014742;0;0;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;;1;
INFOMED;2013;020000394;020000253;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;2.1;0.71
INFOMED;2013;020000519;020000261;1;0;0;;;;1;0;0;;;;0;0;0;0;0;0;0;0;0;0;;2;1
INFOMED;2013;020000535;020000287;1;0;0;;;;1;0;0;;;;0;0;0;0;0;0;;;0;0;;2.7;0.5
INFOMED;2013;020000543;020000295;0;0;0;0;0;0;0;0;0;;;1;0;0;0;1;1;1;1;0;0;0;;2.8;1
INFOMED;2013;020000915;020003620;;;;;;;1;0;0;;;;0;0;0;0;0;0;;;0;0;;1.5;0.2
INFOMED;2013;020001061;020004404;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1.87;1
INFOMED;2013;020001087;020004495;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
INFOMED;2013;020004156;590805065;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.1
INFOMED;2013;020004297;020005179;;;;1;0;0;;;;;;;0;0;0;0;0;0;;;0;0;;0;0.01
INFOMED;2013;020014767;590805065;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.01;0.05
INFOMED;2013;030000012;030180020;;;;;;;;1;;;;;0;0;0;1;0;1;1;0;0;0;;0.5;0.2
INFOMED;2013;030000061;030780092;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;4.9;1.73
INFOMED;2013;030000079;030780100;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;;4.82;1
INFOMED;2013;030000087;030780118;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;3;1.5
INFOMED;2013;030000095;030780126;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;030002158;2;
