BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2013;010000024;010780054;1;18;540;4693;4;1;2.1;;;4;1;2.1;0;1;0;0;0
MCOAVC;2013;020000162;020000063;1;6;611;1409;3;1;3.25;0;0;3;1;3.25;0;0;18;2;18.1
MCOAVC;2013;020000519;020000261;1;4;442;1113;4;;4;1;1;4;;4;1;1;10;2;11.75
MCOAVC;2013;030000087;030780118;1;10;366;3439;6;0;6;0;0;6;0;6;0;0;8;6;12.52
MCOAVC;2013;060001450;060785011;1;18;815;3920;6;2;3.76;0;1;4;1;2.66;0;1;252;44;249.27
MCOAVC;2013;110000023;110780061;1;6;498;1480;4;1;0.79;0;1;4;1;0.79;0;1;12;2;12.4
MCOAVC;2013;120000039;120780044;1;4;224;1602;5;1;5.35;0;1;5;1;5.35;;;;;
MCOAVC;2013;130000409;130041916;1;2;310;357;2;;0.09;;;;;;;;4;2;3.61
MCOAVC;2013;130783293;130786049;1;28;1211;8426;4;2;2.15;1;1;4;0;2.15;1;1;54;3;53.66
MCOAVC;2013;140000027;140000035;1;2;229;557;3;1;0.4;0;1;2;1;0.3;0;1;35;13;34.23
MCOAVC;2013;140000209;140000100;1;16;738;5219;4;;1.37;0;1;4;;1.37;0;1;19;13;23.33
MCOAVC;2013;160000253;160000451;1;10;630;3442;3;0;0.8;0;0;3;0;0.8;0;1;30;8;32.45
MCOAVC;2013;170000087;170023279;1;8;731;2517;7;;2.86;0;0;7;;2.86;0;0;22;1;19.27
MCOAVC;2013;170000103;170780175;1;3;596;4913;1;;1;1;0;1;;1;1;1;21;6;16.95
MCOAVC;2013;180000010;180000028;1;12;550;3691;2;;2;0;1;2;;2;;;26;;26
MCOAVC;2013;210987558;210780581;1;8;980;2501;8;;1.35;0;0;8;;1.35;0;0;28;;19.1
MCOAVC;2013;220000012;220000020;1;6;1326;9139;4;;4;0;1;4;;4;0;1;32;17;43.14
MCOAVC;2013;240000489;240000117;1;15;605;4862;3;;1.55;;;3;;1.55;;;9;1;9.02
MCOAVC;2013;250000114;900000365;1;28;291;2323;3;2;4.82;0;1;3;2;4.82;0;1;;;
MCOAVC;2013;250006954;250000015;1;24;792;8370;5;;3.14;0;1;4;;2.14;0;1;22;15;32.49
MCOAVC;2013;260000013;260000021;1;12;691;6298;6;;1.35;0;1;6;;1.35;0;1;11;5;13.76
MCOAVC;2013;280000084;280000183;1;5;392;1309;5;1;1.43;1;0;3;1;0.92;1;1;28;3;11.44
MCOAVC;2013;280504267;280000134;1;4;488;4804;5;;1.3;0;0;5;;1.3;0;1;10;13;9.88
MCOAVC;2013;290000025;290020700;1;6;694;4448;3;;2.8;0;1;2;;1.8;0;1;30;14;12.12
MCOAVC;2013;290004324;290000017;1;18;963;5773;5;1;3.2;0;0;27;9;32.5;0;0;;;
MCOAVC;2013;2A0000022;2A0000014;1;9;;;3;;;;;2;;;;;;;
MCOAVC;2013;300782117;300780038;1;8;644;2813;6;3;7.5;1;0;6;3;7.5;1;0;24;3;25.14
MCOAVC;2013;310781000;310788880;1;15;227;1586;3;;3;0;1;3;;3;0;1;31;;31
MCOAVC;2013;310783048;310781406;1;33;1434;10340;6;;5.8;1;1;6;;5.8;1;1;45;9;51.9
MCOAVC;2013;310783055;310781406;1;30;1795;10357;4;;3.1;1;1;4;;3.1;1;1;43;10;50.25
MCOAVC;2013;320000086;320780117;1;14;709;3736;3;0;1.5;1;;0;0;0;1;;13;0;5.06
MCOAVC;2013;330781360;330781196;1;34;2053;10110;4;;2.55;;;3;;2.1;;;57;10;66.84
MCOAVC;2013;340000033;340780055;1;25;1087;7922;6;1;2.2;0;1;5;1;2.2;0;1;30;12;36.1
MCOAVC;2013;340015502;340000512;1;16;426;1488;4;;4;;1;4;;4;;1;;;
MCOAVC;2013;340782085;340780477;1;27;718;924;;;;;;4;;4;1;1;;;67.5
MCOAVC;2013;350000147;350000022;1;14;830;4286;2;;1.2;0;1;2;;1.2;;;10;7;14.6
MCOAVC;2013;350000741;350005179;1;14;647;4001;3;0;1.16;;;3;0;1.16;;;70;31;84.74
MCOAVC;2013;360000137;360000053;1;16;;;;;;;;;;;;;;;
MCOAVC;2013;370000861;370000481;1;27;1120;7496;1;1;1.5;0;1;1;1;1.5;0;1;37;15;42.14
MCOAVC;2013;380000067;380780080;1;28;731;8221;2;1;1.88;1;0;2;1;1.88;;;35;7;38.76
MCOAVC;2013;380000174;380781435;1;15;472;3985;4;1;1.53;0;1;4;1;1.53;0;1;26;22;18.79
MCOAVC;2013;390000040;390780146;1;3;307;825;4;;4;0;1;;;;;;;;
MCOAVC;2013;400000105;400780193;1;16;601;5593;3;3;1.07;0;1;3;2;0.91;0;1;2;30;34.88
MCOAVC;2013;400000139;400011177;1;16;542;4274;5;;4.2;0;1;4;;4;0;1;2;39;27.03
MCOAVC;2013;420785354;420784878;1;23;598;7858;3;1;3.29;;;2;1;2.29;;;30;9;35.89
MCOAVC;2013;440000016;440000057;1;14;53;158;4;;3.16;;;4;;3.16;0;1;2;33;23.78
MCOAVC;2013;440017598;440000289;1;22;855;1837;4;0;1.1;1;0;4;0;1.1;;;26;18;39.07
MCOAVC;2013;450002613;450000088;1;16;817;4915;3;0;1.7;;;;;;;;33;16;30.49
MCOAVC;2013;460000110;460780216;1;12;536;2857;2;0;2;0;1;2;0;2;0;1;28;2;28.42
MCOAVC;2013;470000423;470000316;1;16;630;4616;5;;1.61;0;1;5;;1.61;0;1;32;5;28.38
MCOAVC;2013;490000049;490000031;1;20;1012;6064;2;0;2;0;1;1;0;1;0;1;8;4;8.7
MCOAVC;2013;500000187;500000013;1;6;650;2026;4;1;6.43;;;4;1;6.43;;;44;25;65.52
MCOAVC;2013;500000450;500000112;1;20;462;4519;53;16;57.45;0;1;5;2;5.1;0;1;3;0;3.28
MCOAVC;2013;510004302;510000029;1;4;500;1090;1;0;0.5;0;1;1;0;0.5;0;1;20;9;22.4
MCOAVC;2013;540001138;540002078;1;25;3354;23217;3;1;0.86;1;1;3;1;0.86;1;1;21;6;19.36
MCOAVC;2013;560000127;560023210;1;20;960;6873;3;0;2;0;1;3;0;2;0;1;41;17;33.82
MCOAVC;2013;560000135;560005746;1;12;612;5393;3;3;2.8;0;1;2;3;2.4;0;1;19;5;9.94
MCOAVC;2013;560000143;560014748;1;15;464;4599;5;;2.4;;1;4;;2;;1;10;3;12
MCOAVC;2013;570000091;750050759;1;8;1216;10844;3;2;4.75;1;1;3;2;4.75;0;1;19;4;21.9
MCOAVC;2013;570026682;570005165;1;31;1363;10890;8;1;7.5;1;0;8;1;7.5;1;0;44;12;51.57
MCOAVC;2013;590000337;590781415;1;6;408;1753;4;1;2.6;0;1;3;0;2.33;0;1;13;4;15.73
MCOAVC;2013;590000535;590781803;1;16;647;5024;5;;5;1;1;5;;5;;;14;;13.96
