BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2013;010000024;010780054;1;550;240;675;5.19;1;22;0;982;3;7878;3;;;;1.4;;0;;0;;10;14;;;4;5;;;;1;12.31;12.05;;;4.24
MCOGER;2013;010000065;010780096;0;;;;;1;23;1;1507;13;14685;1;;3;;2.3;;0;;1;;11;13;;;1;4;8;;;1;8.89;14.98;;;0.5
MCOGER;2013;010000099;010780120;0;;;;;1;9;0;116;1;1149;;;1;1;0.15;0.15;0;0;1;1;3;3;;;5;5;9;;;;3.89;5.26;;;4.26
MCOGER;2013;010000115;010009132;0;;;;;1;12;;160;0;3328;0;;4;;0.71;;;;1;;;5;;;1;3;2;1;;9;1.61;5.28;0.08;;3.63
MCOGER;2013;010000131;010009132;0;;;;;1;8;0;152;2;2805;;;2;;0.21;;;;1;;1;2;;;1;3;1;1;;12;2.14;2.42;0.05;;2.18
MCOGER;2013;010005239;010008407;0;;;;;1;14;1;622;2;4761;1;;1;;0.97;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;010780203;010006450;0;;;;;1;12;2;367;10;3686;1;1;;;1;1;;;1;;4;;;;;2;2;;;;4.8;1.4;;;
MCOGER;2013;020000097;020000048;0;;;;;1;31;8;521;1921;8580;2;2;1;1;2.5;2.5;;;;;12;16;;;9;1;2;;;;12.6;17.72;;;9
MCOGER;2013;020000162;020000063;1;159;0;149;2.5;1;42;1;1381;52;14811;1;1;4;4;3.4;3.4;0;0;0;0;12;14;0;0;8;2;2;0;0;4;12.49;15.29;0;0;7.76
MCOGER;2013;020000394;020000253;1;217;106;59;2.42;1;25;;693;3;7785;2;0;1;0;2.46;0;0;0;0;0;11;9;0;0;6;1;1;0;0;0;11.2;9.8;0;0;5.4
MCOGER;2013;020000519;020000261;1;221;0;197;1.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;020001061;020004404;1;50;;50;0.3;1;20;;756;1;6262;3;2;;;2.6;1.6;0;0;0;0;8;8;;;1;;;;;1;8;8;;;1.8
MCOGER;2013;030000061;030780092;1;624;;486;3.55;1;25;1;692;71;8948;2;2;;;0.73;0.73;0;0;1;0;7;12;;;2;4;2;;;;10.01;13.89;;;1.96
MCOGER;2013;030000079;030780100;1;32;63;54;0.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;030000087;030780118;1;768;8;710;3.36;1;15;2;451;2;5520;2;2;0;0;2;2;0;0;1;0;0;0;0;0;0;12;16;0;0;7;4.57;6.32;0;0;2.61
MCOGER;2013;040000135;050002948;1;;;239;1.62;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;050000231;050000116;0;;;;;1;6;1;176;3;2061;1;1;;;0.6;0.6;0;0;1;1;2;3;;;;;;;;3;2;2.08;;;0.5
MCOGER;2013;050000256;050000124;1;110;124;113;1.6;1;12;0;379;4;3893;1;;;;0.9;;0;;0;;4;5;;;1;2;5;;;1;5.72;9.23;;;1.33
MCOGER;2013;050000330;050007145;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;050006436;050002948;1;;;239;1.63;1;33;1;990;427;9472;3;;1;1;3.04;0.54;;;;;12;15;0;0;16;7;4;0;0;5;14.6;16.28;0.36;0;12.8
MCOGER;2013;060000478;060780897;1;606;0;377;1.5;1;12;0;435;0;4303;0;0;0;0;0;0;;;;;5;12;0;0;0;0;0;0;0;0;4.63;10.85;0;0;0
MCOGER;2013;060000510;060780954;0;;;;;1;20;1;744;3;7179;5;4;2;1;2.57;2.2;;0;;1;10;15;0;0;7;3;4;0;0;2;12.2;17.74;0;0;7.67
MCOGER;2013;060000544;060780988;1;449;0;273;1.85;1;16;0;459;0;5803;2;;1;;1.16;;0;0;0;0;4;11;;;10;2;0;;;3;5.48;9.66;;;4.57
MCOGER;2013;060002102;060791761;1;;;;2.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;060788957;060785011;1;1980;202;2229;2.9;1;50;2;2101;729;18306;13;3;9;0;8.31;2.1;0;0;1;1;5;0;1;0;59;1;0;0;0;17;5.96;0;0.18;0;55.16
MCOGER;2013;060789195;060785011;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;060791811;750826638;0;;;;;1;91;4;;;;12;6;26;;16.74;4.94;0;;1;;38;32;1;;3;8;7;;;1;42.26;38.18;0.47;0;2.93
MCOGER;2013;070000013;070002878;1;106;6;103;2.73;1;15;0;322;0;5241;4;4;1;;2.26;2.26;0;0;1;1;4;5;;;1;3;1;;;1;4.76;3.68;;;0.87
MCOGER;2013;070000179;070780358;1;360;;313;3.7;1;6;0;154;4;1047;21;3;2;1;20.08;1.6;0;0;1;1;7;10;1;0;48;3;4;0;0;52;9.46;11.8;0.5;0;78.14
MCOGER;2013;070000203;070780382;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;070000609;070005566;1;;;;;1;22;1;607;2;6762;4;0;0;0;3.25;0;;;;;1;0;0;0;2;0;0;0;0;0;0.95;0;0;0;0.5
MCOGER;2013;080000110;080000037;1;179;0;122;2.63;1;19;;554;0;5922;2;2;0;0;2;2;0;0;1;1;5;7;;;1;3;1;;;;7;7.6;;;1
MCOGER;2013;080000219;080001969;0;;;;;1;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;080000276;080001969;0;;;;;1;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;080000300;080000078;0;;;;;1;8;0;0;0;0;;;2;;0.45;;0;0;0;0;8;7;;;4;;2;;;;3.75;4.65;;;2
MCOGER;2013;080000425;080000615;1;304;14;170;3.5;1;24;3;556;388;8530;3;1;0;0;2.99;0.89;0;0;0;0;6;14;;;4;6;8;;;1;10.53;18.27;;;4.15
MCOGER;2013;090000175;090781774;1;438;0;408;3.2;1;10;0;198;0;3522;1;1;;;0.8;0.8;0;0;1;1;3;7;;;5;3;1;;;0;1.81;3.86;;;3.07
MCOGER;2013;090000183;090781816;1;216;49;231;3.12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;090001629;090780107;1;0;0;0;0.33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
