BOR;AN;FI;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;LIT_REA;EX_POST;LIT_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2013;060785003;060785011;1;33;1;8;1;8;0;;1;1;600;1;300;1;1;0;1;1;1856;117;9755;23;3;84;346;1855;375;1575;102;2;497
NEUROCHIR;2013;130780521;130786049;1;40;0;0;0;0;;;;;;;;;;;;;1240;18;11800;19;1;169;179;1081;226;658;0;0;0
NEUROCHIR;2013;130783293;130786049;1;67;0;;1;8;0;;1;1;12;0;;1;1;1;0;1;3725;77;20880;43;1;160;196;2585;782;1929;287;9;2150
NEUROCHIR;2013;130784051;130037823;1;101;1;10;1;20;1;3;1;0;;0;;1;1;1;0;1;4832;11;28059;0;0;0;649;4371;621;5823;152;0;854
NEUROCHIR;2013;140000209;140000100;1;50;0;0;1;5;0;0;1;1;270;0;;1;0;0;0;1;2470;61;14821;17;1;73;232;2587;306;1359;204;7;1657
NEUROCHIR;2013;140017237;140003278;1;32;0;;1;5;0;;1;0;;0;;1;0;0;0;0;2225;0;9402;0;0;0;0;0;11;131;0;0;0
NEUROCHIR;2013;210987558;210780581;1;26;0;;1;4;0;;;;;1;1550;1;;;0;1;1679;42;7485;15;0;67;214;1402;114;629;214;11;1337
NEUROCHIR;2013;250006954;250000015;1;39;0;;0;;0;;1;1;;1;;1;0;1;0;1;1968;49;11029;35;1;137;86;730;184;283;119;0;1238
NEUROCHIR;2013;290004324;290000017;1;50;0;0;1;8;0;0;1;1;4380;0;;1;0;1;0;1;2026;25;13682;17;1;63;65;628;22;48;20;1;173
NEUROCHIR;2013;2B0000012;2B0000020;1;20;0;1;0;1;0;;0;0;;0;;1;0;0;0;0;816;34;4748;11;1;47;40;491;17;58;0;0;0
NEUROCHIR;2013;300780152;300000114;1;21;0;1;0;2;0;0;1;1;;0;;1;1;1;0;0;1510;3;7062;4;0;32;38;468;202;1842;0;0;0
NEUROCHIR;2013;300782117;300780038;1;10;0;;0;;0;;1;1;;1;;1;0;0;0;0;353;3;2639;2;0;9;46;445;26;8;0;0;0
NEUROCHIR;2013;310780283;310000112;1;34;0;;1;4;;;1;;;;;1;1;1;0;1;3067;1502;9174;5;0;19;27;230;146;852;0;0;0
NEUROCHIR;2013;310781000;310788880;1;35;1;6;1;12;1;74;1;0;;0;;1;0;1;0;1;3450;5;15012;1;0;1;70;377;220;623;26;0;170
NEUROCHIR;2013;310783048;310781406;1;38;1;8;1;4;1;1;1;1;;1;;1;1;1;1;1;1309;16;9806;210;12;824;183;1982;442;1195;195;14;1223
NEUROCHIR;2013;310783055;310781406;1;46;1;8;1;4;1;;1;1;;1;;1;1;1;1;1;1830;33;12499;12;0;65;253;2407;405;1458;164;2;1074
NEUROCHIR;2013;330781360;330781196;1;75;1;14;1;10;0;0;;0;;0;;1;1;0;1;1;2454;119;19960;194;11;849;610;5975;1390;3409;343;33;859
NEUROCHIR;2013;340015502;340000512;1;30;0;4;0;8;;;;0;;0;;;;;;;337;1;1584;1;0;4;14;37;118;173;0;0;0
NEUROCHIR;2013;340782085;340780477;1;54;0;16;1;12;1;6;1;;;;;1;1;1;1;1;2368;56;13366;330;18;1626;112;2094;785;2085;491;99;1991
NEUROCHIR;2013;350000741;350005179;1;48;0;;1;6;0;;;1;2500;1;1500;1;1;1;1;1;2304;43;14981;37;2;163;123;1056;357;1643;296;13;1220
NEUROCHIR;2013;370000499;370000481;1;15;0;;0;;0;;0;0;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2013;370000861;370000481;1;36;1;10;1;12;1;;;1;;0;;1;0;1;1;1;2508;551;9572;17;7;32;163;2043;630;3327;249;75;1390
NEUROCHIR;2013;380000067;380780080;1;45;1;9;1;4;0;0;1;1;2200;0;;1;1;0;1;1;2028;48;11591;26;1;143;331;1142;318;991;189;13;1112
NEUROCHIR;2013;420785354;420784878;1;57;1;5;1;1;1;2;1;1;;;;1;1;0;1;1;2195;266;16870;31;14;79;201;893;131;387;122;2;861
NEUROCHIR;2013;440017598;440000289;1;42;0;;0;;0;;1;;;;;;;;;;1856;137;9943;15;1;33;374;1662;248;408;287;15;1278
NEUROCHIR;2013;450002613;450000088;1;17;1;4;0;;1;;1;;;;;1;0;1;0;0;925;14;4666;8;0;102;82;1155;16;24;0;0;0
NEUROCHIR;2013;490000049;490000031;1;36;0;;1;8;1;1;1;1;3250;0;;1;0;0;1;1;1775;36;10313;8;1;29;135;731;10;54;156;11;945
NEUROCHIR;2013;510004302;510000029;1;38;0;0;1;6;1;5;1;0;0;0;0;1;1;0;0;1;2446;471;8421;9;0;31;34;436;593;1659;135;9;827
NEUROCHIR;2013;540001138;540002078;1;84;1;12;1;6;1;8;1;1;;1;;1;1;1;0;1;2818;37;26501;9;1;57;207;3150;247;1735;292;11;1997
NEUROCHIR;2013;540002698;540002078;1;8;0;;0;;0;0;1;1;;1;;0;0;0;1;0;4;0;17;366;14;2176;0;0;0;0;0;0;0
NEUROCHIR;2013;590000618;590782215;1;28;1;7;0;0;0;;1;1;327;1;17;1;0;0;0;0;1189;17;8391;10;1;66;173;1054;74;236;0;0;0
NEUROCHIR;2013;590780268;590053955;1;10;1;2;0;;0;;0;0;;0;;1;0;0;0;0;1004;0;4535;4;0;16;46;73;5;4;0;0;0
