BOR;AN;FI;FI_EJ;RESTO1;RESTO2;RESTO3;RESTO4;RESTO5;BLANC1;BLANC2;BLANC3;BLANC4;BLANC5;NETTO1;NETTO2;NETTO3;NETTO4;NETTO5;INFOR1;INFOR2;INFOR3;INFOR4;INFOR5;ASSMED;ASSMED1;ASSMED2;FED;GCS;EJ_GCS1;EJ_GCS2;EJ_GCS3;EJ_GCS4;EJ_GCS5;ET1_GCS1;ET1_GCS2;ET1_GCS3;ET1_GCS4;ET1_GCS5;ET2_GCS1;ET2_GCS2;ET2_GCS3;ET2_GCS4;ET2_GCS5;ET3_GCS1;ET3_GCS2;ET3_GCS3;ET3_GCS4;ET3_GCS5;ET4_GCS1;ET4_GCS2;ET4_GCS3;ET4_GCS4;ET4_GCS5;ET5_GCS1;ET5_GCS2;ET5_GCS3;ET5_GCS4;ET5_GCS5;SITE_GCS
ORG;2013;010000024;010780054;1;;;;;1;;;1;;1;;;;;1;;;;;;;;;1;010780054;010009215;;;;010000024;010000024;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000032;010780062;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000065;010780096;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000081;010780112;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000099;010780120;1;;;;;1;;1;;;1;;;;;1;;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000107;010780138;1;;;;;1;;1;;;1;;;;;1;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000115;010009132;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000131;010009132;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000180;010007987;1;0;0;0;;1;0;1;0;;1;0;0;0;;1;0;1;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000198;010007987;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000214;010007987;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010000495;010783009;1;0;0;0;;0;0;1;0;;0;0;1;0;;1;0;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010002129;920000395;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010005239;010008407;1;0;0;1;0;0;0;1;0;0;1;0;0;;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010006526;690796552;;;;;;;;1;0;0;;;1;0;0;1;0;1;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010007300;010007292;;;1;;;;;1;;;;;1;;;;;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010009314;010780054;1;;;;;1;;;;;1;;;;;1;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010009702;010780054;1;;;;;1;;;;;1;;;;;1;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010780195;010000156;0;0;1;0;;0;0;1;0;;0;0;1;0;;1;0;0;0;;;;;;1;010009199;;;;;010000024;;;;;;;;;;;;;;;;;;;;;;;;;1
ORG;2013;010780203;010006450;;;1;;;;;1;;;1;;;;;;;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010780252;010783009;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ORG;2013;010780278;010783009;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
