BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO;SEJ0_NEO;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2013;010000024;010780054;NIV2;;43;15;6;;5;2695;147;364;31;190;18;0;0;12048;4093;1129;0;2179;10703;386;2869;17;2128;1;51;7;0;6538;13692;;7;0;1;633;628;460;33;;20;0;0
PERINAT;2013;010000032;010780062;NIV1;;12;;;;2;683;78;0;0;0;0;0;0;2461;0;0;0;503;2204;85;554;0;499;0;4;3;0;2951;2006;9;10;0;1;138;95;71;10;0;6;;0
PERINAT;2013;010005239;010008407;NIV1;;21;0;0;0;3;876;68;0;0;0;0;0;0;3307;0;0;0;650;2954;125;750;0;643;1;7;1;0;3051;3483;197;5;0;1;189;175;119;2;0;0;0;0
PERINAT;2013;010780203;010006450;NIV1;;15;;;;3;1249;127;0;0;0;0;0;0;4579;0;0;0;945;4135;202;1209;0;934;0;11;1;0;;;;9;0;0;;;;;;1;0;0
PERINAT;2013;020000089;020000022;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
PERINAT;2013;020000162;020000063;NIV2;;38;15;6;0;4;2056;194;513;20;337;11;0;0;9523;5404;2453;0;1360;7630;351;2698;19;1328;1;32;11;0;20399;915;0;10;0;1;400;454;211;;;1;0;0
PERINAT;2013;020000394;020000253;NIV2;;24;10;4;;3;1375;118;348;13;93;9;0;0;5562;2500;649;0;906;4557;171;1222;1;890;0;16;5;0;5144;1770;;10;0;1;213;;173;24;0;3;0;0
PERINAT;2013;020000519;020000261;NIV2;;35;12;6;;3;1995;288;336;23;123;13;0;0;7851;2208;466;0;1287;6623;229;1790;1;1271;0;16;4;0;19219;1065;;7;0;1;378;338;226;;2;5;0;0
PERINAT;2013;020000535;020000287;NIV1;;16;;;;3;1066;70;0;0;0;0;0;0;4943;0;0;0;820;4249;130;895;0;815;0;5;4;0;25762;2046;61;7;0;1;275;249;151;18;0;0;0;0
PERINAT;2013;020001061;020004404;NIV2;;15;6;;;3;977;58;259;0;0;0;0;0;4636;1189;0;0;695;3560;144;1004;0;688;0;7;1;0;7522;4769;65;5;0;1;113;101;49;0;1;13;0;0
