BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2013;010000024;010780054;M1030;6;;2.28;1;1;1;
PERINAT_P;2013;010000024;010780054;M1140;4;1;2.65;1;1;;
PERINAT_P;2013;010000024;010780054;M2050;7;4;6.27;1;0;;
PERINAT_P;2013;010000024;010780054;MIVG;2;6;0.25;;;;
PERINAT_P;2013;010000024;010780054;N2340;7;12;15.2;;;;
PERINAT_P;2013;010000024;010780054;N2700;;2;1.33;;;;
PERINAT_P;2013;010000024;010780054;N2800;25;19;36.93;;;;
PERINAT_P;2013;010000024;010780054;N280H;22;18;34.03;;;;
PERINAT_P;2013;010005239;010008407;M2050;3;1;2.6;;;;
PERINAT_P;2013;010005239;010008407;N2800;9;8;7.4;;;;
PERINAT_P;2013;010005239;010008407;N3120;;1;0.17;;;;
PERINAT_P;2013;010780203;010006450;M1030;4;;4;;1;;0
PERINAT_P;2013;010780203;010006450;M1140;2;;2;0;1;;
PERINAT_P;2013;010780203;010006450;M2050;3;;3;0;1;;
PERINAT_P;2013;010780203;010006450;N2800;8;4;10.7;;;;
PERINAT_P;2013;010780203;010006450;N280H;8;4;10.7;;;;
PERINAT_P;2013;020000162;020000063;M1140;3;4;4.2;1;0;;
PERINAT_P;2013;020000162;020000063;M2050;7;3;8.5;1;0;;
PERINAT_P;2013;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2013;020000162;020000063;N2340;14;8;19.78;;;;
PERINAT_P;2013;020000162;020000063;N2700;1;1;1.8;;;;
PERINAT_P;2013;020000394;020000253;M1030;0;0;0;1;0;0;0
PERINAT_P;2013;020000394;020000253;M1140;2;1;2.2;1;0;;
PERINAT_P;2013;020000394;020000253;M2050;7;0;6.39;1;0;;
PERINAT_P;2013;020000394;020000253;MIVG;0;1;0.6;;;;
PERINAT_P;2013;020000394;020000253;N2340;1;2;2.25;;;;
PERINAT_P;2013;020000394;020000253;N2700;0;1;0.6;;;;
PERINAT_P;2013;020000394;020000253;N2800;9;6;15.04;;;;
PERINAT_P;2013;020000394;020000253;N280H;9;6;15.04;;;;
PERINAT_P;2013;020000519;020000261;M1030;4;;4;1;0;0;0
PERINAT_P;2013;020000519;020000261;M1140;5;1;5.7;1;0;;
PERINAT_P;2013;020000519;020000261;M2050;9;;9;1;1;;
PERINAT_P;2013;020000519;020000261;MIVG;3;;3;;;;
PERINAT_P;2013;020000519;020000261;N2340;2;1;2.8;;;;
PERINAT_P;2013;020000519;020000261;N2700;;1;0.8;;;;
PERINAT_P;2013;020000519;020000261;N2800;9;5;12.4;;;;
PERINAT_P;2013;020000519;020000261;N280H;1;;1;;;;
PERINAT_P;2013;020000535;020000287;M1030;;;0.5;1;0;0;
PERINAT_P;2013;020000535;020000287;M1140;;;0.5;1;0;;
PERINAT_P;2013;020000535;020000287;M2050;;;1.6;0;1;;
PERINAT_P;2013;020000535;020000287;N2800;11;3;12.11;;;;
PERINAT_P;2013;020000535;020000287;N280H;8;1;7.77;;;;
PERINAT_P;2013;020001061;020004404;M1030;;;1;1;;0;
PERINAT_P;2013;020001061;020004404;M1140;2;;3;0;1;;
PERINAT_P;2013;020001061;020004404;M2050;;;3.4;0;1;;
PERINAT_P;2013;020001061;020004404;N2340;5;;4.35;;;;
PERINAT_P;2013;020001061;020004404;N2700;1;;0.02;;;;
PERINAT_P;2013;020001061;020004404;N2800;16;;15.59;;;;
PERINAT_P;2013;020001061;020004404;N280H;6;1;6.8;;;;
PERINAT_P;2013;020001061;020004404;N3120;1;;0.5;;;;
PERINAT_P;2013;020001087;020004495;N2800;3;0;3;;;;
PERINAT_P;2013;020001087;020004495;N280H;3;0;3;;;;
PERINAT_P;2013;020010047;020001632;M1030;6;;6;0;1;0;0
PERINAT_P;2013;020010047;020001632;M1140;3;;3;0;1;;
PERINAT_P;2013;020010047;020001632;M2050;6;;6;0;1;;
PERINAT_P;2013;020010047;020001632;N2340;1;;0.8;;;;
PERINAT_P;2013;020010047;020001632;N2800;13;;10.59;;;;
PERINAT_P;2013;020010047;020001632;N280H;7;;5.3;;;;
PERINAT_P;2013;020010047;020001632;N3120;1;;1;;;;
PERINAT_P;2013;030000061;030780092;M1030;;;;0;1;;0
PERINAT_P;2013;030000061;030780092;M1140;3;;0.94;0;1;;
PERINAT_P;2013;030000061;030780092;M2050;4;1;1.09;0;1;;
PERINAT_P;2013;030000061;030780092;MIVG;;1;0.05;;;;
PERINAT_P;2013;030000061;030780092;N2340;1;3;3.9;;;;
PERINAT_P;2013;030000061;030780092;N2800;16;9;24.5;;;;
PERINAT_P;2013;030000079;030780100;M1030;;;;1;0;0;0
PERINAT_P;2013;030000079;030780100;M1140;5;2;0.72;0;1;;
PERINAT_P;2013;030000079;030780100;M2050;5;1;2.1;0;1;;
PERINAT_P;2013;030000079;030780100;N2340;1;;1;;;;
PERINAT_P;2013;030000079;030780100;N2800;23;4;26.36;;;;
PERINAT_P;2013;030000087;030780118;M1030;5;1;5.8;0;1;;
PERINAT_P;2013;030000087;030780118;M1140;4;2;4.9;0;1;;
PERINAT_P;2013;030000087;030780118;M2050;7;2;7.1;0;1;;
PERINAT_P;2013;030000087;030780118;N2340;;6;1.2;;;;
PERINAT_P;2013;030000087;030780118;N2700;;2;0.49;;;;
PERINAT_P;2013;030000087;030780118;N2800;;32;11.74;;;;
PERINAT_P;2013;030780548;030000194;M2050;2;;2;0;1;;
PERINAT_P;2013;030781116;030000426;M1030;;7;0.1;1;1;;
PERINAT_P;2013;030781116;030000426;M2050;;3;0.2;1;1;;
PERINAT_P;2013;040000093;040780215;M1030;6;2;8;1;0;0;0
PERINAT_P;2013;040000093;040780215;M1140;1;3;2.4;0;1;;
PERINAT_P;2013;040000093;040780215;M2050;4;4;8;0;1;;
PERINAT_P;2013;040000093;040780215;N2340;3;2;5.07;;;;
PERINAT_P;2013;040000093;040780215;N2700;1;;0.1;;;;
PERINAT_P;2013;040000093;040780215;N2800;10;8;16.8;;;;
PERINAT_P;2013;040000093;040780215;N280H;10;8;16.8;;;;
PERINAT_P;2013;040000911;040788879;M1030;2;1;2.5;;;;
PERINAT_P;2013;040000911;040788879;M1140;;2;0.84;;1;;
PERINAT_P;2013;040000911;040788879;M2050;3;1;3.6;;1;;
PERINAT_P;2013;040000911;040788879;N2340;1;;1;;;;
PERINAT_P;2013;040000911;040788879;N2700;;1;0.18;;;;
PERINAT_P;2013;040000911;040788879;N2800;8;6;13.9;;;;
PERINAT_P;2013;040000911;040788879;N280H;8;6;13.9;;;;
PERINAT_P;2013;050000231;050000116;M1140;2;1;2.4;0;1;;
PERINAT_P;2013;050000231;050000116;M2050;3;;2.66;0;1;;
PERINAT_P;2013;050000231;050000116;N2700;1;1;1;;;;
PERINAT_P;2013;050000231;050000116;N2800;8;4;9.71;;;;
PERINAT_P;2013;050000231;050000116;N280H;6;;6;;;;
PERINAT_P;2013;050000256;050000124;N2800;;2;1.01;;;;
PERINAT_P;2013;050000348;050002948;M1140;4;0;0.97;;;;
PERINAT_P;2013;050000348;050002948;M2050;4;3;5.35;;;;
PERINAT_P;2013;050000348;050002948;MIVG;0;1;0.3;;;;
PERINAT_P;2013;050000348;050002948;N2340;1;2;1.88;;;;
PERINAT_P;2013;050000348;050002948;N2800;10;16;19.93;;;;
PERINAT_P;2013;050000348;050002948;N280H;4;3;4;;;;
PERINAT_P;2013;060000478;060780897;N2700;0;1;0.75;;;;
PERINAT_P;2013;060000478;060780897;N2800;24;9;29.29;;;;
PERINAT_P;2013;060000478;060780897;N280H;24;9;28.95;;;;
PERINAT_P;2013;060000510;060780954;M1140;5;6;4.84;0;1;;
PERINAT_P;2013;060000510;060780954;M2050;3;3;4.24;0;1;;
PERINAT_P;2013;060000510;060780954;MIVG;1;1;0.3;;;;
PERINAT_P;2013;060000510;060780954;N2800;13;4;15.46;;;;
PERINAT_P;2013;060000510;060780954;N280H;13;4;15.46;;;;
PERINAT_P;2013;060000544;060780988;M1030;1;1;1.2;1;0;0;
PERINAT_P;2013;060000544;060780988;M1140;1;;1;1;0;;
PERINAT_P;2013;060000544;060780988;M2050;6;8;6.96;1;0;;
PERINAT_P;2013;060000544;060780988;MIVG;;3;0.33;;;;
PERINAT_P;2013;060000544;060780988;N2340;2;2;3.3;;;;
PERINAT_P;2013;060000544;060780988;N2700;1;;0.3;;;;
PERINAT_P;2013;060000544;060780988;N2800;23;6;26.68;;;;
PERINAT_P;2013;060000544;060780988;N280H;12;2;13.2;;;;
PERINAT_P;2013;060000544;060780988;N3120;2;;0.24;;;;
PERINAT_P;2013;060002102;060791761;M1140;;1;0.2;0;0;;
PERINAT_P;2013;060002102;060791761;M2050;1;;1;0;0;;
PERINAT_P;2013;060002102;060791761;N2800;1;;1;;;;
PERINAT_P;2013;060021417;060000221;M1030;2;2;3;0;1;0;0
PERINAT_P;2013;060021417;060000221;M2050;;8;1;0;1;;
PERINAT_P;2013;060021631;060017019;M1140;0;0;2.3;;;;
PERINAT_P;2013;060021631;060017019;N2340;0;0;18.7;;;;
PERINAT_P;2013;060780517;060000239;M1030;9;;9;;1;;1
PERINAT_P;2013;060780517;060000239;M1140;4;;4;;1;;
PERINAT_P;2013;060780517;060000239;M2050;10;;10;;1;;
PERINAT_P;2013;060780517;060000239;MIVG;5;;5;;;;
PERINAT_P;2013;060780517;060000239;N2700;2;;2;;;;
PERINAT_P;2013;060780517;060000239;N2800;15;;15;;;;
PERINAT_P;2013;060780517;060000239;N280H;2;;2;;;;
PERINAT_P;2013;060780517;060000239;N3120;1;;1;;;;
PERINAT_P;2013;060780699;060000346;M1030;;2;0.2;0;0;;
PERINAT_P;2013;060780699;060000346;M2050;;8;0.2;0;0;;
PERINAT_P;2013;060780699;060000346;N280H;;5;0.2;;;;
PERINAT_P;2013;060780715;060000361;M1030;;8;3.6;1;;;
PERINAT_P;2013;060780715;060000361;M1140;;32;6.4;1;;;
PERINAT_P;2013;060780715;060000361;M2050;;19;3.8;1;;;
PERINAT_P;2013;060780715;060000361;MIVG;;6;0.1;;;;
PERINAT_P;2013;060780715;060000361;N2340;2;1;2.5;;;;
PERINAT_P;2013;060780715;060000361;N2700;;1;0.1;;;;
PERINAT_P;2013;060780715;060000361;N2800;;1;0.1;;;;
PERINAT_P;2013;060780715;060000361;N280H;8;1;0.1;;;;
PERINAT_P;2013;060780715;060000361;N3120;;1;0.1;;;;
PERINAT_P;2013;060780756;060000403;M1030;5;;5;1;;1;
PERINAT_P;2013;060780756;060000403;M1140;2;3;5;0;1;;
PERINAT_P;2013;060780756;060000403;M2050;;18;18;1;;;
PERINAT_P;2013;060780756;060000403;N2800;25;13;26.69;;;;
PERINAT_P;2013;060789195;060785011;M1030;3;1;1.78;1;0;;
PERINAT_P;2013;060789195;060785011;M1140;11;3;4.12;1;0;;
PERINAT_P;2013;060789195;060785011;M2050;10;0;1.71;1;0;;
PERINAT_P;2013;060789195;060785011;MIVG;1;4;1.06;;;;
PERINAT_P;2013;060789195;060785011;N2340;25;10;31.04;;;;
PERINAT_P;2013;060789195;060785011;N2700;1;1;1;;;;
PERINAT_P;2013;060789195;060785011;N2800;50;10;56.79;;;;
PERINAT_P;2013;060789195;060785011;N280H;36;7;39.17;;;;
PERINAT_P;2013;060789195;060785011;N3120;2;0;1.47;;;;
PERINAT_P;2013;070000013;070002878;N2800;4;5;7.44;;;;
PERINAT_P;2013;070000013;070002878;N280H;1;;1;;;;
PERINAT_P;2013;070000096;070780184;M2050;;2;0.3;0;0;;
PERINAT_P;2013;070000096;070780184;N2800;;3;1.4;;;;
PERINAT_P;2013;070000179;070780358;M1030;6;0;6;1;0;0;0
PERINAT_P;2013;070000179;070780358;M1140;4;0;4;0;0;;
PERINAT_P;2013;070000179;070780358;M2050;4;0;4;0;0;;
PERINAT_P;2013;070000179;070780358;MIVG;4;0;4;;;;
PERINAT_P;2013;070000179;070780358;N2340;0;2;1.35;;;;
PERINAT_P;2013;070000179;070780358;N2700;1;0;0.2;;;;
