BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A37;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42
PSY2;2013;010000495;010783009;16635;88;9;2;36;694;185;89;10;2;38;893;196;81719;6214;418;22;485;42634;6973;15698;364;124;;;1324;765;164749;1603;138;2;18;8538;730;;1;2.3;1;7.02;0;;1;28.14;0;
PSY2;2013;020000386;020000600;1087;;;;;;;;;;;;;27291;;;;;;;;;;;;;;;;;;;;;5;0;;0;;0;;0;;;
PSY2;2013;020000543;020000295;2278;92;4;1;60;249;120;81;2;1;80;209;110;181799;8130;750;73;830;12987;3781;22000;223;0;0;0;71;0;159123;1071;12;0;0;1048;412;60.4;0;;0;;0;;0;;0;
PSY2;2013;020004156;590805065;388;;;;;;;;;;;;;15594;;;;;;;2725;;;;;;;;;;;;;;;0;;1;19;0;;0;;0;
PSY2;2013;020006664;020000063;3347;36;0;1;0;126;14;104;0;1;0;228;71;13166;3372;0;41;0;3861;860;12341;930;0;0;0;276;364;30875;14;0;0;0;51;0;9.4;1;1;0;;0;;0;;0;
PSY2;2013;030000061;030780092;4454;30;1;3;3;146;13;;;;;;;59527;2366;214;46;72;5613;316;15535;283;0;0;0;194;0;55426;57;4;22;1;180;34;;1;;1;1.57;1;1;0;;0;
PSY2;2013;030000087;030780118;;2;;;;;;;;;;;;;1007;;;;;;;;;;;;;;9846;;;;;;15.95;1;10.4;1;39.73;1;4.02;0;;0;
PSY2;2013;030000160;030780282;227;;;;;;;;;;;;;129428;;;;;;;;;;;;;;;;;;;;;3.6;0;;0;;0;;0;;0;
PSY2;2013;030781637;030780100;287;17;;;;85;;21;;;;;;11032;206;;;;2610;;4234;116;;;;;;;;;;;;;;1;;1;;1;3.5;0;;0;
PSY2;2013;040000911;040788879;1260;41;2;;;119;83;;;;;;;48864;2929;365;;;3586;2275;;;;;;;;;;;;;;;;0;;1;29.05;1;15.8;0;;0;
PSY2;2013;050000132;050007145;2694;13;5;5;;45;55;13;5;5;;45;56;37077;1183;380;7;;1914;1219;3617;;;;;17;;39669;;;;;;;12;0;;0;;0;;0;;0;
PSY2;2013;050000231;050000116;160;;;;;;;;;;;;;7041;;;;;;;3574;;;;;;;11999;;;;;;;4;1;5;0;;1;2;0;;0;
PSY2;2013;050000454;050000645;87;;;;;;;;;;;;;9675;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;;0;
PSY2;2013;050000991;050000546;373;;;;;;;;;;;;;13591;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060000478;060780897;1745;43;2;0;10;72;0;;;;;;;6389;1428;415;0;0;2758;;2051;;;;;4;;17847;311;8;0;19;294;0;;1;1;0;;0;;0;;0;
PSY2;2013;060000510;060780954;6122;40;6;1;0;257;16;18;3;1;0;142;8;22390;1317;37;2;0;4026;545;5704;77;0;55;0;0;0;12908;119;2;0;0;266;10;14.6;1;4.6;0;;1;1;0;;0;
PSY2;2013;060000544;060780988;500;20;;;2;194;10;23;;;2;216;10;;;;;;;;;;;;;;;;;;;;;;;1;3.56;0;;0;;0;;0;
PSY2;2013;060019288;060017019;586;;;;;;;;;;;;;1787;;;;;;;;;;;;;;3872;;;;;;;;;;0;;1;;0;;0;
PSY2;2013;060780442;060000213;598;;;;;;;;;;;;;17653;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060780525;060000247;770;;;;;;;;;;;;;22375;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060780541;060000262;852;;;;;;;;;;;;;23437;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060780749;060000395;385;;;;;;;;;;;;;13021;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060780947;060800174;934;;;;;;;;;;;;;3818;;;;;;;;;;;;;;6711;;;;;;;;;;;;;;;;;
PSY2;2013;060780996;630786754;1943;151;2;39;58;739;35;171;3;47;77;864;35;86413;14292;206;953;2167;31331;1047;28984;983;73;;1765;734;;122202;1868;37;14;4532;2833;14;;1;17;1;46;1;22;1;24;1;23
PSY2;2013;060781929;060000858;828;;;;;;;;;;;;;26995;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;060785003;060785011;4552;37;;;;154;5;28;;;;147;7;13137;1202;;;;6007;635;4062;;;;;48;;15831;139;;;;638;28;;0;;0;;0;;0;;0;
PSY2;2013;060800174;;3540;;;;;;;;;;;;;;;;;;;;10367;;;;;;;42434;;;;;;;;;;;;;;;;;
PSY2;2013;070780317;630786754;1496;59;3;;7;253;188;75;3;;8;288;223;58671;3510;195;;124;11372;3624;21212;508;;;;944;228;111765;559;13;;15;2751;872;28.8;1;0.88;1;27.38;0;;0;;0;
PSY2;2013;080000318;080000086;7425;43;;1;;286;227;43;;1;;286;227;62064;1285;;11;;7553;2553;20124;114;;;;1385;175;49073;163;1;1;;1781;496;18;1;0.5;0;;1;3.32;0;;0;
PSY2;2013;090000183;090781816;7567;83;;;;247;89;;;;;;;22092;2189;;;;7806;3605;4689;9;;;;392;11;54520;696;;;;1970;0;;1;;1;;0;;0;;0;
PSY2;2013;100000108;100000033;4537;36;8;1;18;153;9;41;8;1;24;208;18;55409;5565;407;10;194;8175;276;23012;886;;;;1709;;54564;;;;;;;28.6;1;2.55;1;68.4;1;7.65;0;;0;
PSY2;2013;110002953;110780137;303;17;;;;71;;;;;;;;9242;1018;;;;3097;;;;;;;;;;;;;;;;9.2;1;1.5;0;;1;9.4;0;;0;
PSY2;2013;110780152;110000064;564;;;;;;;;;;;;;21826;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;110786324;;1455;90;2;1;9;234;14;102;2;1;11;48;14;57509;5087;620;11;103;10530;478;18443;3;;;;38;;62131;379;;;;288;;;1;1.5;1;3;1;;0;;0;
PSY2;2013;120000039;120780044;1728;;;1;;;;;;;;;;1453;;;19;;;;2687;;;;;;;15434;;;;;;;5;1;;;;1;26;0;;0;
PSY2;2013;120004569;120004528;;;;;;;;;;;;;;7297;;;;;;;7817;;;;;;;27509;;;;;;;;1;0.5;;;1;;0;;0;
PSY2;2013;120780283;630786754;7941;44;2;6;201;285;146;27;;2;;268;155;71660;2226;728;3;28;11014;3730;16505;223;;6;;508;183;101717;325;;4;817;1225;343;;0;;1;;0;;0;;0;
