BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;NB_CONS;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2013;010000495;010783009;GEN;;4;;;;352;;;25;;;100;10;;6015;127776;;;5477;;;;14731;86;;;18;14;77443;30928;6519;7052;4852;0;;12515;9559;2241;151;26;3;23.43;18;;13.66;0;0;236;80;288.92;214.4;24.57;26.24;11.99;4.38;5.33;17;;15;4;;3.4;261;77;313.03;236.28;66.93;3.61;6.21;;
PSY;2013;010000495;010783009;INF;;1;;;;19;;;;;;14;0;;448;4025;;;;;;;2759;;;1;11;6;28749;9237;39;257;403;77;;4125;3748;128;1;11;1;9.93;;;;0;0;50;62;82.79;38.76;5;14.52;2.01;14.95;7.55;3;;2.61;;;;19;9;21.12;14.12;4.8;1.3;0.5;0.4;
PSY;2013;010000495;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2422;;;;;419;405;;;;;;1;;1;;;2;3;4.41;2.8;0;1.61;;;;;;;;;;;;;;0;;;;
PSY;2013;010000495;010783009;TOT;1;;7;1;;371;;;25;;;114;10;;6463;131801;;;5477;;;;17490;86;;1;29;20;106192;40165;8980;7309;5255;77;;16817;13592;2353;152;37;4;33.36;19;;14.66;;;288;145;376.12;255.96;29.57;42.37;14;19.33;12.88;20;0;17.61;4;;3.4;280;86;334.15;250.4;71.73;4.91;6.71;0.4;
PSY;2013;020000386;020000600;GEN;;;;;;71;;;;;;10;;;;27291;;;;;;;1425;;;;;;;;;;;;;1087;;;;5;;5;;2;0.3;;;34;7;42.07;31.65;8.38;1.5;0.5;0.04;;5;;5;;3;0.3;29;5;37.77;27.85;8.38;1;0.5;0.04;
PSY;2013;020000386;020000600;TOT;0;;;0;;71;;;;;;10;;;;27291;;;;;;;1425;;;;;;;;;;;;;1087;;;;5;;5;;2;0.3;;;34;7;42.07;31.65;8.38;1.5;0.5;0.04;;5;;5;;3;0.3;29;5;37.77;27.85;8.38;1;0.5;0.04;
PSY;2013;020000543;020000295;GEN;;5;;;;387;87;;;;146;42;4;;2391;127019;30093;;;;46095;126;8080;96;;;7;2;57606;11346;10677;2748;2649;;;7730;5599;299;202;27;4;26.7;15;2;16;0;0;619;72;685.05;434.22;85.9;18.21;12.2;3.3;8.8;18;0;18;9;2;10;560;47;535.2;337.9;79.6;7;7.6;1.3;7
PSY;2013;020000543;020000295;INF;;3;;;;34;3;;;;;112;1;;118;4504;639;;;;;83;14118;0;;;9;;55460;;1578;30;33;317;;4351;4092;17;9;8;;8;2;;2;0;0;174;33;197.12;88.7;8;27;4;8.6;33.4;3;0;3;0;0;0;62;6;65.46;41.7;0;3;1;0;6
PSY;2013;020000543;020000295;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1007;;;;;18215;921;860;;;2;2;2.6;1;;1;;;8;6;11.6;7.4;0;3.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSY;2013;020000543;020000295;TOT;1;;6;1;;421;90;;;;146;154;5;;2509;131523;30732;;;;46095;209;22198;96;;;18;3;113066;12353;12255;2778;2682;317;18215;12803;10444;313;210;37;6;37.3;18;2;19;;;801;111;893.77;530.32;93.9;48.41;16.2;11.9;43.2;21;0;21;9;2;10;622;53;600.66;379.6;79.6;10;8.6;1.3;13
