BOR;AN;FI;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;ETP_BUD;ETP_MAD;EFFSAL;ETPSAL;EFFLIB
Q20;2013;010000024;010780054;M1000;58;43;16;19;;;1;;63.44;50.51;;86.05;8.87;;8.71;10.32;;;136;113.95;1
Q20;2013;010000024;010780054;M1010;21;19;4;9;;;;;20.44;21.81;;28.83;4.65;;3.13;5.64;;;53;42.25;
Q20;2013;010000024;010780054;M1020;1;2;;;;;;;1;2;;3;;;;;;;3;3;
Q20;2013;010000024;010780054;M1030;5;3;2;2;;;;;7.66;3.96;;7.8;1.24;;1.52;1.06;;;12;11.62;
Q20;2013;010000024;010780054;M1031;2;;1;1;;;;;2.15;0.93;;2.93;;;0.15;;;;4;3.08;
Q20;2013;010000024;010780054;M1040;7;;2;;;;;;7.63;;;3;2;;0.5;2.13;;;9;7.63;
Q20;2013;010000024;010780054;M1050;;1;2;;;;;;0.2;0.95;;0.95;;;0.2;;;;3;1.15;
Q20;2013;010000024;010780054;M1070;1;;;1;;;;;1;0.8;;1.8;;;;;;;2;1.8;
Q20;2013;010000024;010780054;M1090;3;1;1;1;;;;;3.26;1.04;;4;;;0.3;;;;6;4.3;
Q20;2013;010000024;010780054;M1100;2;1;;;;;;;2;1;;2;;;1;;;;3;3;
Q20;2013;010000024;010780054;M1110;2;1;;1;;;;;2;1.4;;3;;;0.4;;;;4;3.4;
Q20;2013;010000024;010780054;M1120;3;1;1;1;;;;;3.51;1.3;;4.3;;;0.51;;;;6;4.81;
Q20;2013;010000024;010780054;M1130;2;2;;;;;;;2.18;2.1;;4;;;;0.28;;;4;4.28;
Q20;2013;010000024;010780054;M1140;5;3;;1;;;;;5;3.86;;7.88;0.98;;;;;;9;8.86;
Q20;2013;010000024;010780054;M1150;1;2;1;;;;;;1.4;2;;3;;;0.4;;;;4;3.4;
Q20;2013;010000024;010780054;M1160;2;3;2;;;;1;;3.01;2.31;;3.96;;;0.3;1.06;;;7;5.32;1
Q20;2013;010000024;010780054;M1170;1;1;;;;;;;1;1.15;;2;;;;0.15;;;2;2.15;
Q20;2013;010000024;010780054;M1180;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2013;010000024;010780054;M1190;;2;;2;;;;;;2.9;;2.6;;;0.3;;;;4;2.9;
Q20;2013;010000024;010780054;M2020;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2013;010000024;010780054;M2030;4;;;;;;;;4;;;4;;;;;;;4;4;
Q20;2013;010000024;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;;;1;0.3;
Q20;2013;010000024;010780054;M2050;5;2;1;1;;;;;5.6;3.31;;5.85;2.89;;0.17;;;;9;8.91;
Q20;2013;010000024;010780054;M2070;1;1;2;;;;;;1.2;0.15;;;;;0.3;1.05;;;4;1.35;
Q20;2013;010000024;010780054;M2080;1;1;;;;;;;1;0.12;;1;;;;0.12;;;2;1.12;
Q20;2013;010000024;010780054;M2100;3;;;;;;;;1.39;;;1;;;;0.39;;;3;1.39;
Q20;2013;010000024;010780054;M2120;2;;;;;;;;2;0.02;;2;;;;0.02;;;2;2.02;
Q20;2013;010000024;010780054;M2130;2;;2;;;;;;2.56;;;1.53;;;1.03;;;;4;2.56;
Q20;2013;010000024;010780054;M3012;2;2;;3;;;;;2.75;4;;6.75;;;;;;;7;6.75;
Q20;2013;010000024;010780054;M3030;;;;2;;;;;;1.26;;1.2;;;0.06;;;;2;1.26;
Q20;2013;010000024;010780054;M3040;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2013;010000024;010780054;M3050;3;5;;1;;;;;1.57;5.81;;4.8;2.58;;;;;;9;7.38;
Q20;2013;010000024;010780054;M3060;;;1;;;;;;0.8;;;;;;;0.8;;;1;0.8;
Q20;2013;010000024;010780054;M9999;82;55;23;26;;;1;;87.61;66.18;;116.18;14.34;;10.57;12.7;194.2;1.56;186;153.79;1
Q20;2013;010000065;010780096;M1000;3;3;5;3;0;0;0;0;6.01;5.43;0;6.63;2;0;0.78;2.03;;;14;11.44;0
Q20;2013;010000065;010780096;M1010;3;3;3;3;0;0;0;0;5.23;5.43;0;6.63;2;0;0;2.03;;;12;10.66;0
Q20;2013;010000065;010780096;M1040;0;0;1;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0;;;1;0.2;0
Q20;2013;010000065;010780096;M1160;0;0;1;0;0;0;0;0;0.58;0;0;0;0;0;0.58;0;;;1;0.58;0
Q20;2013;010000065;010780096;M3050;1;1;0;1;0;0;0;0;0.16;0.92;0;0.7;0.16;0;0;0.22;;;3;1.08;0
Q20;2013;010000065;010780096;M3060;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;;;1;1;0
