BOR;AN;FI;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT
Q21;2013;010000024;010780054;1000;0.1;;;
Q21;2013;010000024;010780054;2000;153.69;;1.56;54.67
Q21;2013;010000024;010780054;2100;149.92;;1.56;54.67
Q21;2013;010000024;010780054;2300;2;;;
Q21;2013;010000024;010780054;2400;1.77;;;
Q21;2013;010000024;010780054;9999;153.79;;1.56;54.67
Q21;2013;010000065;010780096;1000;1;0;0.6;0
Q21;2013;010000065;010780096;2000;12.52;0;0.25;1.32
Q21;2013;010000065;010780096;2100;7.2;0;;0.74
Q21;2013;010000065;010780096;2400;4.62;0;0.25;0.58
Q21;2013;010000065;010780096;2500;0.7;0;;0
Q21;2013;010000065;010780096;9999;13.52;0;0.85;1.32
Q21;2013;010000081;010780112;1000;0.68;;;
Q21;2013;010000081;010780112;2000;1.58;;;
Q21;2013;010000081;010780112;2400;0.81;;;
Q21;2013;010000081;010780112;2500;0.77;;;
Q21;2013;010000081;010780112;9999;2.26;;;
Q21;2013;010000099;010780120;1000;1;;;
Q21;2013;010000099;010780120;2000;1.16;;;
Q21;2013;010000099;010780120;2100;0.59;;;
Q21;2013;010000099;010780120;2400;0.57;;;
Q21;2013;010000099;010780120;9999;2.16;;;
Q21;2013;010000107;010780138;2000;2.35;;;
Q21;2013;010000107;010780138;2100;1.32;;;
Q21;2013;010000107;010780138;2400;1.03;;;
Q21;2013;010000107;010780138;9999;2.35;;;
Q21;2013;010000115;010009132;2000;1.61;;;
Q21;2013;010000115;010009132;2100;0.52;;;
Q21;2013;010000115;010009132;2400;0.86;;;
Q21;2013;010000115;010009132;2500;0.23;;;
Q21;2013;010000115;010009132;9999;1.61;;;
Q21;2013;010000131;010009132;2000;1.64;;;
Q21;2013;010000131;010009132;2100;0.42;;;
Q21;2013;010000131;010009132;2400;1.22;;;
Q21;2013;010000131;010009132;9999;1.64;;;
Q21;2013;010000180;010007987;2000;1.78;0;;0
Q21;2013;010000180;010007987;2400;1.78;0;;0
Q21;2013;010000180;010007987;9999;1.78;0;;0
Q21;2013;010000198;010007987;1000;0.1;0;;0
Q21;2013;010000198;010007987;2000;3.65;0;;0
Q21;2013;010000198;010007987;2400;3.65;0;;0
Q21;2013;010000198;010007987;9999;3.75;0;;0
Q21;2013;010000214;010007987;1000;0.2;0;;0
Q21;2013;010000214;010007987;2000;10.68;0;;0
Q21;2013;010000214;010007987;2100;2.83;0;;0
Q21;2013;010000214;010007987;2400;7.85;0;;0
Q21;2013;010000214;010007987;9999;10.88;0;;0
Q21;2013;010000495;010783009;1000;5.2;;;
Q21;2013;010000495;010783009;2000;62.45;25.34;;9.74
Q21;2013;010000495;010783009;2200;62.45;25.34;;9.74
Q21;2013;010000495;010783009;9999;67.65;25.34;;9.74
Q21;2013;010002129;920000395;2000;6;;;
Q21;2013;010002129;920000395;2400;6;;;
Q21;2013;010002129;920000395;9999;6;;;
Q21;2013;010005239;010008407;1000;4.16;0;;0
Q21;2013;010005239;010008407;2000;42.06;0;;4.97
Q21;2013;010005239;010008407;2100;40.82;0;;4
Q21;2013;010005239;010008407;2400;1.24;0;;0.97
Q21;2013;010005239;010008407;9999;46.22;0;;4.97
Q21;2013;010005379;690006598;2000;1;0;0;
Q21;2013;010005379;690006598;2300;1;0;0;
Q21;2013;010005379;690006598;9999;1;0;0;
Q21;2013;010006526;690796552;2000;0.25;;;
Q21;2013;010006526;690796552;2100;0.25;;;
Q21;2013;010006526;690796552;9999;0.25;;;
Q21;2013;010007300;010007292;2000;0;;;0
Q21;2013;010007300;010007292;2100;0;;;0
Q21;2013;010007300;010007292;9999;0;;;0
Q21;2013;010009314;010780054;2000;5.83;;;
Q21;2013;010009314;010780054;2400;3.98;;;
Q21;2013;010009314;010780054;2500;1.85;;;
