BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2013;010000024;010780054;27;2;;27;2;58
Q22;2013;010000065;010780096;0;0;0;2;0;2
Q22;2013;010000495;010783009;7;;;6;;13
Q22;2013;010005239;010008407;0;1;0;4;0;5
Q22;2013;020000162;020000063;44;3;0;24;5;76
Q22;2013;020000394;020000253;0;0;0;5;8;13
Q22;2013;020000519;020000261;18;;;;11;29
Q22;2013;020000535;020000287;1;;;1;10;12
Q22;2013;020000543;020000295;0;0;0;0;2;2
Q22;2013;020001061;020004404;1;;;;5;6
Q22;2013;020006664;020000063;1;;;;1;2
Q22;2013;030000061;030780092;12;;;15;7;34
Q22;2013;030000079;030780100;25;1;;8;5;39
Q22;2013;030000087;030780118;35;0;0;14;4;53
Q22;2013;030781637;030780100;1;;;;;1
Q22;2013;040000093;040780215;;;;6;;6
Q22;2013;040000135;050002948;0;0;0;1;0;1
Q22;2013;040000911;040788879;;;;7;;7
Q22;2013;040780488;040000200;;;;1;;1
Q22;2013;050000231;050000116;;;;6;0;6
Q22;2013;050000256;050000124;;;;3;;3
Q22;2013;050000348;050002948;2;2;0;4;0;8
Q22;2013;050006436;050002948;0;0;0;1;0;1
Q22;2013;060000478;060780897;0;0;0;38;0;38
Q22;2013;060000510;060780954;15;;;13;;28
Q22;2013;060000528;060780962;22;1;;6;;29
Q22;2013;060000544;060780988;13;1;;25;3;42
Q22;2013;060001450;060785011;38;;8;13;1;60
Q22;2013;060002102;060791761;;1;;6;;7
Q22;2013;060019627;060019551;1;;;;;1
Q22;2013;060780145;060000049;;;;1;;1
Q22;2013;060780715;060000361;1;;;;;1
Q22;2013;060780947;060800174;38;;;;;38
Q22;2013;060780996;630786754;10;;;;;10
Q22;2013;060781374;060000718;;;;3;;3
Q22;2013;060785003;060785011;46;;1;7;2;56
Q22;2013;060788957;060785011;6;;;16;;22
Q22;2013;060789195;060785011;105;;;22;8;135
