BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFSP;INFNS;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2013;010000024;010780054;1000;4.6;0.67;194.5;;199.77;8.79;47.81;2.94;53.52;26.26;1.3;3;0.2;143.82;1;4.26;5.26;1.87;178.82;529.54
Q24;2013;010000024;010780054;2000;;;30.31;;30.31;23.97;366;64.23;296.21;54.02;7.33;38.23;20.22;870.21;0.82;2.22;3.04;102.04;23.41;1029.01
Q24;2013;010000024;010780054;2100;;;28.13;;28.13;22.97;356.1;64.23;296.21;54.02;6.06;38.23;19.24;857.06;;1.76;1.76;102.04;23.41;1012.4
Q24;2013;010000024;010780054;2300;;;2.18;;2.18;1;9.57;;;;1.1;;;11.67;;0.46;0.46;;;14.31
Q24;2013;010000024;010780054;2400;;;;;;;0.33;;;;0.17;;0.98;1.48;0.82;;0.82;;;2.3
Q24;2013;010000024;010780054;9999;4.6;0.67;224.81;;230.08;32.76;413.81;67.17;349.73;80.28;8.63;41.23;20.42;1014.03;1.82;6.48;8.3;103.91;202.23;1558.55
Q24;2013;010000065;010780096;1000;0.55;0;11.33;0;11.88;0.4;2.41;0;2.6;1.99;0.58;0;0.2;8.18;0.01;0.13;0.14;0.14;7.84;28.18
Q24;2013;010000065;010780096;2000;0;0;6.31;0;6.31;3.59;53;0;74.39;22.04;2.69;0;7.02;162.73;0.08;3.03;3.11;4.67;1.26;178.08
Q24;2013;010000065;010780096;2100;0;0;3.8;0;3.8;1.54;29.26;0;31.77;4.43;0.9;0;2.43;70.33;0;1.66;1.66;2.06;0;77.85
Q24;2013;010000065;010780096;2400;0;0;2.1;0;2.1;1.65;18.39;0;32.24;8.72;1.29;0;3.74;66.03;0;1.26;1.26;2.07;0;71.46
Q24;2013;010000065;010780096;2500;0;0;0.41;0;0.41;0.4;5.35;0;10.38;8.89;0.5;0;0.85;26.37;0.08;0.11;0.19;0.54;1.26;28.77
Q24;2013;010000065;010780096;9999;0.55;0;17.64;0;18.19;3.99;55.41;0;76.99;24.03;3.27;0;7.22;170.91;0.09;3.16;3.25;4.81;9.1;206.26
Q24;2013;010000081;010780112;1000;1;;6.89;;7.89;;1.32;;7.45;11.63;;;0.03;20.43;1.02;0.02;1.04;3.16;14.92;47.44
Q24;2013;010000081;010780112;2000;;;0.14;;0.14;0.5;12.86;;11.53;20.05;0.16;;0.93;46.03;0.09;0.15;0.24;;0.76;47.17
Q24;2013;010000081;010780112;2400;;;;;;0.5;5.88;;5.82;10.32;0.05;;0.54;23.11;;0.04;0.04;;0.05;23.2
Q24;2013;010000081;010780112;2500;;;0.14;;0.14;;6.98;;5.71;9.73;0.11;;0.39;22.92;0.09;0.11;0.2;;0.71;23.97
Q24;2013;010000081;010780112;9999;1;;7.03;;8.03;0.5;14.18;;18.98;31.68;0.16;;0.96;66.46;1.11;0.17;1.28;3.16;15.68;94.61
Q24;2013;010000099;010780120;1000;0.5;;3.77;;4.27;;0.9;;;0.3;;;1;2.2;;;;1.11;5.13;12.71
Q24;2013;010000099;010780120;2000;;;1;;1;0.98;8.62;;11.63;5.2;0.63;;1.74;28.8;;;;;;29.8
Q24;2013;010000099;010780120;2100;;;0.45;;0.45;0.42;3.89;;5.26;2.36;0.25;;0.78;12.96;;;;;;13.41
Q24;2013;010000099;010780120;2400;;;0.55;;0.55;0.56;4.73;;6.37;2.84;0.38;;0.96;15.84;;;;;;16.39
