BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2013;010000024;010780054;1;2;;;;1;1;;;
Q25;2013;010000065;010780096;0;0;0;0;0;1;0;1;0;0
Q25;2013;010000081;010780112;3;8;;;;;4;10;;
Q25;2013;010000099;010780120;;;1;;;;;;;
Q25;2013;010000107;010780138;;5;;;;;;;;
Q25;2013;010000115;010009132;1;2;;;;;;;;
Q25;2013;010000131;010009132;1;0;0;0;0;0;0;0;0;0
Q25;2013;010000198;010007987;0;1;0;0;0;0;0;0;0;0
Q25;2013;010000214;010007987;1;2;0;0;0;1;0;0;0;0
Q25;2013;010000495;010783009;5;13;;;;;;;;1
Q25;2013;010005239;010008407;1;5;0;0;0;0;1;1;0;0
Q25;2013;010009314;010780054;;1;;;;;;;;
Q25;2013;010780195;010000156;;;;;;1;;2;;
Q25;2013;010780278;010783009;;;;;1;;;1;;
Q25;2013;010780476;750005068;;;;;1;3;;;;
Q25;2013;010780492;360000707;1;7;;;;5;;;;
Q25;2013;020000089;020000022;2;24;;;1;;;;;
Q25;2013;020000097;020000048;6;19;;;;;1;;;
Q25;2013;020000105;020000055;2;8;;;;;;;;2
Q25;2013;020000246;020000071;2;6;;;;;;;;
Q25;2013;020000303;750814030;;1;;;3;;;;;
Q25;2013;020000394;020000253;4;19;0;0;1;0;4;4;0;0
Q25;2013;020000519;020000261;6;49;;;;6;2;1;;
Q25;2013;020000535;020000287;1;3;;;1;;1;7;;
Q25;2013;020000543;020000295;2;8;0;0;0;3;2;;0;0
Q25;2013;020000683;020002085;;4;;;;;1;1;;
Q25;2013;020000915;020003620;;6;;;;;1;6;;
Q25;2013;020001061;020004404;4;1;;;;1;;;;
Q25;2013;020001087;020004495;2;6;0;0;0;0;0;0;0;0
Q25;2013;020003877;020000253;0;5;0;0;0;0;0;1;0;0
Q25;2013;020004156;590805065;;4;;;;;;1;;
Q25;2013;020004297;020005179;;;;;;;;2;;
Q25;2013;020004677;020000261;;2;;;;;;;;
Q25;2013;020010310;750719361;;1;;;;;;;;
Q25;2013;020014767;590805065;;1;;;;;;;;
Q25;2013;030000012;030180020;;4;;;;;;;;
Q25;2013;030000061;030780092;;5;;;1;2;4;8;;
Q25;2013;030000079;030780100;;1;;;;;;;;
Q25;2013;030000087;030780118;17;48;0;0;0;0;1;4;0;0
Q25;2013;030000095;030780126;1;;;;;;3;2;;
Q25;2013;030000160;030780282;;;;;1;1;;;;
Q25;2013;030002208;030002158;3;0;0;0;0;0;0;0;0;0
Q25;2013;030785430;030785422;;;;;;1;;;;
Q25;2013;040000028;040780124;;;;;;;1;2;;
Q25;2013;040000051;040780173;1;;;;;;;;;
Q25;2013;040000069;040780181;1;1;;;;;2;1;;
Q25;2013;040000077;040780199;;3;;;;;;;;
Q25;2013;040000119;040780231;1;8;;;;;;;;
Q25;2013;040000127;040780249;;1;;;;;;1;;
Q25;2013;040000135;050002948;0;1;0;0;0;1;0;0;0;0
Q25;2013;040780389;040000150;0;0;0;0;0;2;0;0;0;0
Q25;2013;050000058;050000033;;;;;;2;;;;
