BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;EFFPL_MED;pct80;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2013;010000024;010780054;REAADU;12;4380;668;711;41;3071;4;;5;13;3;4.8;1;;27.01;21;9;1.13;12;8;17.69;;;;;1;1
REA;2013;010000024;010780054;SITOT;10;3650;897;;;2082;;;;;;;;;;;;;;;;;;;;;
REA;2013;010000024;010780054;SIUNV;4;1460;414;;;900;;;4;;;1.3;;;5.24;;19;;;18;3.5;;;;;;
REA;2013;010000024;010780054;SURVADU;6;2190;469;;;1558;;;5;;3;1.65;;;7.51;6;2;;6;1;7;;;;;1;0.75
REA;2013;010000024;010780054;SURVENF;4;1460;374;;;949;;;;;;;;;;;;;;;;;;;;;
REA;2013;010000024;010780054;USIC;6;2190;483;;;1182;;;4;;1;1;;;10.39;10;1;;5;;4.92;;;;;;
REA;2013;010000032;010780062;SURVADU;4;1460;442;;;1081;;;;;;;;;;;;;;;;;;;;;
REA;2013;010005239;010008407;SURVADU;6;2190;820;;;1582;;;2;;27;3.93;;;;;;;;;;;;;;;
REA;2013;010780195;010000156;REAADU;10;3650;831;889;15;4447;10;;6;33;;6;1;;20.2;15;7;1;10;10;13.02;;;;;;
REA;2013;010780195;010000156;SITOT;6;2190;768;;;1785;;;;;;;;;;;;;;;;;;;;;
REA;2013;010780195;010000156;SURVADU;5;1825;13;;;29;;;3;;;3;;;;;;;;;;;;;;;
REA;2013;010780195;010000156;USIC;6;2190;768;;;1785;;;7;;;7;1;;5.32;2;3;0.5;3;2;5.04;;;;;;
REA;2013;010780203;010006450;SURVADU;6;2190;348;;;1620;;;;;;;;;4.9;4;1;;;;;;;;;;
REA;2013;020000162;020000063;REAADU;12;4380;401;418;16;3894;22;46;4;15;0;4;2;0;27.78;28;0;1.2;25;0;25.09;0;0;0;3;7;8.74
REA;2013;020000162;020000063;SITOT;18;6570;1585;;;5279;;;;;;;;;;;;;;;;;;;;;
REA;2013;020000162;020000063;SIUNV;6;2190;611;;;1409;;;3;;3;0.8;1;0;8.3;7;2;0.3;8;0;8;0;0;0;0;2;1.5
REA;2013;020000162;020000063;SURVADU;11;4015;510;;;2523;;;;;;;;;;;;;;;;;;;;;
REA;2013;020000162;020000063;USIC;12;4380;974;;;3870;;;3;;1;3.8;3;0;15.21;11;5;1.06;10;2;12.16;0;0;0;1;5;5.8
REA;2013;020000394;020000253;REAADU;8;2920;229;236;10;2363;3;;3;20;0;3.82;1;0;18.74;22;0;1;14;0;11.54;0;0;0;0;6;3.51
REA;2013;020000394;020000253;SITOT;6;2190;494;;;1491;;;;;;;;;;;;;;;;;;;;;
REA;2013;020000394;020000253;SURVADU;4;368;40;;;222;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;020000394;020000253;USIC;6;2190;494;;;1491;;;0;;0;5.03;0;0;9.49;10;0;0;4;0;4;0;0;0;2;1;1.65
REA;2013;020000519;020000261;REAADU;8;2920;315;324;14;2377;9;39;3;20;;3;1;;16.5;12;5;1;12;;12;;;;6;6;6.2
REA;2013;020000519;020000261;SITOT;10;3650;875;;;2488;;;;;;;;;;;;;;;;;;;;;
REA;2013;020000519;020000261;SIUNV;4;1460;442;;;1113;;;2;;;2;;;6;6;;;5;1;5.8;;;;;;
REA;2013;020000519;020000261;SURVADU;8;736;93;;;397;;;2;;;2;;;6;6;;;5;;5;;;;;1;1
REA;2013;020000519;020000261;USIC;6;2190;433;;;1375;;;4;;;4;;;6.8;6;1;;5;1;5.9;;;;;1;1
REA;2013;020000535;020000287;AUTSI;6;2190;310;;;1660;;;;;;1.25;;;8.39;35;10;0.26;35;3;5.39;;;;4;17;2.44
REA;2013;020000535;020000287;SITOT;12;4380;801;;;3401;;;;;;;;;;;;;;;;;;;;;
REA;2013;020000535;020000287;SURVADU;6;2190;317;;;1698;;;;;;1.25;;;6.79;35;10;0.25;35;3;6.72;;;;4;17;2.44
REA;2013;020000535;020000287;USIC;6;2190;491;;;1741;;;;;;1.25;;;8.39;35;10;0.25;35;3;5.39;;;;4;17;2.44
REA;2013;020001061;020004404;REAADU;8;2920;443;451;5;3275;6;42;;30;;4.5;;;17.29;;;0.6;;;10.13;;;0.3;;;2.2
REA;2013;020001061;020004404;SITOT;4;1460;322;;;1172;;;;;;;;;;;;;;;;;;;;;
REA;2013;020001061;020004404;SURVADU;4;1460;282;;;1312;;;;;;1.5;;;6;;;0.3;;;5.7;;;0.1;;;1.15
REA;2013;020001061;020004404;USIC;4;1460;322;;;1172;;;;;;1.5;;;6;;;0.3;;;5.7;;;0.1;;;1.15
REA;2013;020010047;020001632;AUTSI;4;1460;166;;;709;;;3;;;3;;;3.5;3;1;;4;1;4.5;;;;2;;0.5
REA;2013;020010047;020001632;SITOT;4;1460;166;;;709;;;;;;;;;;;;;;;;;;;;;
REA;2013;020010047;020001632;SURVADU;12;4380;491;;;2578;;;4;;;4;1;;8;8;;1;9;;9;;;;4;;0.9
REA;2013;030000061;030780092;REAADU;8;2920;239;245;8;2299;5;48;5;17;;4.85;;1;23.22;17;9;0.8;11;2;12.1;;;;;2;1.96
REA;2013;030000061;030780092;SITOT;8;2920;517;;;1867;;;;;;;;;;;;;;;;;;;;;
REA;2013;030000061;030780092;SURVADU;2;730;122;;;434;;;;;;0.15;;;;;;;;;;;;;;;
REA;2013;030000061;030780092;USIC;8;2920;517;;;1867;;;1;;;2;;1;10.99;8;5;1;9;;8.89;;;;1;;0.5
REA;2013;030000079;030780100;REAADU;10;3650;259;269;5;3184;17;49;3;21;0;3.25;1;0;23.64;15;10;1;14;;15.22;1;;0.46;;4;4.47
REA;2013;030000079;030780100;SURVENF;2;730;297;;;712;;;;;;;;;;;;;;;;;;;;;
REA;2013;030000087;030780118;REAADU;8;2888;459;477;60;2365;10;;5;24;1;4.55;0;1;9.67;0;31;0.5;0;18;6.37;0;0;0;4;0;1.88
REA;2013;030000087;030780118;SITOT;8;2920;945;;;1977;;;;;;;;;;;;;;;;;;;;;
REA;2013;030000087;030780118;SURVADU;2;996;165;;;462;;;;;;;0;0;7.96;0;31;0;0;18;5.4;0;0;0;3;0;0.9
REA;2013;030000087;030780118;SURVENF;4;1460;328;;;1044;;;0;;;;0;7;2.06;0;17;0.79;0;16;2.47;0;0;0;7;0;1.14
REA;2013;030000087;030780118;USIC;8;2920;945;;;1977;;;7;;3;7.7;0;2;9.72;0;32;0.37;0;18;6.3;0;0;0;4;0;1.66
REA;2013;030781116;030000426;SITOT;8;2920;717;;;2955;;;;;;;;;;;;;;;;;;;;;
REA;2013;030781116;030000426;SURVADU;10;3650;710;;;2536;;;12;;12;12;10;;;;;9.6;3;;2.8;3;3;3;;;
REA;2013;030781116;030000426;USIC;8;2920;717;;;2955;;;4;;4;4;7;;;;;6.8;8;;7.2;3;3;3;;;
REA;2013;040000093;040780215;SURVADU;8;2920;569;;;2069;;;1;;;1;1;;14.2;13;4;0.5;7;7;11.54;;1;0.3;1;2;3.19
REA;2013;040000911;040788879;REAADU;6;2190;105;106;3;2098;20;;3;35;2;4.03;;;15.81;15;3;;10;1;10.83;;;;1;1;1.3
REA;2013;040000911;040788879;SURVADU;2;730;99;;;475;;;1;;1;0.6;;;;;;;;;;;;;;;
REA;2013;050000231;050000116;REAADU;6;2190;182;184;16;1299;21;39;2;26;2;2.48;;2;17.03;14;5;0.6;5;1;5.54;;;;1;;0.86
REA;2013;050000231;050000116;SURVADU;2;730;153;;;528;;;1;;;1;;;;;;;;;;;;;;;
REA;2013;050000348;050002948;REAADU;8;2920;242;246;12;2016;5;44;5;18;2;3.98;3;0;22.89;15;11;1.07;9;7;14.08;0;0;0;2;3;3.9
REA;2013;050000348;050002948;SITOT;6;2190;546;;;1631;;;;;;;;;;;;;;;;;;;;;
REA;2013;050000348;050002948;SURVADU;4;1460;270;;;1079;;;3;;2;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;050000348;050002948;USIC;6;2190;546;;;1631;;;0;;0;0;0;0;0;0;0;0;3;0;3;0;0;0;1;2;2.12
REA;2013;060000478;060780897;REAADU;8;2920;226;231;9;2468;8;;15;30;1;11.5;2;0;24.33;23;2;1.2;9;0;8.88;2;1;0.49;0;4;4
REA;2013;060000478;060780897;SURVADU;4;1460;338;;;1175;;;6;;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;060000510;060780954;REAADU;10;3650;482;505;32;2877;3;28;6;12;;4;3;1;27.3;27;7;3.15;17;3;17.75;;;;1;4;4.4
REA;2013;060000510;060780954;SITOT;6;2190;645;;;1790;;;;;;;;;;;;;;;;;;;;;
REA;2013;060000510;060780954;SURVADU;11;3993;834;;;3256;;;10;;;3;;;10.13;9;2;;6;2;6.84;;;;0;3;2.75
REA;2013;060000510;060780954;USIC;6;2190;645;;;1790;;;5;;;1.1;;;6;6;0;;8;1;8.8;;;;0;1;1
REA;2013;060000528;060780962;AUTSI;;;158;;;2703;;;;;;;;;;;;;;;;;;;;;
REA;2013;060000528;060780962;SITOT;;;158;;;2703;;;;;;;;;;;;;;;;;;;;;
REA;2013;060000528;060780962;SURVADU;8;2920;348;;;2355;;;9;;2;5.83;;1;13.79;17;;0.81;10;;8.77;;;;1;;0.66
REA;2013;060000544;060780988;REAADU;9;3279;391;401;29;2595;0;;3;24;;2.8;2;1;19.76;17;4;1.65;12;;17.77;1;;0.4;2;10;4.94
REA;2013;060000544;060780988;SITOT;6;2190;942;;;1751;;;;;;;;;;;;;;;;;;;;;
REA;2013;060000544;060780988;SURVADU;5;1825;409;;;1471;;;1;;3;1.5;2;;5.86;5;1;0.33;5;;5;;;;;;
REA;2013;060000544;060780988;USIC;6;2190;942;;;1751;;;4;;;2.5;1;;6.2;7;;0.25;6;;6;;;;;;
REA;2013;060001450;060785011;AUTSI;6;2190;434;;;1723;;;2;;;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;060001450;060785011;REAADU;15;5475;709;727;150;4433;5;38;8;9;;4.5;4;0;31.46;27;6;2.96;21;8;27.43;0;0;0;4;10;7.73
REA;2013;060001450;060785011;SITOT;6;2190;609;;;2160;;;;;;;;;;;;;;;;;;;;;
REA;2013;060001450;060785011;SIUNV;;;175;;;437;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;060001450;060785011;SURVADU;4;932;295;;;974;;;0;;;1.25;0;0;8.04;8;0;0;6;0;6.76;0;0;0;0;3;0.57
REA;2013;060019288;060017019;REAENF;0;905;83;85;0;795;31;;0;;0;1.02;0;0;4.01;0;0;2.64;0;0;3.02;0;0;0.07;;;
REA;2013;060019288;060017019;SURVENF;0;1086;195;;;538;;;0;;0;0.63;0;0;3.88;0;0;2.39;0;0;1.52;;;;;;
REA;2013;060021417;060000221;SURVADU;10;3650;84;;;466;;;8;;;1;;;;;;;;;;;;;;;
REA;2013;060021631;060017019;AUTSI;;;9;;;403;;;0;;0;;0;0;;0;0;;0;0;;;;;;;
REA;2013;060021631;060017019;SITOT;;;9;;;403;;;;;;;;;;;;;;;;;;;;;
REA;2013;060021631;060017019;SURVENF;;;235;;;1073;;;;;;;;;;;;;;;;;;;;;
