BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;010000024;010780054;SSR_A;;;17;;;;1030;1030
SSR;2013;010000024;010780054;SSR_A53;1;;5;0;;;592;592
SSR;2013;010000024;010780054;SSR_A54;1;;5;0;;;430;430
SSR;2013;010000024;010780054;SSR_A59;1;;7;0;;;8;8
SSR;2013;010000024;010780054;SSR_TOT;0;;17;0;;;1030;1030
SSR;2013;010000032;010780062;SSR_A;;40;8;;410;13511;73;2333
SSR;2013;010000032;010780062;SSR_A50;1;40;8;0;410;13511;73;2333
SSR;2013;010000032;010780062;SSR_TOT;0;40;8;0;410;13511;73;2333
SSR;2013;010000065;010780096;SSR_A;;68;;;815;24663;;
SSR;2013;010000065;010780096;SSR_A50;1;34;;0;434;11707;;
SSR;2013;010000065;010780096;SSR_A59;1;34;;0;381;12956;;
SSR;2013;010000065;010780096;SSR_TOT;0;68;;0;815;24663;;
SSR;2013;010000081;010780112;SSR_A;;20;;;201;6659;;
SSR;2013;010000081;010780112;SSR_A50;1;20;;0;201;6659;;
SSR;2013;010000081;010780112;SSR_TOT;0;20;;0;201;6659;;
SSR;2013;010000099;010780120;SSR_A;;20;;;303;8366;;
SSR;2013;010000099;010780120;SSR_A50;1;20;;0;303;8366;;
SSR;2013;010000099;010780120;SSR_TOT;0;20;;0;303;8366;;
SSR;2013;010000107;010780138;SSR_A;;20;;;281;7263;;
SSR;2013;010000107;010780138;SSR_A50;1;20;;0;281;7263;;
SSR;2013;010000107;010780138;SSR_TOT;0;20;;0;281;7263;;
SSR;2013;010000115;010009132;SSR_A;;18;;;203;6210;;
SSR;2013;010000115;010009132;SSR_A50;1;18;;0;203;6210;;
SSR;2013;010000115;010009132;SSR_TOT;0;18;;0;203;6210;;
SSR;2013;010000131;010009132;SSR_A;;29;;;337;9948;;
SSR;2013;010000131;010009132;SSR_A50;1;29;;0;337;9948;;
SSR;2013;010000131;010009132;SSR_TOT;0;29;;0;337;9948;;
SSR;2013;010000180;010007987;SSR_A;;48;;;618;13740;;
SSR;2013;010000180;010007987;SSR_A58;1;48;;0;618;13740;;
SSR;2013;010000180;010007987;SSR_TOT;0;48;;0;618;13740;;
SSR;2013;010000198;010007987;SSR_A;;80;;;1342;21776;;
SSR;2013;010000198;010007987;SSR_A51;1;80;;;1342;21776;;
SSR;2013;010000198;010007987;SSR_E;;0;;;126;1745;;
SSR;2013;010000198;010007987;SSR_E51;1;0;;0;126;1745;;
SSR;2013;010000198;010007987;SSR_TOT;0;80;;0;1468;23521;;
SSR;2013;010000214;010007987;SSR_A;;151;;;1454;47249;;
SSR;2013;010000214;010007987;SSR_A50;1;28;;0;192;7995;;
SSR;2013;010000214;010007987;SSR_A51;1;45;;;545;14071;;
SSR;2013;010000214;010007987;SSR_A54;1;34;;0;244;9824;;
SSR;2013;010000214;010007987;SSR_A59;1;44;;0;473;15359;;
SSR;2013;010000214;010007987;SSR_E;;;;;2;19;;
SSR;2013;010000214;010007987;SSR_E51;1;;;0;2;19;;
SSR;2013;010000214;010007987;SSR_TOT;0;151;;0;1456;47268;;
SSR;2013;010002129;920000395;SSR_A;;99;;;911;36135;;
SSR;2013;010002129;920000395;SSR_A50;1;47;;0;485;19345;;
SSR;2013;010002129;920000395;SSR_A51;1;20;;;236;6205;;
SSR;2013;010002129;920000395;SSR_A52;1;32;;0;190;10585;;
SSR;2013;010002129;920000395;SSR_TOT;0;99;;0;911;36135;;
SSR;2013;010005239;010008407;SSR_A;;30;;;437;9728;;
SSR;2013;010005239;010008407;SSR_A50;1;30;;0;437;9728;;
SSR;2013;010005239;010008407;SSR_TOT;0;30;;0;437;9728;;
SSR;2013;010009314;010780054;SSR_A;;70;;;624;21215;;
SSR;2013;010009314;010780054;SSR_A50;1;10;;1;;;;
SSR;2013;010009314;010780054;SSR_A53;0;;;1;;;;
SSR;2013;010009314;010780054;SSR_A54;0;;;1;;;;
SSR;2013;010009314;010780054;SSR_A59;1;60;;1;624;21215;;
SSR;2013;010009314;010780054;SSR_TOT;0;70;;0;624;21215;;
