BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2013;010000024;010780054;M1010;;1;0.57
SSR_P;2013;010000024;010780054;M1040;1;;0.1
SSR_P;2013;010000024;010780054;M1150;1;;0.1
SSR_P;2013;010000024;010780054;M1180;1;;1
SSR_P;2013;010000024;010780054;N241P;;3;0.59
SSR_P;2013;010000024;010780054;N2430;;;0.01
SSR_P;2013;010000024;010780054;N2450;;1;0.1
SSR_P;2013;010000024;010780054;N2460;;1;0.14
SSR_P;2013;010000024;010780054;N2710;;2;0.14
SSR_P;2013;010000024;010780054;N310H;1;;0.82
SSR_P;2013;010000024;010780054;NAUT;1;1;1.64
SSR_P;2013;010000024;010780054;NCINF;1;;0.25
SSR_P;2013;010000024;010780054;M9999;3;1;1.77
SSR_P;2013;010000032;010780062;M1010;1;;0.97
SSR_P;2013;010000032;010780062;M1320;;2;0.49
SSR_P;2013;010000032;010780062;M9999;1;2;1.46
SSR_P;2013;010000065;010780096;M1010;2;3;3.39
SSR_P;2013;010000065;010780096;N241P;2;1;1.58
SSR_P;2013;010000065;010780096;N2450;0;1;0.32
SSR_P;2013;010000065;010780096;N2460;0;2;0.8
SSR_P;2013;010000065;010780096;N2470;0;2;0.5
SSR_P;2013;010000065;010780096;N2500;35;16;32.06
SSR_P;2013;010000065;010780096;N2710;2;0;0.79
SSR_P;2013;010000065;010780096;N3120;0;3;1.07
SSR_P;2013;010000065;010780096;NCINF;20;13;19.59
SSR_P;2013;010000065;010780096;M9999;2;3;3.39
SSR_P;2013;010000081;010780112;M1010;;2;0.75
SSR_P;2013;010000081;010780112;N241P;;1;0.5
SSR_P;2013;010000081;010780112;N2450;;1;0.04
SSR_P;2013;010000081;010780112;N2500;5;3;6.88
SSR_P;2013;010000081;010780112;N2710;;2;0.06
SSR_P;2013;010000081;010780112;N3120;;1;0.04
SSR_P;2013;010000081;010780112;NAUT;7;4;7.95
SSR_P;2013;010000081;010780112;NCINF;5;4;6.09
SSR_P;2013;010000081;010780112;M9999;;2;0.75
SSR_P;2013;010000099;010780120;M1320;;1;0.18
SSR_P;2013;010000099;010780120;N241P;2;;0.96
SSR_P;2013;010000099;010780120;N2500;3;9;6.36
SSR_P;2013;010000099;010780120;N2710;1;;0.38
SSR_P;2013;010000099;010780120;NAUT;4;2;3.39
SSR_P;2013;010000099;010780120;NCINF;3;5;5.29
SSR_P;2013;010000099;010780120;M9999;;1;0.18
SSR_P;2013;010000107;010780138;M1320;;3;0.92
SSR_P;2013;010000107;010780138;MAUT;;1;0.11
SSR_P;2013;010000107;010780138;N241P;1;;0.46
SSR_P;2013;010000107;010780138;N2450;;1;0.21
SSR_P;2013;010000107;010780138;N2500;12;1;11.63
SSR_P;2013;010000107;010780138;N2710;1;0;0.11
SSR_P;2013;010000107;010780138;N310H;;1;0.45
SSR_P;2013;010000107;010780138;NAUT;1;0;0.25
SSR_P;2013;010000107;010780138;NCINF;6;1;6.77
SSR_P;2013;010000107;010780138;M9999;;4;1.03
SSR_P;2013;010000115;010009132;N241P;;1;0.5
SSR_P;2013;010000115;010009132;N2460;;1;0.07
SSR_P;2013;010000115;010009132;N2500;4;3;5.31
SSR_P;2013;010000115;010009132;N2710;;2;0.63
SSR_P;2013;010000115;010009132;N310H;;1;0.25
SSR_P;2013;010000115;010009132;N3120;;1;0.33
SSR_P;2013;010000115;010009132;NAUT;1;;1
SSR_P;2013;010000115;010009132;NCINF;2;2;2.24
SSR_P;2013;010000115;010009132;N9999;7;11;10.33
SSR_P;2013;010000131;010009132;M1180;1;;1
SSR_P;2013;010000131;010009132;N241P;;2;1.12
SSR_P;2013;010000131;010009132;N2450;;1;0.15
SSR_P;2013;010000131;010009132;N2460;;1;0.19
SSR_P;2013;010000131;010009132;N2500;7;6;8.21
SSR_P;2013;010000131;010009132;N2710;;1;0.33
SSR_P;2013;010000131;010009132;N3120;;2;0.29
SSR_P;2013;010000131;010009132;NCINF;2;15;9.7
SSR_P;2013;010000131;010009132;M9999;1;;1
SSR_P;2013;010000180;010007987;M1010;1;1;0.78
SSR_P;2013;010000180;010007987;M1320;1;1;0.78
SSR_P;2013;010000180;010007987;MAUT;1;0;1
SSR_P;2013;010000180;010007987;N2500;6;2;7.46
SSR_P;2013;010000180;010007987;NCINF;8;3;9.99
SSR_P;2013;010000180;010007987;M9999;3;2;2.56
SSR_P;2013;010000198;010007987;M1010;2;1;2.94
SSR_P;2013;010000198;010007987;M1180;2;0;0.7
SSR_P;2013;010000198;010007987;N2500;12;2;12.02
SSR_P;2013;010000198;010007987;NCINF;9;3;11.43
SSR_P;2013;010000198;010007987;M9999;4;1;3.64
SSR_P;2013;010000214;010007987;M1010;1;0;1.53
SSR_P;2013;010000214;010007987;M1150;1;0;0.85
SSR_P;2013;010000214;010007987;M1180;2;0;1.6
SSR_P;2013;010000214;010007987;M1190;0;0;0.3
SSR_P;2013;010000214;010007987;M1320;2;0;2.53
SSR_P;2013;010000214;010007987;N2500;60;12;62.32
SSR_P;2013;010000214;010007987;N2710;0;1;0.1
SSR_P;2013;010000214;010007987;NCINF;40;15;46.74
SSR_P;2013;010000214;010007987;M9999;6;0;6.81
SSR_P;2013;010002129;920000395;M1010;3;;3
SSR_P;2013;010002129;920000395;M1180;1;1;1.2
SSR_P;2013;010002129;920000395;M1320;1;;1
SSR_P;2013;010002129;920000395;N241P;4;1;4.76
