FI;GRP;RS;FI_ET;RS_ET;BOR;an;FI_EJ
100000090;4;CENTRE HOSPITALIER DE TROYES;;;STB;2013;100000017
100000108;14;EPSMA;100002369;CMP-CATTP ENFANTS;STB;2013;100000033
100000108;14;EPSMA;100002419;CMP-CATTP ENFANTS DE ROMILLY/SEINE;STB;2013;100000033
100000108;14;EPSMA;100002468;CENTRE DE JOUR;STB;2013;100000033
100000108;14;EPSMA;100002518;CMP-CATTP ENFANTS DE BAR/SEINE;STB;2013;100000033
100000108;14;EPSMA;100002559;CMP-CATTP-HOPITAL DE JOUR- CH BRIENNE;STB;2013;100000033
100000108;14;EPSMA;100002609;CMP-CATTP ADULTES - CH DE BRIENNE;STB;2013;100000033
100000108;14;EPSMA;100004225;CMP-CATTP - CHS BRIENNE;STB;2013;100000033
100000108;14;EPSMA;100004233;CMP-CATTP-HOSPITALISATION A DOMICILE;STB;2013;100000033
100000108;14;EPSMA;100004241;CMP - CATTP DE BAR/SEINE - CHS BRIENNE;STB;2013;100000033
100000108;14;EPSMA;100004258;CMP - CATTP BAR-SUR-AUBE - CHS BRIENNE;STB;2013;100000033
100000108;14;EPSMA;100005388;CATTP - HDJ ADULTES TROYES-NORD;STB;2013;100000033
100000108;14;EPSMA;100005404;CENTRE DE POST-CURE;STB;2013;100000033
100000108;14;EPSMA;100005487;HOP DE JOUR - CMP - CATTP ENFANTS;STB;2013;100000033
100000108;14;EPSMA;100006451;HDJ- CENTRE PC - UATP DE ROMILLY/SEINE;STB;2013;100000033
100000108;14;EPSMA;100009174;HAD NORD;STB;2013;100000033
100000108;14;EPSMA;100009182;CLINIQUE PSYCHIATRIQUE DE L'AUBE;STB;2013;100000033
100000108;14;EPSMA;100009968;UNITÉ DE 72 HEURES -UL72-;STB;2013;100000033
100000116;4;CENTRE HOSPITALIER DE BAR SUR AUBE;;;STB;2013;100000041
100000140;4;CENTRE HOSPITALIER DE BAR-SUR-SEINE;;;STB;2013;100000058
100000199;4;GHAM - SITE DE ROMILLY-SUR-SEINE;;;STB;2013;100006279
100000801;4;GHAM - SITE DE NOGENT SUR SEINE;;;STB;2013;100006279
100006493;4;SECTION MOYEN SEJOUR - CH DE TROYES;;;STB;2013;100000017
