FI;GRP;RS;FI_ET;RS_ET;BOR;AN
010007987;02;CH PUBLIC HAUTEVILLE;010000180;CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE;ST;2013
010007987;02;CH PUBLIC HAUTEVILLE;010000198;CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.;ST;2013
010007987;02;CH PUBLIC HAUTEVILLE;010000214;CH PUBLIC HAUTEVILLE UNITÉ ALBARINE;ST;2013
010008407;02;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY SITE GEOVREISSET;ST;2013
010008407;02;CH DU HAUT BUGEY;010786259;USLD CH NANTUA;ST;2013
010008407;02;CH DU HAUT BUGEY;010789717;USLD CH OYONNAX;ST;2013
010009132;02;CENTRE HOSPITALIER  PONT-DE-VEYLE;010000115;CENTRE HOSPITALIER  PONT-DE-VEYLE;ST;2013
010009132;02;CENTRE HOSPITALIER  PONT-DE-VEYLE;010000131;CENTRE HOSPITALIER  THOISSEY;ST;2013
010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CH FLEYRIAT;ST;2013
010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010009314;SSR HÔTEL DIEU;ST;2013
010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010009702;ESLD RÉSIDENCE ÉMILE PÉLICAND;ST;2013
010780062;02;CH DOCTEUR RECAMIER BELLEY;010000032;CH DOCTEUR RECAMIER BELLEY;ST;2013
010780096;02;CH DE MONTPENSIER TRÉVOUX;010000065;CH MONTPENSIER TREVOUX;ST;2013
010780112;02;CENTRE HOSPITALIER DU PAYS DE GEX;010000081;CENTRE HOSPITALIER DU PAYS DE GEX;ST;2013
010780120;02;CH DE MEXIMIEUX;010000099;CH DE MEXIMIEUX;ST;2013
010780138;02;CH DE PONT DE VAUX;010000107;CH DE PONT DE VAUX;ST;2013
020000022;02;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE;ST;2013
020000048;02;CENTRE HOSPITALIER GERONTOLOGIQUE;020000097;CH LA FÈRE;ST;2013
020000055;02;CH NOUVION EN THIERACHE;020000105;CH LE NOUVION-EN-THIÉRACHE;ST;2013
020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CENTRE HOSPITALIER DE SAINT-QUENTIN;ST;2013
020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;ST;2013
020000071;02;CENTRE HOSPITALIER DE VERVINS;020000246;CH VERVINS;ST;2013
020000253;02;CH DE LAON;020000394;CENTRE HOSPITALIER DE LAON;ST;2013
020000253;02;CH DE LAON;020003877;CENTRE DE MOYEN SEJOUR CH LAON;ST;2013
020000253;02;CH DE LAON;020005476;USLD CH LAON;ST;2013
020000261;02;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;ST;2013
020000261;02;CENTRE HOSPITALIER DE SOISSONS;020004677;USLD CH SOISSONS;ST;2013
020000287;02;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;ST;2013
020000295;02;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;ST;2013
020002085;02;MAISON DE SANTÉ DE BOHAIN;020000683;MAISON DE SANTE DE BOHAIN;ST;2013
020003620;02;CRF JACQUES FICHEUX;020000915;CRF JACQUES FICHEUX SAINT-GOBAIN;ST;2013
020004404;02;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CENTRE HOSPITALIER JEANNE DE NAVARRE;ST;2013
020004495;02;CENTRE HOSPITALIER D'HIRSON;020001087;CH HIRSON;ST;2013
030002158;02;CH DPT COEUR DU BOURBONNAIS;030002208;CH DPT COEUR DU BOURBONNAIS;ST;2013
030005821;08;SCP - CENTRE DE RADIOTHERAPIE -;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;ST;2013
030180020;02;CH DE NERIS LES BAINS;030000012;CH DE NERIS LES BAINS;ST;2013
030780092;02;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CENTRE HOSPITALIER MOULINS YZEURE;ST;2013
030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON;ST;2013
