BOR;AN;FI;FI_EJ;LIT;JOU;ENT;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;DOMIC2;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2013;010000065;010780096;30;10680;18;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;010000081;010780112;30;10692;14;0;;2;;;;8;1;;;;;3;;;;;17;;2;1;
USLD;2013;010000115;010009132;30;10196;49;;;2;47;;;20;;;;;;;;;;;;;3;;
USLD;2013;010009314;010780054;94;31970;91;2;;33;6;11;8;42;9;;2;;;7;;;;4;4;;8;0;
USLD;2013;010009702;010780054;26;8596;17;;;3;;;;8;;;;;;3;;;;;;25;2;0;
USLD;2013;010786259;010008407;18;8087;16;0;;0;2;0;0;0;7;0;0;0;0;0;7;0;0;7;0;0;0;0;0
USLD;2013;010789717;010008407;17;5962;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2013;020000089;020000022;30;10140;27;0;;1;0;0;0;22;0;0;0;0;0;2;2;0;0;10;12;0;0;1;0
USLD;2013;020000162;020000063;60;20950;37;1;;;;1;;20;5;;;;;7;3;19;0;0;0;0;5;1;1
USLD;2013;020000535;020000287;44;15020;22;1;;;;;;11;3;;2;;;3;;;;;9;;;1;
USLD;2013;020000683;020002085;30;10932;22;;;;;;;;4;;;;;18;;;;;4;4;5;;
USLD;2013;020004677;020000261;50;16602;45;0;;3;0;0;0;18;1;0;0;0;0;23;;0;0;0;0;0;2;2;0
USLD;2013;020005476;020000253;41;13696;20;0;;0;0;0;0;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
USLD;2013;030000061;030780092;80;29417;46;;;23;;4;;7;7;1;;;;4;;;;2;2;;1;1;6
USLD;2013;030000079;030780100;60;21781;35;0;;28;0;0;0;6;0;0;0;0;0;1;0;;;;;;;;
USLD;2013;030000087;030780118;115;41362;66;;;11;8;4;;35;1;;;;;6;1;685;776;;560;;;;13
USLD;2013;030000160;030780282;40;14377;8;;;;;;;;;483;227;;;;;;;;;;;;
USLD;2013;040000093;040780215;30;10655;14;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;040002248;040000168;41;9757;32;0;;0;5;0;0;6;0;0;10;0;0;11;;0;15;0;1;0;0;0;0
USLD;2013;050000132;050007145;25;8976;9;;;2;;1;;;;4;;;;2;;;;;1;;;;
USLD;2013;050000231;050000116;30;10587;15;;;;;;;;9;;;;;;6;;;;;;2;;
USLD;2013;050000256;050000124;30;10349;18;;;2;;2;;13;1;;;;;;;;113;;;;;;
USLD;2013;050006436;050002948;50;18152;25;0;;2;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2013;060000510;060780954;20;532;14;;;;;;;;;;;;;14;;;;0;0;;0;0;0
USLD;2013;060000551;060781010;41;14779;19;;;;;;;;;;;;;;;;;;;;4;;
USLD;2013;060019213;060005188;34;11906;36;;;;10;;1;;3;;0;;0;11;11;;;;;;4;8;4
USLD;2013;060788957;060785011;61;21998;24;;;;;1;;20;;;;;;3;;;;;;;6;;
USLD;2013;060790177;060785011;40;14205;9;;;;;;;8;;;;;;1;;;;;;;2;1;
USLD;2013;060790631;060791761;30;10740;23;0;;1;4;0;0;5;3;0;0;0;0;1;1;0;0;0;0;0;1;0;1
USLD;2013;060790680;060780897;30;10765;14;;;;;;;7;1;;;;;6;;;;;;;;;
USLD;2013;060793239;750826638;75;27109;29;;;;;8;;7;3;;1;;;;7;;;;;;1;;
USLD;2013;060794021;060780988;54;18658;34;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;070000047;070780127;75;24915;42;0;;0;0;0;0;14;11;0;4;0;0;6;7;;;;8;;3;3;8
USLD;2013;070784517;070002878;60;21646;30;;;;;;;11;;;;;;19;;;;;;;2;;
USLD;2013;080000110;080000037;43;15397;25;1;;1;0;2;4;4;6;;1;;0;5;2;0;0;0;0;7;5;0;0
USLD;2013;080000219;080001969;2;611;2;0;;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
USLD;2013;080003635;080000615;65;23606;21;0;;4;0;0;0;15;0;;0;;0;2;0;2;2;0;3;0;0;0;0
USLD;2013;100000116;100000041;30;10580;27;;;0;3;;0;14;1;;1;;0;0;8;0;0;0;0;0;4;0;0
USLD;2013;100000140;100000058;30;10476;48;;;7;0;;10;25;0;;0;;0;6;0;0;0;0;0;0;2;0;0
USLD;2013;100000801;100006279;40;12206;36;0;;2;0;;0;9;2;;0;0;0;4;;4;0;2;3;0;6;1;0
USLD;2013;100006493;100000017;70;24897;45;0;;13;0;0;0;25;0;0;0;0;0;2;0;0;0;0;6;0;4;1;0
USLD;2013;110000049;110780087;30;10810;38;;;;1;;;17;;;;;;20;;;;;;;5;;
USLD;2013;110000247;110780772;30;10823;40;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;110006137;110780061;30;8140;51;;;1;;;;;;;;;;43;;;;;;;8;;1
USLD;2013;110781283;110780137;90;30438;124;;;16;12;;;;4;2;;;;4;;;1;0;1;0;21;;25
USLD;2013;110785789;110786324;30;10491;20;;;;;;;14;2;;;;;3;1;;;3;;;2;;
USLD;2013;120000070;120780085;30;11565;20;0;;0;0;0;0;9;0;0;1;0;0;8;2;0;0;0;0;0;2;0;0
USLD;2013;120000088;120780093;30;10117;20;;;2;;;;12;;;2;;;4;;;;5;;;4;;
USLD;2013;120000096;120780101;30;10053;73;0;;6;3;0;7;2;1;0;0;0;0;5;8;0;2;5;0;0;7;5;0
USLD;2013;120000153;120780291;40;14412;27;;;;;;;12;10;;;;;;5;;;;;;;;
USLD;2013;120004668;120004619;40;13539;52;0;;10;;7;;22;1;;;;;11;1;;;;;;5;;
USLD;2013;120782263;120780069;80;24260;144;;;99;;;;16;;;;;;29;;;46;;;;;;
USLD;2013;120783097;120004528;50;17436;27;;;3;;;;17;5;;;;;;2;24;;;;;;;
USLD;2013;120786959;120780044;30;9317;48;1;;10;;6;;9;14;;;;;5;3;;;;;;8;3;
USLD;2013;130000516;130781339;56;18338;41;;;3;3;;;19;10;;;;;4;3;;;;;0;3;1;
USLD;2013;130000565;130781446;31;10652;38;;;16;;1;;;;;;;;21;;;;;;;;;
USLD;2013;130001225;130782634;33;11939;12;0;;0;;0;;0;;0;;0;;8;;44;0;20;8;0;0;0;0
USLD;2013;130001258;130028228;30;10651;19;2;;;;;;4;6;;;;;;7;;;;;;;;
USLD;2013;130012719;130000938;19;6836;6;;;1;;;;3;;;;;;2;;;;;;;1;;
USLD;2013;130032758;130001514;30;10414;56;;;15;;;;36;;;;4;;1;;0;0;0;0;0;7;;9
USLD;2013;130037674;130789316;30;10226;27;;;;;;1;14;2;;;;;10;;54;;;;;;;2
USLD;2013;130798358;130041916;70;24582;42;;;;1;;;17;;;;;9;14;;;;;;;;;5
USLD;2013;130808843;130002157;30;10414;20;;;1;6;;;;10;;;;;;3;;;;;;3;;1
USLD;2013;130809015;130001928;150;53166;63;0;;0;0;16;6;18;10;0;0;0;0;0;12;0;0;0;0;0;2;0;0
USLD;2013;140000027;140000035;40;14057;22;;;4;1;1;;3;1;;;2;;4;2;;;3;8;;;;
USLD;2013;140000241;140026279;30;9813;22;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;140000373;140000159;30;10655;16;;;;6;;;1;2;2;;;;;5;;;;;;;;
USLD;2013;140012196;140000100;100;35320;33;;;17;;6;;;5;;;;;;6;;;;3;;;3;
USLD;2013;140013830;140000118;60;21881;32;;;6;1;3;;12;;;;;;9;1;91;;;2;3;;;
USLD;2013;140017401;140000092;50;18175;39;0;;3;1;0;;4;;0;;0;;6;;0;0;0;1;0;5;0;0
USLD;2013;150000032;150780088;35;12524;12;0;;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;11;0;0
USLD;2013;150000040;150780096;46;16562;28;;;6;;13;;74;;6;;;;9;;0;0;10;5;0;6;0;2
USLD;2013;150000164;150780468;30;9929;22;6;;0;;0;;0;;0;;0;;0;;;;;;;0;0;0
USLD;2013;150000180;150780500;30;9903;33;0;;7;0;0;0;17;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
USLD;2013;150002921;150780468;12;2300;47;;;;;;;;;;;;;;;;;;;;;;
USLD;2013;160000188;160000121;53;18740;50;0;;7;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
