BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2013;010000065;010780096;MEDCH;;1;0.7;0
USLD_P;2013;010000065;010780096;N2210;4;6;5.87;0
USLD_P;2013;010000065;010780096;N2410;1;;0.85;0
USLD_P;2013;010000065;010780096;N3120;;1;0.1;0
USLD_P;2013;010000065;010780096;N9999;5;8;7.52;0
USLD_P;2013;010000081;010780112;MEDCH;;2;0.72;1
USLD_P;2013;010000081;010780112;N2210;6;2;6.19;1
USLD_P;2013;010000081;010780112;N2410;1;;0.13;1
USLD_P;2013;010000081;010780112;N2460;;1;0.2;0
USLD_P;2013;010000081;010780112;N2510;6;5;6.64;1
USLD_P;2013;010000081;010780112;N3120;;1;0.12;1
USLD_P;2013;010000081;010780112;NAUT;9;13;9.54;1
USLD_P;2013;010000081;010780112;N9999;22;24;23.54;6
USLD_P;2013;010000115;010009132;MEDCH;;1;0.42;
USLD_P;2013;010000115;010009132;N2210;3;4;5.33;1
USLD_P;2013;010000115;010009132;N2410;1;;1;1
USLD_P;2013;010000115;010009132;N2460;;1;0.15;1
USLD_P;2013;010000115;010009132;N2510;12;;8.38;1
USLD_P;2013;010000115;010009132;N3120;;1;0.1;
USLD_P;2013;010000115;010009132;NAUT;5;5;8.7;
USLD_P;2013;010000115;010009132;N9999;21;12;24.08;4
USLD_P;2013;010009314;010780054;MEDCH;3;;1.85;0
USLD_P;2013;010009314;010780054;N2210;13;2;16.1;
USLD_P;2013;010009314;010780054;N2510;24;2;24.59;
USLD_P;2013;010009314;010780054;NAUT;10;9;15.01;
USLD_P;2013;010009314;010780054;N9999;50;13;57.55;0
USLD_P;2013;010009702;010780054;MEDCH;1;;0.2;1
USLD_P;2013;010009702;010780054;N2210;4;2;4.36;0
USLD_P;2013;010009702;010780054;N2510;8;3;10.55;0
USLD_P;2013;010009702;010780054;NAUT;3;2;3.88;1
USLD_P;2013;010009702;010780054;N9999;16;7;18.99;2
USLD_P;2013;010786259;010008407;MEDCH;1;;0.5;
USLD_P;2013;010786259;010008407;N9999;1;;0.5;
USLD_P;2013;010789717;010008407;MEDCH;3;;1.05;0
USLD_P;2013;010789717;010008407;N9999;3;;1.05;0
USLD_P;2013;020000089;020000022;MEDCH;;1;0.76;0
USLD_P;2013;020000089;020000022;N2210;7;;6.02;0
USLD_P;2013;020000089;020000022;N2510;14;2;15.01;0
USLD_P;2013;020000089;020000022;N3120;1;;0.06;1
USLD_P;2013;020000089;020000022;NAUT;9;6;9.53;0
USLD_P;2013;020000089;020000022;N9999;31;9;31.38;1
USLD_P;2013;020000162;020000063;M1320;0;2;0.7;1
USLD_P;2013;020000162;020000063;MEDCH;0;2;0.7;1
USLD_P;2013;020000162;020000063;N2210;13;1;10.73;0
USLD_P;2013;020000162;020000063;N2460;1;0;0.5;1
USLD_P;2013;020000162;020000063;N2470;0;1;0.5;1
USLD_P;2013;020000162;020000063;N2510;29;3;30.69;0
USLD_P;2013;020000162;020000063;NAUT;20;8;19;1
USLD_P;2013;020000162;020000063;N9999;63;17;62.82;5
USLD_P;2013;020000535;020000287;MEDCH;1;;0.75;0
USLD_P;2013;020000535;020000287;N2210;8;1;6.34;0
USLD_P;2013;020000535;020000287;N2410;0;0;0.2;1
USLD_P;2013;020000535;020000287;N2460;0;0;0.2;1
USLD_P;2013;020000535;020000287;N2510;17;2;18.2;1
USLD_P;2013;020000535;020000287;NAUT;5;3;7.34;1
USLD_P;2013;020000535;020000287;N9999;31;6;33.03;4
USLD_P;2013;020000683;020002085;MEDCH;1;3;1.21;1
USLD_P;2013;020000683;020002085;N2210;4;1;4.4;0
USLD_P;2013;020000683;020002085;N2460;1;;0.33;1
USLD_P;2013;020000683;020002085;NAUT;5;;4.88;0
USLD_P;2013;020000683;020002085;N9999;11;4;10.82;2
USLD_P;2013;020004677;020000261;M1320;;2;0.6;1
USLD_P;2013;020004677;020000261;MEDCH;;2;0.6;1
USLD_P;2013;020004677;020000261;N2210;10;4;11.7;0
USLD_P;2013;020004677;020000261;N2410;2;;2;1
USLD_P;2013;020004677;020000261;N2510;15;11;16.5;0
USLD_P;2013;020004677;020000261;NAUT;6;4;7.5;0
USLD_P;2013;020004677;020000261;N9999;33;23;38.9;3
USLD_P;2013;020005476;020000253;MEDCH;1;2;0.67;0
USLD_P;2013;020005476;020000253;N2210;13;1;13.55;0
USLD_P;2013;020005476;020000253;N2410;0;1;0.24;0
USLD_P;2013;020005476;020000253;N2460;0;0;0.25;0
USLD_P;2013;020005476;020000253;N2510;19;0;15.96;0
USLD_P;2013;020005476;020000253;N3120;0;1;0.2;0
USLD_P;2013;020005476;020000253;NAUT;13;4;11.02;0
USLD_P;2013;020005476;020000253;N9999;46;9;41.89;0
USLD_P;2013;030000061;030780092;MEDCH;1;;1;
USLD_P;2013;030000061;030780092;N2210;12;3;15.02;
USLD_P;2013;030000061;030780092;N2510;25;4;28.45;
USLD_P;2013;030000061;030780092;NAUT;31;4;33.93;
USLD_P;2013;030000061;030780092;N9999;69;11;78.4;
USLD_P;2013;030000079;030780100;M1320;1;;1;1
USLD_P;2013;030000079;030780100;MEDCH;1;;1;1
USLD_P;2013;030000079;030780100;N2210;13;;12.42;1
USLD_P;2013;030000079;030780100;N2410;;1;0.12;1
USLD_P;2013;030000079;030780100;N2460;;;;1
USLD_P;2013;030000079;030780100;N2470;;;;1
USLD_P;2013;030000079;030780100;N2510;25;1;22.13;1
USLD_P;2013;030000079;030780100;N3120;;1;0.23;1
USLD_P;2013;030000079;030780100;NAUT;17;3;19.07;1
USLD_P;2013;030000079;030780100;N9999;57;6;55.97;9
USLD_P;2013;030000087;030780118;M1320;;2;1.8;1
USLD_P;2013;030000087;030780118;MEDCH;0;3;1.9;1
USLD_P;2013;030000087;030780118;N2210;21;5;24.16;0
USLD_P;2013;030000087;030780118;N2460;0;1;0.22;0
USLD_P;2013;030000087;030780118;N2510;30;4;35.31;0
USLD_P;2013;030000087;030780118;NAUT;21;11;28.67;0
USLD_P;2013;030000087;030780118;N9999;72;26;92.06;2
USLD_P;2013;030000160;030780282;MEDCH;3;1;1.4;0
USLD_P;2013;030000160;030780282;N2210;7;0;7.91;0
USLD_P;2013;030000160;030780282;N2410;0;1;0.5;0
USLD_P;2013;030000160;030780282;N2510;12;2;13.94;0
USLD_P;2013;030000160;030780282;N3120;1;0;0.25;0
USLD_P;2013;030000160;030780282;NAUT;24;0;21.9;0
USLD_P;2013;030000160;030780282;N9999;47;4;45.9;0
USLD_P;2013;040000093;040780215;MEDCH;;1;0.2;1
USLD_P;2013;040000093;040780215;N2210;6;3;5.1;1
USLD_P;2013;040000093;040780215;N2410;1;;0.43;1
USLD_P;2013;040000093;040780215;N2510;7;6;11.56;1
USLD_P;2013;040000093;040780215;N3120;;1;0.14;1
USLD_P;2013;040000093;040780215;NAUT;10;2;9.74;1
USLD_P;2013;040000093;040780215;N9999;24;13;27.17;6
USLD_P;2013;040002248;040000168;M1320;;1;0.2;
USLD_P;2013;040002248;040000168;MEDCH;;2;0.9;
USLD_P;2013;040002248;040000168;N2210;6;1;6.5;
USLD_P;2013;040002248;040000168;N2410;;2;0.4;
USLD_P;2013;040002248;040000168;N2460;;1;0.5;
USLD_P;2013;040002248;040000168;N2510;12;;12;
USLD_P;2013;040002248;040000168;NAUT;10;2;10.6;
USLD_P;2013;040002248;040000168;N9999;28;9;31.1;
USLD_P;2013;050000132;050007145;MEDCH;1;;0.8;0
USLD_P;2013;050000132;050007145;N2210;3;6;6.66;0
USLD_P;2013;050000132;050007145;N2410;;2;0.23;0
USLD_P;2013;050000132;050007145;N2510;19;4;10.66;0
USLD_P;2013;050000132;050007145;NAUT;17;2;6.36;0
USLD_P;2013;050000132;050007145;N9999;40;14;24.71;0
USLD_P;2013;050000231;050000116;M1320;1;;1;
