BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;010000024;010780054;1;1;0;0;0;;0;1;252;336;252;2;2;;;1362;292;76;;;;1654;476;173;3;50;250;886;;;886;;203159;198983;193378;118866;93381;58629;329;168;161;622;1;0;0;3430;1
SMURSAMU;2013;010000032;010780062;1;1;0;0;0;;0;0;168;168;168;1;1;;;477;74;0;;16;0;567;209;77;3;46;61;350;24;164;225;125;;;;;;;;;;;;;;;
SMURSAMU;2013;010005239;010008407;1;1;0;0;0;;0;0;10;10;84;;1;;;477;130;;;;;607;222;46;0;19;157;320;39;100;220;100;;;;;;;;;;;;;;;
SMURSAMU;2013;010780203;010006450;1;1;0;0;0;010780203;0;0;168;168;168;1;1;;;720;5;;;;;725;168;82;;86;;533;;;257;276;;;;;;;;;;;;;;;
SMURSAMU;2013;020000162;020000063;1;1;0;0;0;;0;0;;168;360;2;2;0;0;1311;491;;6;15;0;1823;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;020000394;020000253;1;1;0;0;0;020000394;0;1;280;280;280;2;3;0;;1622;491;0;79;226;0;2418;647;113;27;67;421;1126;77;331;973;153;340643;217377;182066;116458;116458;21225;248;168;80;360;1;0;;3211;0
SMURSAMU;2013;020000519;020000261;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;782;;;;;;782;331;103;9;65;160;630;36;146;611;19;;;;;;;;;;;;;;;
SMURSAMU;2013;020000535;020000287;1;1;0;0;0;020000287;0;0;406;171;0;1;1;0;0;701;0;0;0;0;0;701;216;86;8;6;116;485;102;120;357;128;;;;;;;;;;;;;;;
SMURSAMU;2013;020001061;020004404;1;1;0;0;0;;0;0;168;168;140;1;1;0;0;747;203;0;3;0;;953;113;62;10;16;25;686;62;177;625;61;;;;;;;;;;;;;;;
SMURSAMU;2013;020001087;020004495;1;1;0;0;0;;0;0;168;168;168;2;0;0;0;643;7;0;0;0;0;650;265;68;5;41;265;537;88;119;256;281;;;;;;;;;;;;;;;
SMURSAMU;2013;030000061;030780092;1;1;0;0;0;030780092;0;1;336;352;224;2;2;0;0;1181;330;0;14;31;0;1556;438;116;7;120;195;774;84;171;689;85;259944;;;90621;90621;26405;272;168;104;468;1;1;0;913;0
SMURSAMU;2013;030000079;030780100;1;1;0;0;0;030780100;0;0;336;390;350;1;2;0;0;1226;547;0;;;;1773;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;030000087;030780118;1;1;0;0;0;;0;0;336;336;336;2;2;;;1618;227;;25;23;;1893;589;184;155;;161;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;040000093;040780215;1;1;0;0;0;;0;0;16;14;;0;2;0;0;605;111;;;;;716;;83;6;18;7;639;;;579;60;;;;;;;;;;;;;;;
SMURSAMU;2013;040000135;050002948;1;1;0;0;0;050002948;0;0;336;434;0;0;1;0;0;301;37;;5;1;;344;35;21;0;10;4;200;;;135;65;;;;;;;;;;;;;;;
SMURSAMU;2013;040000911;040788879;1;1;0;0;0;;0;1;168;168;168;;;;;385;11;;190;14;;600;25;31;;;;539;;;440;99;;62522;;47520;38280;11195;271;168;103;216;1;0;;130;0
SMURSAMU;2013;050000231;050000116;1;1;0;0;0;050000116;0;0;124;168;0;;2;;;188;;;249;;;437;15;12;3;;;420;;;415;5;;;;;;;;;;;;;;;
SMURSAMU;2013;050000348;050002948;1;1;0;0;0;;0;1;176;123;0;0;2;1;0;734;193;33;282;182;0;1391;103;68;;14;21;913;47;158;805;108;188651;188651;;45807;20205;9421;265;168;97;295;1;1;18;224;0
SMURSAMU;2013;060000478;060780897;1;1;0;0;0;;0;0;168;19;;;;;;842;112;;;;;954;303;77;107;29;90;624;33;145;356;268;;;;;;;;;;;;;;;
SMURSAMU;2013;060000510;060780954;1;1;0;0;0;060780954;0;0;168;119;0;1;;;;1368;54;0;0;0;0;1422;406;110;0;140;156;962;75;210;660;302;;;;;;;;;;;;;;;
SMURSAMU;2013;060000544;060780988;1;1;0;0;1;060780988;0;0;168;168;0;;2;;;1254;50;;1;;;1305;330;139;10;50;131;925;0;0;782;143;;;;;;;;;;;;;;;
SMURSAMU;2013;060001450;060785011;1;1;0;0;0;;0;1;525;490;574;3;4;;;4406;2128;0;225;261;;7020;702;186;3;513;;3696;;;2252;1444;337994;337994;;209868;170341;50572;322;;286;924;1;0;5;5400;0
SMURSAMU;2013;060002102;060791761;1;0;0;0;1;;0;0;168;168;168;;1;;;588;68;0;0;0;0;656;255;58;2;41;154;400;37;154;152;248;;;;;;;;;;;;;;;
SMURSAMU;2013;060789195;060785011;1;1;0;1;0;;0;0;48;84;;;;;;;130;177;;60;;190;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;070000013;070002878;1;1;0;0;0;;0;1;168;154;0;;1;;;366;13;;;;;379;61;51;;7;3;305;;;233;72;107605;91191;82072;112911;88455;24456;284;165;119;304;1;0;18;912;1
SMURSAMU;2013;070000179;070780358;1;1;0;0;0;070780358;0;0;168;168;0;0;1;0;0;484;18;;;;;502;66;51;2;1;13;418;27;107;409;9;;;;;;;;;;;;;;;
SMURSAMU;2013;070000609;070005566;1;1;0;0;0;;0;0;168;168;168;;1;;;518;36;0;;;;554;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;080000110;080000037;1;1;0;0;0;080000037;0;0;169;169;169;1;1;;;768;2;;;;;770;128;73;0;38;4;640;44;297;565;75;;;;;;;;;;;;;;;
SMURSAMU;2013;080000219;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;;;457;10;0;;;;467;84;39;8;23;14;320;37;145;271;49;;;;;;;;;;;;;;;
SMURSAMU;2013;080000276;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;285;30;12;;;;315;83;24;8;41;10;282;10;48;231;51;;;;;;;;;;;;;;;
SMURSAMU;2013;080000425;080000615;1;1;0;0;0;;0;1;266;168;336;2;1;0;0;1667;494;;;12;;2173;639;140;15;170;277;1077;;;955;122;;136162;;88092;32152;0;168;0;0;262;0;0;0;681;0
SMURSAMU;2013;080009814;080000615;1;1;0;0;0;080000425;0;0;168;0;0;;1;;;601;16;;;;;617;13;5;0;47;0;487;3;12;259;228;;;;;;;;;;;;;;;
SMURSAMU;2013;090000175;090781774;1;1;0;0;0;090781774;0;1;168;172;0;1;4;0;0;1194;323;;136;;;1653;272;149;2;74;;1030;90;158;801;229;119210;119210;;27095;20288;7000;168;;20;168;1;0;7;541;1
SMURSAMU;2013;090000183;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;332;145;;;;;477;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;100000090;100000017;1;1;0;0;0;100000017;0;1;336;502;360;2;3;0;0;2087;444;;0;0;0;2531;1293;263;23;355;652;794;0;0;739;55;163836;134506;;91400;48364;9350;168;;48;378;1;0;11;1184;0
SMURSAMU;2013;100000199;100006279;1;1;0;0;0;;0;0;168;168;0;;1;;;425;8;;;;;433;176;70;1;28;77;368;35;124;235;133;;;;;;;;;;;;;;;
SMURSAMU;2013;110000023;110780061;1;1;0;0;0;110780061;0;1;558;504;336;2;4;0;0;2307;342;17;148;93;0;2890;1358;254;35;393;869;1104;76;195;916;188;304732;270721;270721;79623;63179;19251;220;168;52;540;1;0;0;1815;1
SMURSAMU;2013;110000049;110780087;1;0;0;0;1;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;110000056;110780137;1;1;0;0;0;;0;0;337;337;0;0;1;0;0;1331;398;;47;60;;1836;668;155;20;84;409;946;;;732;214;;;;;;;;;;;;;;;
SMURSAMU;2013;110780236;110780707;1;0;0;0;1;;0;0;170;170;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;120000039;120780044;1;1;0;0;0;;0;1;168;168;168;0;3;0;0;1513;269;0;212;380;0;2374;607;127;;102;378;1283;82;245;1158;125;82732;82732;;32048;22563;0;168;168;;168;0;0;0;985;0
SMURSAMU;2013;120000054;120780069;1;1;0;0;0;;0;0;186;186;0;;;;;357;0;;;;;357;62;44;;18;;295;17;61;267;28;;;;;;;;;;;;;;;
SMURSAMU;2013;120000070;120780085;1;1;0;0;0;;0;0;208;336;0;;;;;343;;;;;;343;;38;;22;47;327;10;67;292;35;;;;;;;;;;;;;;;
SMURSAMU;2013;120004569;120004528;1;1;0;0;0;;0;0;168;157;0;1;1;;;391;22;;;;;413;;50;29;;84;309;34;88;276;33;;;;;;;;;;;;;;;
SMURSAMU;2013;120004668;120004619;1;1;0;0;0;120004668;0;0;168;168;0;;;;;244;23;;;;;267;64;30;0;24;10;195;15;59;166;29;;;;;;;;;;;;;;;
SMURSAMU;2013;130000409;130041916;1;1;0;0;0;;0;0;168;168;0;;;;;2165;300;;;;;2465;1136;171;26;144;810;1016;77;349;680;336;;;;;;;;;;;;;;;
SMURSAMU;2013;130000565;130781446;1;1;0;0;0;;1;0;168;168;168;1;1;;;1692;245;;;;;1937;480;174;8;61;237;1212;;;578;634;;;;;;;;;;;;;;;
SMURSAMU;2013;130001225;130782634;1;1;0;0;1;;0;0;168;168;0;;;;;1408;31;;;;;1439;209;125;84;;;742;;;564;178;;;;;;;;;;;;;;;
SMURSAMU;2013;130002827;130789274;1;1;0;0;0;;0;0;135;18;25;1;1;;;1262;196;;;;;1458;1189;115;3;174;476;896;;;741;155;;;;;;;;;;;;;;;
SMURSAMU;2013;130002835;130789316;1;1;0;0;0;130789316;0;0;222;263;0;0;0;0;0;1493;180;0;0;0;0;1673;313;133;7;173;0;1086;;;763;323;;;;;;;;;;;;;;;
SMURSAMU;2013;130783293;130786049;1;0;0;0;0;;0;1;;;;5;1;1;0;10905;3688;0;313;392;0;15298;6798;904;151;758;4985;9290;1353;1701;5859;3431;567211;527151;499872;485871;289633;58535;338;338;;1288;1;0;30;5648;0
SMURSAMU;2013;130786742;750821092;1;1;0;0;1;130786049;0;0;120;0;0;0;0;0;0;1315;211;0;0;2;0;1528;715;113;11;15;502;681;49;192;316;365;;;;;;;;;;;;;;;
SMURSAMU;2013;140000027;140000035;1;1;0;0;0;;0;0;168;168;168;;2;;;541;3;;;;;544;119;76;4;0;39;422;28;123;392;30;;;;;;;;;;;;;;;
SMURSAMU;2013;140000209;140000100;1;1;0;0;0;140000100;0;1;336;361;615;2;4;0;0;2442;1234;128;7;44;;3727;447;245;202;0;0;;;;;;223906;214876;194183;126182;126182;74447;376;168;208;537;1;0;0;2588;0
SMURSAMU;2013;140000233;140000118;1;1;0;0;0;140000233;0;0;168;168;168;2;2;;;332;9;;;;;341;52;43;0;9;0;291;34;76;207;84;;;;;;;;;;;;;;;
SMURSAMU;2013;140000373;140000159;1;1;0;0;0;140000159;0;0;12;12;12;;2;;;399;13;;;;;412;90;81;;9;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;140024886;140000092;1;1;0;0;0;140000092;0;0;168;168;65;;2;;;521;15;;;;;536;66;1;7;59;;388;22;93;288;100;;;;;;;;;;;;;;;
SMURSAMU;2013;140026410;140026279;1;1;0;0;0;;0;0;168;168;168;1;;;;432;12;;;;;444;75;58;17;;;357;28;95;266;91;;;;;;;;;;;;;;;
SMURSAMU;2013;150000032;150780088;1;1;0;0;0;;0;0;116;168;0;0;0;0;0;493;132;21;0;0;0;625;190;51;0;0;139;304;;;259;45;;;;;;;;;;;;;;;
SMURSAMU;2013;150000040;150780096;1;1;0;0;0;;0;1;238;168;168;2;2;;;1053;219;0;213;273;;1758;200;88;0;36;76;896;;;756;140;71500;71485;71335;37037;32310;10008;205;168;37;205;1;1;13;361;0
SMURSAMU;2013;150000164;150780468;1;0;0;0;1;150780468;0;0;;;;;;;;355;126;;;;;481;93;28;9;12;44;262;;;176;86;;;;;;;;;;;;;;;
SMURSAMU;2013;160000253;160000451;1;1;0;0;0;160000451;0;1;336;56;336;3;3;;;1992;601;;;;;2593;605;191;16;144;254;1391;121;278;1368;23;;169628;140304;59342;56570;24593;284;168;116;356;1;0;0;86;0
SMURSAMU;2013;160000303;160006037;1;1;0;0;0;;0;0;168;84;0;;1;;;418;18;;;;;436;0;0;0;;;334;;;173;161;;;;;;;;;;;;;;;
SMURSAMU;2013;160000311;160000485;1;1;0;0;0;160000485;0;0;145;8;0;;1;;;453;29;0;;;;482;125;37;13;33;32;328;17;78;118;210;;;;;;;;;;;;;;;
SMURSAMU;2013;160000337;160000493;1;1;0;0;0;160000493;0;0;168;210;0;;1;;;535;;;;;;535;110;77;13;15;89;469;54;143;171;298;;;;;;;;;;;;;;;
SMURSAMU;2013;160015368;160014411;1;1;0;0;0;;;0;168;70;168;1;1;;;596;14;39;;8;;618;192;79;3;53;57;443;;;325;118;;;;;;;;;;;;;;;
SMURSAMU;2013;170000038;170780050;1;1;0;0;0;170780050;0;0;169;176;0;;;;;478;9;;;;;487;189;73;9;36;71;289;28;94;189;100;;;;;;;;;;;;;;;
SMURSAMU;2013;170000087;170023279;1;1;0;0;0;;0;1;336;336;336;2;2;0;0;1941;574;0;132;209;8;2864;742;239;6;167;415;1215;216;421;1169;46;269371;229848;205148;152946;152946;54514;310;168;142;597;1;0;0;2420;0
SMURSAMU;2013;170000095;170780167;1;1;0;0;0;170780167;0;0;169;231;0;0;0;0;0;368;34;0;0;0;0;402;95;59;3;21;12;268;25;51;206;62;;;;;;;;;;;;;;;
SMURSAMU;2013;170000103;170780175;1;1;0;0;0;;0;0;336;277;345;3;1;0;0;720;717;89;2;20;;1459;154;51;71;;32;557;78;479;514;43;;;;;;;;;;;;;;;
SMURSAMU;2013;170000129;170780191;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;706;21;;;;;727;303;115;3;55;130;398;28;78;325;73;;;;;;;;;;;;;;;
SMURSAMU;2013;170000152;170780225;1;1;0;0;0;;0;0;168;168;168;;2;;;1097;0;0;;;;1097;526;129;;171;226;569;50;102;489;80;;;;;;;;;;;;;;;
SMURSAMU;2013;180000010;180000028;1;1;0;0;0;;0;1;390;191;336;2;3;0;0;1588;483;;0;0;0;2071;519;137;12;61;295;1070;;;1062;8;;;;81688;67481;7855;196;168;28;;1;0;0;832;1
SMURSAMU;2013;180000200;180000051;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;557;59;;;;;616;90;66;4;10;10;598;38;131;547;51;;;;;;;;;;;;;;;
